訓練日期,20150430 - 20150731
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10883058.079999998211861
真實報酬,883058.079999998211861

夏普值報酬,0.079605808000000
夏普值風險,0.027423880429269
夏普值,2.902791536205737

預期報酬,14948.852742219602078
風險,89104.907202204281930
趨勢值,0.167766885254663
找到最佳解世代,2205
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](4),GS[8](6),JPM[13](2),NKE[19](1),
Stock#,DIS[6](4),GS[8](6),JPM[13](2),NKE[19](1),
張數,22766,12590,39308,49910,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,65.540000000037253,129.600000000093132,11.199999999720603,8.099999999627471,
20150430,2475185.060000000055879,2473057.399999999906868,2486635.279999999795109,2466560.299999999813735,9901438.039999999105930
20150501,2516163.859999999869615,2487032.300000000279397,2500393.079999999608845,2514972.999999999534339,10018562.240000000223517
20150504,2527774.520000000018626,2509316.600000000093132,2544024.959999999497086,2516470.299999999813735,10097586.379999998956919
20150505,2522766.000000000000000,2484010.700000000186265,2531446.399999999906868,2505989.199999999720603,10044212.299999998882413
20150506,2497951.060000000055879,2470917.100000000093132,2512578.559999999590218,2500998.199999999720603,9982444.919999999925494
20150507,2487478.700000000186265,2485269.699999999720603,2535377.199999999720603,2531942.399999999441206,10040068.000000000000000
20150508,2506829.799999999813735,2524424.600000000093132,2574292.119999999646097,2556398.299999999348074,10161944.819999998435378
20150511,2472453.140000000130385,2539910.299999999813735,2572719.799999999813735,2565382.099999999627471,10150465.339999999850988
20150512,2487023.379999999888241,2524802.300000000279397,2569182.079999999608845,2554900.999999999534339,10135908.759999999776483
20150513,2485885.080000000074506,2536133.300000000279397,2575471.359999999403954,2549410.899999999441206,10146900.640000000596046
20150514,2502731.920000000391155,2551115.400000000372529,2596304.599999999627471,2581353.299999999348074,10231505.219999998807907
20150515,2511155.339999999850988,2555521.899999999906868,2589622.239999999757856,2619783.999999999534339,10276083.480000000447035
