訓練日期,20150810 - 20151109
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11470704.699999999254942
真實報酬,1470704.699999999254942

夏普值報酬,0.138370470000000
夏普值風險,0.075171018977666
夏普值,1.840742241915212

預期報酬,21817.874319116006518
風險,487357.529385763220489
趨勢值,0.044767697231669
找到最佳解世代,2032
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
INTC[11](1),NKE[19](2),
Stock#,INTC[11](1),NKE[19](2),
張數,173130,87320,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,5.600000000558794,56.799999999813735,
20150810,5131578.800000000745058,5036674.399999999441206,10168253.199999999254942
20150811,5015581.700000000186265,4997380.399999999441206,10012962.099999999627471
20150812,5100415.400000000372529,4936256.400000000372529,10036671.800000000745058
20150813,4998268.700000001117587,4959832.799999999813735,9958101.500000000000000
20150814,5024238.200000000186265,4993014.399999999441206,10017252.599999999627471
20150817,5034626.000000000000000,5020083.599999999627471,10054709.599999999627471
20150818,5005193.900000000372529,5013097.999999999068677,10018291.899999998509884
20150819,4909972.400000000372529,5019210.399999999441206,9929182.800000000745058
20150820,4766274.500000000931323,4903074.799999999813735,9669349.300000000745058
20150821,4598338.400000000372529,4666437.599999999627471,9264776.000000000000000
20150824,4544668.100000000558794,4535457.599999999627471,9080125.699999999254942
20150825,4478878.700000001117587,4520613.200000000186265,8999491.900000002235174
20150826,4726454.600000000558794,4748518.400000000372529,9474973.000000000000000
20150827,4799169.200000000186265,4917046.000000000000000,9716215.199999999254942
20150828,4920360.200000001117587,4911806.799999999813735,9832167.000000000000000
20150831,4941135.800000000745058,4879498.400000000372529,9820634.200000001117587
20150901,4816482.200000000186265,4743279.200000000186265,9559761.400000000372529
20150902,4951523.600000000558794,4833218.799999999813735,9784742.400000000372529
20150903,5034626.000000000000000,4840204.399999999441206,9874830.399999998509884
20150904,4937673.200000000186265,4789558.799999999813735,9727232.000000000000000
20150908,5107340.600000000558794,4879498.400000000372529,9986839.000000000000000
20150909,5062326.800000000745058,4796544.399999999441206,9858871.199999999254942
20150910,5067520.700000000186265,4819247.599999999627471,9886768.300000000745058
20150911,5102146.700000000186265,4882117.999999999068677,9984264.699999999254942
20150914,5088296.300000000745058,4885610.799999999813735,9973907.100000001490116
20150915,5147160.500000000931323,4970311.200000000186265,10117471.700000001117587
20150916,5154085.700000000186265,5046279.599999999627471,10200365.300000000745058
20150917,5143697.900000000372529,5033181.599999999627471,10176879.500000000000000
20150918,5024238.200000000186265,5023576.400000000372529,10047814.600000001490116
20150921,5048476.400000000372529,5089066.400000000372529,10137542.800000000745058
20150922,4963642.700000001117587,5063743.599999999627471,10027386.300000000745058
20150923,4975761.800000000745058,5040167.199999999254942,10015929.000000000000000
20150924,4930748.000000000931323,5012224.799999999813735,9942972.800000000745058
20150925,4987880.900000000372529,5457556.799999999813735,10445437.699999999254942
20150928,4979224.400000000372529,5332689.200000000186265,10311913.600000001490116
20150929,5062326.800000000745058,5225285.600000000558794,10287612.400000002235174
20150930,5218143.800000000745058,5369363.599999999627471,10587507.400000000372529
20151001,5193905.600000000558794,5406911.200000000186265,10600816.800000000745058
20151002,5282201.900000000372529,5467162.000000000000000,10749363.900000000372529
20151005,5403392.900000000372529,5426121.599999999627471,10829514.500000000000000
20151006,5495151.800000000745058,5378968.799999999813735,10874120.600000001490116
20151007,5595567.200000000186265,5330942.799999999813735,10926510.000000000000000
20151008,5630193.200000001117587,5454064.000000000000000,11084257.200000001117587
20151009,5564403.800000000745058,5454937.199999999254942,11019341.000000000000000
20151012,5576522.900000000372529,5520427.199999999254942,11096950.099999999627471
20151013,5547090.800000000745058,5493357.999999999068677,11040448.800000000745058
20151014,5678669.599999999627471,5494231.200000000186265,11172900.800000000745058
20151015,5670013.100000000558794,5623464.800000000745058,11293477.900000002235174
20151016,5720220.800000000745058,5696813.599999999627471,11417034.400000000372529
20151019,5815442.300000000745058,5816442.000000000000000,11631884.300000000745058
20151020,5789472.799999999813735,5779767.599999999627471,11569240.399999998509884
20151021,5777353.700000000186265,5784133.599999999627471,11561487.300000000745058
20151022,5955677.600000000558794,5781513.999999999068677,11737191.599999999627471
20151023,6042242.600000000558794,5699433.199999999254942,11741675.800000000745058
20151026,5988572.300000000745058,5736107.599999999627471,11724679.900000000372529
20151027,5967796.700000000186265,5711657.999999999068677,11679454.699999999254942
20151028,6009347.900000000372529,5732614.800000000745058,11741962.700000001117587
20151029,5891619.500000000931323,5724756.000000000000000,11616375.500000000000000
20151030,5862187.400000000372529,5721263.199999999254942,11583450.599999999627471
20151102,5905469.900000000372529,5728248.799999998882413,11633718.699999999254942
20151103,5940095.900000001303852,5736980.799999999813735,11677076.700000001117587
20151104,5912395.100000000558794,5691574.400000000372529,11603969.500000000000000
20151105,5886425.600000000558794,5757064.400000000372529,11643490.000000000000000
20151106,5858724.800000000745058,5753571.599999999627471,11612296.400000000372529
20151109,5773891.100000000558794,5696813.599999999627471,11470704.699999999254942
