訓練日期,20140918 - 20141218
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11420139.220000000670552
真實報酬,1420139.220000000670552

夏普值報酬,0.133313922000000
夏普值風險,0.043643671037524
夏普值,3.054599185420936

預期報酬,24315.082428868870920
風險,179322.228896670480026
趨勢值,0.135594357590100
找到最佳解世代,2895
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
NKE[19](1),PG[21](5),
Stock#,NKE[19](1),PG[21](5),
張數,122669,59410,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,11.560000000521541,54.400000000372529,
20140918,5028213.870000001043081,5001782.299999999813735,10029996.170000001788139
20140919,5018400.350000000558794,5018417.100000000558794,10036817.450000001117587
20140922,4949705.710000000894070,5038616.500000000931323,9988322.210000000894070
20140923,4914131.700000001117587,5016634.799999999813735,9930766.500000000000000
20140924,4958292.540000000968575,5064162.799999999813735,10022455.339999999850988
20140925,4892051.280000001192093,5010099.700000000186265,9902150.980000000447035
20140926,5489449.310000000521541,5024952.200000000186265,10514401.510000001639128
20140929,5466142.200000001117587,5016634.799999999813735,10482777.000000000000000
20140930,5471048.960000000894070,4975047.799999999813735,10446096.760000001639128
20141001,5379047.210000000894070,4939401.800000000745058,10318449.010000001639128
20141002,5477182.410000000149012,4934054.900000000372529,10411237.310000000521541
20141003,5538516.910000000149012,4978018.300000000745058,10516535.210000000894070
20141006,5472275.650000000372529,4964948.099999999627471,10437223.750000000000000
20141007,5402354.320000000298023,4940590.000000000000000,10342944.320000000298023
20141008,5448968.540000000968575,5001188.200000001117587,10450156.740000002086163
20141009,5350833.339999999850988,4970295.000000000000000,10321128.339999999850988
20141010,5348379.960000000894070,5031487.299999999813735,10379867.260000001639128
20141013,5237977.860000001266599,4953066.100000000558794,10191043.960000000894070
20141014,5219577.509999999776483,4963759.900000000372529,10183337.410000000149012
20141015,5224484.270000000484288,4928113.900000000372529,10152598.170000001788139
20141016,5338566.440000001341105,4885932.799999999813735,10224499.240000002086163
20141017,5347153.270000000484288,4947125.100000000558794,10294278.370000001043081
20141020,5452648.610000001266599,5001188.200000001117587,10453836.810000002384186
20141021,5559370.640000000596046,5026734.500000000000000,10586105.140000000596046
20141022,5511529.730000000447035,5004158.700000000186265,10515688.429999999701977
20141023,5543423.669999999925494,4944748.700000000186265,10488172.370000001043081
20141024,5575317.610000001266599,5059410.000000000000000,10634727.610000001266599
20141027,5620705.140000000596046,5106343.900000000372529,10727049.040000000968575
20141028,5670999.429999999701977,5137237.100000000558794,10808236.530000001192093
20141029,5640332.179999999701977,5141395.800000000745058,10781727.980000000447035
20141030,5704120.060000000521541,5165159.799999999813735,10869279.859999999403954
20141031,5702893.370000001043081,5184765.100000000558794,10887658.470000002533197
20141103,5732333.929999999701977,5191300.200000000186265,10923634.129999998956919
20141104,5763001.179999999701977,5266156.800000000745058,11029157.980000000447035
20141105,5807162.020000000484288,5287544.400000000372529,11094706.420000001788139
20141106,5802255.259999999776483,5281603.400000000372529,11083858.660000000149012
20141107,5751960.970000000670552,5295267.700000000186265,11047228.670000001788139
20141110,5824335.679999999701977,5314278.900000000372529,11138614.580000000074506
20141111,5819428.919999999925494,5327349.100000000558794,11146778.019999999552965
20141112,5877083.350000000558794,5316061.200000000186265,11193144.550000000745058
20141113,5895483.700000001117587,5263780.400000000372529,11159264.100000001490116
20141114,5857456.310000000521541,5234669.500000000000000,11092125.810000000521541
20141117,5891803.630000000819564,5218628.800000000745058,11110432.430000001564622
20141118,5917564.120000001043081,5225163.900000000372529,11142728.020000001415610
20141119,5947004.679999999701977,5271503.700000000186265,11218508.379999998956919
20141120,5967858.410000000149012,5256057.100000000558794,11223915.510000001639128
20141121,5975218.550000000745058,5263780.400000000372529,11238998.950000001117587
20141124,6008339.179999999701977,5234669.500000000000000,11243008.679999999701977
20141125,5967858.410000000149012,5275662.400000000372529,11243520.810000000521541
20141126,5998525.660000000149012,5280415.200000000186265,11278940.859999999403954
20141128,6090527.410000000149012,5372500.700000001117587,11463028.110000001266599
20141201,5992392.210000000894070,5351707.200000000186265,11344099.410000000149012
20141202,6013245.940000001341105,5410523.099999999627471,11423769.040000000968575
20141203,6041459.810000000521541,5346954.400000000372529,11388414.210000000894070
20141204,6075807.130000000819564,5381412.200000000186265,11457219.330000001937151
20141205,6092980.790000000968575,5369530.200000000186265,11462510.990000002086163
20141208,5993618.900000000372529,5392106.000000000931323,11385724.900000002235174
20141209,5951911.440000001341105,5389135.500000000000000,11341046.940000001341105
20141210,5989938.830000000074506,5346954.400000000372529,11336893.230000000447035
20141211,5945777.990000000223517,5371312.500000000000000,11317090.490000000223517
20141212,5899163.770000000484288,5320219.900000000372529,11219383.670000001788139
20141215,5853776.240000000223517,5299426.400000000372529,11153202.640000000596046
20141216,5717613.650000000372529,5308932.000000000000000,11026545.650000000372529
20141217,5796121.810000000521541,5388541.400000000372529,11184663.210000000894070
20141218,5954364.820000000298023,5465774.400000000372529,11420139.220000000670552
