訓練日期,20110831 - 20111201
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12099819.949999999254942
真實報酬,2099819.949999999254942

夏普值報酬,0.201281995000000
夏普值風險,0.065693199013361
夏普值,3.063970061178813

預期報酬,34163.175175786054751
風險,353773.352433127176482
趨勢值,0.096567971953862
找到最佳解世代,2412
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CSCO[4](2),INTC[11](1),
Stock#,CSCO[4](2),INTC[11](1),
張數,319897,247035,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,9.889999999664724,11.600000000558794,
20110831,5012795.879999999888241,4972826.150000000372529,9985622.030000001192093
20110901,5060780.429999999701977,4938241.250000000000000,9999021.679999999701977
20110902,4929622.660000000149012,4851779.000000000931323,9781401.660000000149012
20110906,4888036.049999999813735,4827075.500000000000000,9715111.550000000745058
20110907,5079974.250000000000000,4960474.400000000372529,10040448.650000000372529
20110908,5211132.019999999552965,4916008.100000000558794,10127140.120000001043081
20110909,5060780.429999999701977,4866601.100000000558794,9927381.530000001192093
20110912,5147152.619999999180436,5009881.400000001303852,10157034.019999999552965
20110913,5230325.839999999850988,5128458.200000001117587,10358784.040000000968575
20110914,5223927.899999999441206,5217390.800000000745058,10441318.699999999254942
20110915,5332692.879999999888241,5321145.500000000000000,10653838.379999998956919
20110916,5316698.030000000260770,5427370.549999999813735,10744068.580000000074506
20110919,5281509.360000000335276,5417489.150000000372529,10698998.510000001639128
20110920,5287907.299999999813735,5484188.600000000558794,10772095.900000000372529
20110921,5067178.369999999180436,5419959.500000000931323,10487137.870000001043081
20110922,4904030.899999999441206,5340908.300000000745058,10244939.199999999254942
20110923,4993602.059999999590218,5474307.200000000186265,10467909.259999999776483
20110926,5115162.919999999925494,5494070.000000000000000,10609232.919999999925494
20110927,5140754.679999999701977,5568180.500000000000000,10708935.179999999701977
20110928,5067178.369999999180436,5511362.450000000186265,10578540.820000000298023
20110929,5070377.339999999850988,5486658.950000001117587,10557036.290000000968575
20110930,4958413.389999999664724,5271738.500000000931323,10230151.890000000596046
20111003,4859245.319999999366701,5093873.300000000745058,9953118.620000001043081
20111004,4984005.149999999441206,5242094.299999999813735,10226099.449999999254942
20111005,5169545.410000000149012,5397726.350000000558794,10567271.760000001639128
20111006,5358284.639999999664724,5442192.650000001303852,10800477.290000000968575
20111007,5329493.910000000149012,5506421.750000000000000,10835915.660000000149012
20111010,5467049.619999999180436,5652172.400000000372529,11119222.019999999552965
20111011,5435059.919999998994172,5679346.250000000000000,11114406.169999998062849
20111012,5518233.139999999664724,5711460.800000000745058,11229693.940000001341105
20111013,5572615.629999999888241,5778160.250000000931323,11350775.880000000819564
20111014,5614202.240000000223517,5805334.100000000558794,11419536.339999999850988
20111017,5492641.379999999888241,5750986.400000001303852,11243627.780000001192093
20111018,5601406.360000000335276,5780630.600000000558794,11382036.960000000894070
20111019,5489442.410000000149012,5988140.000000000000000,11477582.410000000149012
20111020,5499039.320000000298023,5832507.950000000186265,11331547.269999999552965
20111021,5559819.749999999068677,5936262.650000001303852,11496082.400000000372529
20111024,5611003.269999999552965,6074602.250000000931323,11685605.519999999552965
20111025,5636595.030000000260770,6084483.650000000372529,11721078.679999999701977
20111026,5633396.059999999590218,6101776.100000000558794,11735172.160000000149012
20111027,5898910.570000000298023,6208001.150000000372529,12106911.720000000670552
20111028,5937298.209999999031425,6170945.900000000372529,12108244.109999999403954
20111031,5927701.299999999813735,6062250.500000000000000,11989951.800000000745058
20111101,5626998.119999999180436,5904148.100000000558794,11531146.219999998807907
20111102,5710171.339999999850988,5891796.350000000558794,11601967.690000001341105
20111103,5815737.349999999627471,5978258.600000000558794,11793995.949999999254942
20111104,5767752.799999999813735,5864622.500000000000000,11632375.300000000745058
20111107,5761354.860000000335276,5998021.400000001303852,11759376.260000001639128
20111108,5857323.959999999031425,6114127.850000000558794,11971451.809999998658895
20111109,5633396.059999999590218,5889326.000000000931323,11522722.060000000521541
20111110,5953293.059999999590218,5943673.700000000186265,11896966.759999999776483
20111111,6084450.829999999143183,6138831.350000000558794,12223282.179999999701977
20111114,6058859.070000000298023,6084483.650000000372529,12143342.720000000670552
20111115,6116440.530000000260770,6259878.500000000931323,12376319.030000001192093
20111116,6014073.490000000223517,6161064.500000000931323,12175137.990000002086163
20111117,5911706.450000000186265,6012843.500000000931323,11924549.950000001117587
20111118,5892512.629999999888241,6000491.750000000000000,11893004.379999998956919
20111121,5758155.889999999664724,5822626.550000000745058,11580782.440000001341105
20111122,5732564.129999999888241,5741105.000000000000000,11473669.129999998956919
20111123,5569416.660000000149012,5607706.100000000558794,11177122.760000001639128
20111125,5598207.389999999664724,5615117.150000000372529,11213324.539999999105930
20111128,5761354.860000000335276,5795452.700000001117587,11556807.560000002384186
20111129,5655788.849999999627471,5825096.900000000372529,11480885.750000000000000
20111130,5962889.969999999739230,6153653.450000000186265,12116543.419999999925494
20111201,5943696.149999999441206,6156123.800000000745058,12099819.949999999254942
