訓練日期,20131220 - 20140326
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11229206.140000000596046
真實報酬,1229206.140000000596046

夏普值報酬,0.114220614000000
夏普值風險,0.036327888035848
夏普值,3.144157840590344

預期報酬,19808.655413334745390
風險,119657.190020039575757
趨勢值,0.165545049236216
找到最佳解世代,2943
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),MSFT[18](7),
Stock#,MRK[17](1),MSFT[18](7),
張數,102480,137931,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.799999999813735,1.250000000000000,
20131220,5054314.399999999441206,5075862.049999999813735,10130176.449999999254942
20131223,5058413.599999999627471,5051034.469999999739230,10109448.070000000298023
20131224,5063537.599999999627471,5114482.729999999515712,10178020.329999998211861
20131226,5095306.399999999441206,5164137.889999999664724,10259444.289999999105930
20131227,5102480.000000000000000,5143448.240000000223517,10245928.240000000223517
20131230,5117852.000000000000000,5143448.240000000223517,10261300.240000000223517
20131231,5129124.799999999813735,5159999.959999999962747,10289124.759999999776483
20140102,5071736.000000000000000,5125517.209999999962747,10197253.210000000894070
20140103,5096331.199999999254942,5091034.459999999962747,10187365.660000000149012
20140106,5097356.000000000000000,4983448.280000000260770,10080804.280000001192093
20140107,5135273.599999999627471,5022068.959999999962747,10157342.559999998658895
20140108,5102480.000000000000000,4932413.809999999590218,10034893.809999998658895
20140109,5074810.400000000372529,4900689.679999999701977,9975500.080000000074506
20140110,5111703.200000000186265,4971034.490000000223517,10082737.690000001341105
20140113,5443738.399999999441206,4824827.629999999888241,10268566.029999999329448
20140114,5431440.799999999813735,4935172.429999999701977,10366613.230000000447035
20140115,5382250.400000000372529,5070344.809999999590218,10452595.210000000894070
20140116,5380200.799999999813735,5088275.839999999850988,10468476.640000000596046
20140117,5323836.799999999813735,5017931.030000000260770,10341767.830000000074506
20140121,5311539.199999999254942,4988965.520000000484288,10300504.719999998807907
20140122,5262348.799999999813735,4955862.080000000074506,10218210.879999998956919
20140123,5287968.799999999813735,4973793.110000000335276,10261761.910000000149012
20140124,5326911.199999999254942,5077241.360000000335276,10404152.559999998658895
20140127,5383275.200000000186265,4969655.179999999701977,10352930.379999998956919
20140128,5418118.399999999441206,5002758.620000000111759,10420877.019999999552965
20140129,5350481.599999999627471,5056551.709999999962747,10407033.309999998658895
20140130,5483705.599999999627471,5084137.910000000149012,10567843.509999999776483
20140131,5428366.399999999441206,5219310.290000000037253,10647676.689999999478459
20140203,5337159.199999999254942,5031724.129999999888241,10368883.329999998211861
20140204,5483705.599999999627471,5013793.100000000558794,10497498.699999999254942
20140205,5485755.200000000186265,4940689.669999999925494,10426444.870000001043081
20140206,5510350.400000000372529,4990344.830000000074506,10500695.230000000447035
20140207,5612830.400000000372529,5042758.610000000335276,10655589.010000001639128
20140210,5625128.000000000000000,5075862.049999999813735,10700990.050000000745058
20140211,5708136.799999999813735,5126896.520000000484288,10835033.320000000298023
20140212,5636400.799999999813735,5168275.820000000298023,10804676.620000001043081
20140213,5646648.799999999813735,5187586.160000000149012,10834234.960000000894070
20140214,5681492.000000000000000,5188965.469999999739230,10870457.469999998807907
20140218,5707112.000000000000000,5161379.270000000484288,10868491.269999999552965
20140219,5640500.000000000000000,5173793.059999999590218,10814293.059999998658895
20140220,5719409.599999999627471,5206896.500000000000000,10926306.099999999627471
20140221,5741955.200000000186265,5238620.629999999888241,10980575.830000000074506
20140224,5757327.200000000186265,5198620.639999999664724,10955947.839999999850988
20140225,5729657.599999999627471,5177930.990000000223517,10907588.589999999850988
20140226,5766550.400000000372529,5168275.820000000298023,10934826.220000000670552
20140227,5806517.599999999627471,5222068.910000000149012,11028586.509999999776483
20140228,5840336.000000000000000,5284137.860000000335276,11124473.859999999403954
20140303,5781922.400000000372529,5211034.429999999701977,10992956.830000000074506
20140304,5847509.599999999627471,5297930.959999999962747,11145440.559999998658895
20140305,5829063.200000000186265,5256551.660000000149012,11085614.859999999403954
20140306,5868005.599999999627471,5262068.899999999441206,11130074.500000000000000
20140307,5889526.399999999441206,5227586.149999999441206,11117112.549999998882413
20140310,5874154.399999999441206,5216551.669999999925494,11090706.070000000298023
20140311,5809592.000000000000000,5244137.870000000111759,11053729.870000001043081
20140312,5821889.599999999627471,5278620.620000000111759,11100510.219999998807907
20140313,5717360.000000000000000,5226206.839999999850988,10943566.839999999850988
20140314,5708136.799999999813735,5199999.950000000186265,10908136.750000000000000
20140317,5765525.599999999627471,5248275.799999999813735,11013801.399999998509884
20140318,5775773.599999999627471,5455172.299999999813735,11230945.899999998509884
20140319,5737856.000000000000000,5416551.620000000111759,11154407.620000001043081
20140320,5696864.000000000000000,5562758.479999999515712,11259622.480000000447035
20140321,5601557.599999999627471,5539310.209999999962747,11140867.809999998658895
20140324,5511375.200000000186265,5586206.750000000000000,11097581.949999999254942
20140325,5655872.000000000000000,5564137.790000000037253,11220009.789999999105930
20140326,5740930.400000000372529,5488275.740000000223517,11229206.140000000596046
