訓練日期,20140603 - 20140903
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11263050.540000000968575
真實報酬,1263050.540000000968575

夏普值報酬,0.117605054000000
夏普值風險,0.036744392267498
夏普值,3.200625911672139

預期報酬,21009.566943895810255
風險,107516.173995630917489
趨勢值,0.195408431709536
找到最佳解世代,2292
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](5),INTC[11](1),PG[21](14),
Stock#,DIS[6](5),INTC[11](1),PG[21](14),
張數,39555,122279,41480,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,33.150000000372529,7.459999999962747,0.200000000186265,
20140603,3317906.550000000279397,3382244.600000000093132,3315496.600000000558794,10015648.750000000000000
20140604,3332146.350000000093132,3374907.860000000335276,3312593.000000000000000,10019648.210000000894070
20140605,3353506.050000000279397,3382244.600000000093132,3322963.000000000000000,10058714.650000000372529
20140606,3346781.700000000186265,3444606.890000000130385,3319644.600000000093132,10111034.189999999478459
20140609,3381194.550000000745058,3412814.350000000093132,3322133.400000000372529,10116143.300000000745058
20140610,3352319.400000000372529,3453166.419999999925494,3324622.200000000651926,10130109.020000001415610
20140611,3334915.200000000651926,3415259.929999999701977,3320889.000000000465661,10071065.130000000819564
20140612,3275187.150000000372529,3418928.300000000279397,3308445.000000000465661,10002561.450000001117587
20140613,3275187.150000000372529,3652481.189999999944121,3303467.400000000372529,10231136.740000000223517
20140616,3294964.650000000372529,3669600.250000000000000,3305541.399999999906868,10270107.300000000745058
20140617,3289426.950000000186265,3662263.509999999776483,3300978.600000000093132,10252670.060000000521541
20140618,3306040.050000000279397,3659817.929999999701977,3309689.400000000372529,10275548.380000000819564
20140619,3313555.500000000000000,3679382.569999999832362,3328355.399999999906868,10321294.470000000670552
20140620,3275978.250000000000000,3692833.259999999776483,3315496.600000000558794,10284309.109999999403954
