訓練日期,20171130 - 20180306
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12386706.160000000149012
真實報酬,2386706.160000000149012

夏普值報酬,0.229970616000000
夏普值風險,0.071464638644293
夏普值,3.217963742105423

預期報酬,42292.061740458018903
風險,273297.576876979670487
趨勢值,0.154747298617635
找到最佳解世代,2054
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](1),CSCO[4](4),
Stock#,BA[2](1),CSCO[4](4),
張數,18566,133404,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,176.200000000186265,18.080000000074506,
20171130,5139245.000000000000000,4975987.279999999329448,10115232.279999999329448
20171201,5038617.280000000260770,5016008.480000000447035,10054625.760000001639128
20171204,5160967.220000000670552,5032016.959999999962747,10192984.179999999701977
20171205,5115851.840000000782311,4977321.320000000298023,10093173.160000000149012
20171206,5166537.019999999552965,4990661.719999999739230,10157198.739999998360872
20171207,5235231.220000000670552,4989327.679999999701977,10224558.900000000372529
20171208,5308195.599999999627471,5017342.519999999552965,10325538.119999999180436
20171211,5257324.760000000707805,5064033.919999999925494,10321358.679999999701977
20171212,5383202.240000000223517,5057363.719999999739230,10440565.960000000894070
20171213,5418477.639999999664724,5089380.679999999701977,10507858.320000000298023
20171214,5456352.280000000260770,5056029.679999999701977,10512381.960000000894070
20171215,5457466.240000000223517,5094716.839999999850988,10552183.080000000074506
20171218,5498311.439999999478459,5133404.000000000000000,10631715.439999999478459
20171219,5518919.700000000186265,5109391.279999999329448,10628310.980000000447035
20171220,5530987.599999999627471,5168089.040000000037253,10699076.640000000596046
20171221,5477703.179999999701977,5140074.200000000186265,10617777.379999998956919
20171222,5479002.800000000745058,5142742.279999999329448,10621745.080000000074506
20171226,5483829.960000000894070,5133404.000000000000000,10617233.960000000894070
20171227,5488657.120000000111759,5144076.320000000298023,10632733.440000001341105
20171228,5502210.300000000745058,5148078.440000000409782,10650288.740000002086163
20171229,5475475.260000000707805,5109391.279999999329448,10584866.539999999105930
20180102,5511307.639999999664724,5184097.519999999552965,10695405.160000000149012
20180103,5529131.000000000000000,5225452.760000000707805,10754583.760000001639128
20180104,5508151.420000000856817,5201440.040000000037253,10709591.460000000894070
20180105,5734099.639999999664724,5273478.200000000186265,11007577.839999999850988
20180108,5758421.099999999627471,5328173.839999999850988,11086594.939999999478459
20180109,5912147.580000000074506,5294822.839999999850988,11206970.419999999925494
20180110,5946123.360000000335276,5324171.719999999739230,11270295.080000000074506
20180111,6092052.120000000111759,5349518.480000000447035,11441570.600000001490116
20180112,6242251.059999999590218,5452239.559999999590218,11694490.619999999180436
20180116,6222756.760000000707805,5408216.240000000223517,11630973.000000000000000
20180117,6517027.860000000335276,5496262.880000000819564,12013290.740000002086163
20180118,6315586.760000000707805,5509603.279999999329448,11825190.039999999105930
20180119,6270471.380000000819564,5508269.240000000223517,11778740.620000001043081
20180122,6275484.200000000186265,5557628.719999999739230,11833112.919999999925494
20180123,6230740.139999999664724,5616326.480000000447035,11847066.620000001043081
20180124,6214030.740000000223517,5625664.760000000707805,11839695.500000000000000
20180125,6370356.460000000894070,5589645.679999999701977,11960002.140000000596046
20180126,6372398.720000000670552,5677692.320000000298023,12050091.040000000968575
20180129,6327840.320000000298023,5716379.480000000447035,12044219.800000000745058
20180130,6270100.059999999590218,5636337.080000000074506,11906437.140000000596046
20180131,6579409.620000000111759,5541620.240000000223517,12121029.859999999403954
20180201,6627124.240000000223517,5562964.880000000819564,12190089.120000001043081
20180202,6478039.260000000707805,5460243.799999999813735,11938283.060000000521541
20180205,6106162.280000000260770,5173425.200000000186265,11279587.480000000447035
20180206,6329511.260000000707805,5358856.760000000707805,11688368.020000001415610
20180207,6463372.120000000111759,5381535.440000000409782,11844907.560000000521541
20180208,6120643.760000000707805,5172091.160000000149012,11292734.920000001788139
20180209,6179497.979999999515712,5273478.200000000186265,11452976.179999999701977
20180212,6383167.000000000000000,5416220.480000000447035,11799387.480000000447035
20180213,6371284.760000000707805,5500265.000000000000000,11871549.760000001639128
20180214,6402661.300000000745058,5614992.440000000409782,12017653.740000002086163
20180215,6618212.559999999590218,5880466.399999999441206,12498678.959999999031425
20180216,6591848.840000000782311,5913817.399999999441206,12505666.240000000223517
20180220,6560472.300000000745058,5877798.320000000298023,12438270.620000001043081
20180221,6542277.620000000111759,5777745.320000000298023,12320022.940000001341105
20180222,6608186.920000000856817,5728385.839999999850988,12336572.760000001639128
20180223,6621925.760000000707805,5869794.080000000074506,12491719.839999999850988
20180226,6748545.880000000819564,6051223.519999999552965,12799769.400000000372529
20180227,6770082.439999999478459,6008534.240000000223517,12778616.679999999701977
20180228,6724967.059999999590218,5973849.200000000186265,12698816.259999999776483
20180301,6492520.740000000223517,5843113.279999999329448,12335634.019999999552965
20180302,6399319.420000000856817,5877798.320000000298023,12277117.740000002086163
20180305,6549332.700000000186265,5939164.160000000149012,12488496.859999999403954
20180306,6478224.920000000856817,5908481.240000000223517,12386706.160000000149012
