訓練日期,20160509 - 20160809
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11116643.770000001415610
真實報酬,1116643.770000001415610

夏普值報酬,0.102964377000000
夏普值風險,0.033860955244709
夏普值,3.040799536099584

預期報酬,18018.737043079068826
風險,89541.856638794866740
趨勢值,0.201232560050271
找到最佳解世代,1978
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](11),CSCO[4](4),JNJ[12](2),UNH[23](3),VZ[26](10),
Stock#,AAPL[0](11),CSCO[4](4),JNJ[12](2),UNH[23](3),VZ[26](10),
張數,21570,75386,17739,15146,39123,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,29.600000000093132,9.419999999925494,105.140000000130385,122.160000000149012,32.239999999990687,
20160509,2001509.900000000139698,1998492.280000000027940,2017384.220000000204891,2009541.979999999981374,1998435.079999999841675,10025363.460000000894070
20160510,2015099.000000000232831,2037693.000000000000000,2034236.270000000251457,2023173.380000000121072,2016431.659999999916181,10126633.310000000521541
20160511,1995470.300000000279397,2012815.619999999878928,2028914.570000000298023,1979552.900000000139698,2001173.689999999944121,10017927.080000000074506
20160512,1948663.400000000139698,2010554.040000000037253,2026431.110000000102445,1965164.200000000186265,2013693.050000000046566,9964505.800000000745058
20160513,1952546.000000000000000,2000000.000000000000000,2014545.980000000214204,1953956.160000000149012,1992957.859999999869615,9914006.000000000000000
20160516,2025021.199999999953434,2033169.839999999850988,2030156.300000000046566,1978795.599999999860302,2004303.529999999795109,10071446.469999998807907
20160517,2016608.899999999906868,2009046.319999999832362,2019335.510000000009313,1962437.920000000158325,1991392.939999999944121,9998821.589999999850988
20160518,2039688.800000000046566,2014323.339999999850988,2015078.150000000139698,1976826.620000000111759,1971440.209999999962747,10017357.120000001043081
20160519,2031923.600000000093132,2078401.439999999944121,2001951.290000000037253,1969102.160000000149012,1941706.729999999981374,10023085.220000000670552
20160520,2053925.000000000000000,2108555.839999999850988,1998226.100000000093132,1983339.400000000139698,1942880.419999999925494,10086926.759999999776483
20160523,2080024.700000000186265,2106294.260000000242144,1989711.380000000121072,1975463.479999999981374,1922536.459999999962747,10074030.280000001192093
20160524,2111732.600000000093132,2146248.839999999850988,1999113.050000000046566,2008330.300000000279397,1939750.579999999841675,10205175.369999999180436
20160525,2148833.000000000000000,2180172.540000000037253,2010820.790000000037253,2020901.479999999981374,1950313.790000000037253,10311041.600000001490116
20160526,2165873.299999999813735,2178664.819999999832362,2002838.240000000223517,2014237.239999999990687,1962441.919999999925494,10324055.519999999552965
20160527,2164579.100000000093132,2180172.540000000037253,2005676.480000000214204,2029686.160000000149012,1980438.500000000000000,10360552.780000001192093
20160531,2154009.800000000279397,2189972.720000000204891,1999113.050000000046566,2024687.979999999981374,1991392.939999999944121,10359176.490000000223517
20160601,2123811.799999999813735,2178664.819999999832362,2000709.560000000055879,2037713.540000000270084,1973005.129999999888241,10313904.849999999627471
20160602,2107850.000000000000000,2192234.299999999813735,2031043.250000000000000,2060584.000000000000000,1986306.950000000186265,10378018.500000000000000
20160603,2112164.000000000000000,2196003.599999999627471,2035832.780000000260770,2072700.800000000279397,1992175.400000000139698,10408876.580000000074506
20160606,2127478.700000000186265,2193742.020000000018626,2053749.170000000158325,2092542.060000000288710,1983959.570000000065193,10451471.520000001415610
20160607,2136106.700000000186265,2191480.439999999944121,2053039.610000000102445,2074215.400000000139698,2024647.489999999990687,10479489.640000000596046
20160608,2134165.399999999906868,2196757.459999999962747,2054281.340000000083819,2126620.560000000055879,2015649.200000000186265,10527473.960000000894070
20160609,2149480.100000000093132,2196757.459999999962747,2075568.140000000130385,2130861.440000000409782,2032472.090000000083819,10585139.230000000447035
20160610,2131792.700000000186265,2188465.000000000000000,2075745.530000000260770,2109051.200000000186265,2060640.650000000139698,10565695.080000000074506
20160613,2099653.400000000372529,2174141.659999999683350,2071842.950000000186265,2091633.300000000279397,2056728.350000000093132,10493999.660000000149012
20160614,2102241.799999999813735,2183187.979999999981374,2077696.820000000298023,2088301.180000000167638,2073160.010000000009313,10524587.789999999105930
20160615,2095339.400000000139698,2159818.319999999832362,2065102.130000000121072,2079062.120000000111759,2067291.560000000055879,10466613.529999999329448
20160616,2104183.100000000093132,2176403.240000000223517,2069182.100000000093132,2100266.520000000018626,2091547.820000000065193,10541582.779999999329448
20160617,2056297.699999999953434,2182434.119999999646097,2048604.860000000102445,2085574.900000000139698,2104067.179999999701977,10476978.759999999776483
20160620,2051336.599999999860302,2171126.220000000204891,2067408.200000000186265,2098146.080000000074506,2103284.719999999739230,10491301.820000000298023
20160621,2068808.300000000046566,2168864.639999999664724,2061022.160000000149012,2093147.900000000139698,2116586.540000000037253,10508429.539999999105930
20160622,2061043.100000000093132,2165095.339999999850988,2065989.080000000074506,2088755.560000000288710,2113847.929999999701977,10494731.009999999776483
20160623,2072906.599999999860302,2202788.339999999850988,2082308.959999999962747,2108293.899999999906868,2138886.650000000372529,10605184.449999999254942
20160624,2014667.600000000325963,2091970.919999999925494,2051265.709999999962747,2079516.500000000000000,2129497.129999999888241,10366917.859999999403954
20160627,1985332.400000000139698,2058801.079999999841675,2067585.590000000083819,2076790.220000000437722,2141625.259999999776483,10330134.550000000745058
20160628,2018765.900000000139698,2094986.359999999869615,2097387.110000000335276,2101023.820000000298023,2144755.099999999627471,10456918.289999999105930
20160629,2036237.600000000325963,2130417.780000000260770,2116900.010000000242144,2128438.080000000074506,2154144.620000000111759,10566138.089999999850988
20160630,2062121.599999999860302,2162833.760000000242144,2151845.839999999850988,2138737.359999999869615,2184660.560000000521541,10700199.120000001043081
20160701,2068376.900000000139698,2171126.220000000204891,2151668.450000000186265,2133587.720000000204891,2199918.530000000260770,10724677.820000000298023
20160705,2048963.899999999906868,2135694.799999999813735,2169052.669999999925494,2144189.920000000391155,2211655.429999999701977,10709556.719999998807907
