訓練日期,20160629 - 20160929
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11195141.390000000596046
真實報酬,1195141.390000000596046

夏普值報酬,0.110814139000000
夏普值風險,0.032444773533956
夏普值,3.415469640557844

預期報酬,22712.678387231098895
風險,154576.902694532618625
趨勢值,0.146934490155459
找到最佳解世代,1807
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),PG[21](4),V[25](1),
Stock#,AAPL[0](2),PG[21](4),V[25](1),
張數,35616,40423,44349,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,31.560000000055879,52.420000000391155,62.160000000149012,
20160629,3362181.960000000428408,3391946.350000000093132,3403404.419999999925494,10157533.730000000447035
20160630,3404921.159999999683350,3422667.830000000540167,3289427.490000000223517,10117017.480000000447035
20160701,3415249.800000000279397,3427114.360000000335276,3303175.680000000167638,10145540.839999999850988
20160705,3383195.399999999906868,3453793.540000000502914,3311601.990000000223517,10148591.929999999701977
20160706,3402428.040000000037253,3437220.110000000335276,3284549.100000000093132,10124198.250000000000000
20160707,3417030.600000000093132,3429135.510000000242144,3284549.100000000093132,10130716.210000000894070
20160708,3443386.440000000409782,3467133.130000000353903,3389212.740000000223517,10299733.310000000521541
20160711,3454071.240000000223517,3466324.670000000391155,3393647.640000000130385,10314044.550000000745058
20160712,3469742.280000000260770,3466324.670000000391155,3436222.680000000167638,10372290.630000000819564
20160713,3450153.480000000447035,3471983.890000000596046,3435335.699999999720603,10357474.070000000298023
20160714,3518536.200000000186265,3471175.430000000633299,3465493.020000000018626,10455205.650000000372529
20160715,3518180.040000000037253,3476834.650000000372529,3472588.859999999869615,10467604.550000000745058
20160718,3555576.839999999850988,3473600.810000000521541,3473032.350000000093132,10502211.000000000000000
20160719,3557001.480000000447035,3483302.330000000540167,3491215.439999999944121,10531520.250000000000000
20160720,3560206.919999999925494,3448942.780000000260770,3519598.800000000279397,10528749.500000000000000
20160721,3541330.440000000409782,3446517.400000000372529,3494319.870000000577420,10482168.710000000894070
20160722,3513906.120000000111759,3465111.980000000447035,3543990.750000000000000,10523009.850000001490116
20160725,3466893.000000000000000,3468345.820000000298023,3500972.220000000204891,10436212.040000000968575
20160726,3443030.280000000260770,3446921.630000000353903,3481015.169999999925494,10370968.080000000074506
20160727,3666698.760000000242144,3414179.000000000000000,3482789.130000000353903,10563667.890000000596046
20160728,3716205.000000000000000,3428327.050000000279397,3512059.470000000204891,10656592.520000001415610
20160729,3711574.919999999925494,3459856.990000000689179,3461501.609999999869615,10632934.519999999552965
20160801,3777108.359999999869615,3493003.850000000093132,3470814.900000000372529,10740928.109999999403954
20160802,3721191.240000000223517,3507151.900000000372529,3471701.880000000353903,10700046.020000001415610
20160803,3767848.200000000186265,3475217.730000000447035,3490771.949999999720603,10733838.880000000819564
20160804,3770697.480000000447035,3478451.570000000298023,3524920.680000000167638,10774070.730000000447035
20160805,3828039.240000000223517,3467537.360000000335276,3554191.020000000018626,10849768.620000001043081
20160808,3859737.480000000447035,3466728.900000000372529,3545764.710000000428408,10872232.090000001713634
20160809,3875408.520000000018626,3476026.190000000409782,3550643.100000000093132,10902078.810000000521541
20160810,3846559.560000000055879,3488961.550000000279397,3533790.480000000447035,10869312.589999999850988
20160811,3844066.440000000409782,3505939.210000000428408,3553304.040000000502914,10903310.690000001341105
20160812,3852970.440000000409782,3518470.340000000782311,3548869.140000000130385,10920310.920000001788139
