訓練日期,20160210 - 20160512
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11173415.460000000894070
真實報酬,1173415.460000000894070

夏普值報酬,0.108641546000000
夏普值風險,0.032094736912097
夏普值,3.385026844044735

預期報酬,17943.582247264188481
風險,48532.366702187915507
趨勢值,0.369724030920900
找到最佳解世代,1972
找到最佳解實驗#,2
找到最佳解次數,23

stock[index](rank)
投資組合檔數,3
JNJ[12](1),MCD[15](5),XOM[29](6),
Stock#,JNJ[12](1),MCD[15](5),XOM[29](6),
張數,32689,28487,41625,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,35.669999999925494,69.129999999888241,3.000000000000000,
20160210,3325487.640000000130385,3348431.109999999869615,3302946.749999999534339,9976866.500000000000000
20160211,3324506.970000000204891,3325356.640000000130385,3313352.999999999534339,9963217.609999999403954
20160212,3328429.649999999906868,3359541.040000000037253,3372876.750000000000000,10060848.439999999478459
20160216,3344774.149999999906868,3395149.790000000037253,3380785.500000000000000,10120710.439999999478459
20160217,3350658.169999999925494,3379766.810000000055879,3413253.000000000000000,10143678.980000000447035
20160218,3407537.029999999795109,3337890.919999999925494,3431984.250000000000000,10177413.199999999254942
20160219,3404921.909999999683350,3319659.239999999757856,3434065.500000000000000,10158647.649999998509884
20160222,3424208.419999999925494,3352134.419999999925494,3429486.750000000000000,10205830.589999999850988
20160223,3402306.790000000037253,3330199.430000000167638,3381201.750000000000000,10113708.970000000670552
20160224,3431073.109999999869615,3334757.350000000093132,3393273.000000000000000,10159104.460000000894070
20160225,3477491.489999999757856,3372075.319999999832362,3413669.250000000000000,10263237.059999998658895
20160226,3457878.089999999850988,3334757.350000000093132,3402846.750000000000000,10195483.189999999478459
20160229,3439245.359999999869615,3338460.659999999683350,3336246.750000000465661,10113953.769999999552965
20160301,3504950.250000000000000,3385749.079999999608845,3383283.000000000000000,10273983.330000000074506
20160302,3499066.229999999981374,3375208.890000000130385,3442390.500000000000000,10316666.620000001043081
20160303,3486317.520000000018626,3324217.159999999683350,3429903.000000000465661,10240438.679999999701977
20160304,3481414.169999999925494,3338175.790000000037253,3425324.250000000465661,10244915.210000000894070
20160307,3489259.529999999795109,3337321.180000000167638,3515650.499999999534339,10342232.209999999031425
20160308,3472261.250000000000000,3373499.669999999925494,3439476.750000000000000,10285238.669999999925494
20160309,3492528.430000000167638,3408253.810000000055879,3429903.000000000465661,10330686.240000000223517
20160310,3502335.129999999888241,3417939.390000000130385,3420745.500000000465661,10341021.019999999552965
20160311,3520967.859999999869615,3462663.979999999981374,3421161.750000000000000,10404794.589999999850988
20160314,3519333.409999999683350,3501121.430000000167638,3430319.250000000000000,10450775.089999999850988
20160315,3522602.310000000055879,3516219.540000000037253,3447385.499999999534339,10486208.349999999627471
20160316,3511161.159999999683350,3518783.369999999646097,3449466.750000000000000,10479412.279999999329448
20160317,3489259.529999999795109,3508528.049999999813735,3500665.499999999534339,10498454.080000000074506
20160318,3514103.169999999925494,3534736.089999999850988,3504828.000000000000000,10553668.259999999776483
20160321,3506911.589999999850988,3527044.600000000093132,3480685.500000000000000,10514642.689999999478459
20160322,3510180.489999999757856,3527329.469999999739230,3501498.000000000000000,10539008.959999999031425
20160323,3546792.169999999925494,3537869.659999999683350,3486096.750000000000000,10570759.580000000074506
20160324,3540581.259999999776483,3512231.359999999869615,3495670.500000000000000,10548484.119999999180436
20160328,3537966.140000000130385,3508812.919999999925494,3505660.500000000000000,10552440.560000000521541
20160329,3567713.129999999888241,3531602.520000000018626,3518564.250000000000000,10617880.900000000372529
20160330,3562482.890000000130385,3584588.339999999850988,3518148.000000000000000,10665220.230000000447035
20160331,3536985.470000000204891,3580315.290000000037253,3479436.750000000000000,10596738.509999999776483
20160401,3569347.580000000074506,3618487.869999999646097,3453212.999999999534339,10641049.449999999254942
20160404,3549734.180000000167638,3634155.719999999739230,3461538.000000000000000,10645428.900000000372529
20160405,3561502.220000000204891,3628743.189999999944121,3421994.249999999534339,10612240.660000000149012
20160406,3576866.049999999813735,3632731.369999999646097,3467781.750000000000000,10677380.169999999925494
20160407,3571962.699999999720603,3650393.309999999590218,3428654.250000000000000,10651011.259999999776483
20160408,3566405.569999999832362,3645265.649999999906868,3463619.249999999534339,10675291.469999998807907
20160411,3562156.000000000000000,3633870.850000000093132,3468197.999999999534339,10664225.849999999627471
20160412,3582750.069999999832362,3635295.199999999720603,3511071.749999999534339,10729118.019999999552965
20160413,3591576.100000000093132,3614784.560000000055879,3531051.750000000000000,10737413.410000000149012
20160414,3590595.430000000167638,3632446.500000000000000,3556026.750000000465661,10779069.679999999701977
20160415,3601709.689999999944121,3640137.989999999757856,3536879.250000000000000,10778727.929999999701977
20160418,3626226.439999999944121,3670619.079999999608845,3570595.500000000000000,10867442.019999999552965
20160419,3683432.189999999944121,3670903.950000000186265,3588494.249999999534339,10942831.390000000596046
20160420,3712852.290000000037253,3662072.979999999981374,3613053.000000000000000,10987979.269999999552965
20160421,3712525.399999999906868,3583448.859999999869615,3612636.750000000465661,10908612.009999999776483
20160422,3704353.149999999906868,3575187.629999999888241,3643439.250000000000000,10922981.029999999329448
20160425,3710564.060000000055879,3631022.149999999906868,3635114.250000000000000,10976701.460000000894070
20160426,3690950.659999999683350,3638143.899999999906868,3647601.750000000000000,10976697.309999998658895
20160427,3686374.199999999720603,3654951.229999999981374,3682150.499999999534339,11023476.929999999701977
20160428,3676894.390000000130385,3644126.169999999925494,3664251.750000000000000,10985273.310000000521541
20160429,3663818.790000000037253,3603389.759999999776483,3679653.000000000465661,10946862.550000000745058
20160502,3685720.419999999925494,3652102.529999999795109,3710039.250000000000000,11047863.199999999254942
20160503,3683759.080000000074506,3657799.930000000167638,3667581.750000000000000,11009141.759999999776483
20160504,3668395.250000000000000,3684292.840000000316650,3660505.500000000000000,11013194.589999999850988
20160505,3689969.989999999757856,3682868.489999999757856,3664668.000000000465661,11037507.480000000447035
20160506,3685393.529999999795109,3719901.590000000316650,3684231.750000000000000,11089527.870000001043081
20160509,3717428.750000000000000,3727023.340000000316650,3686729.249999999534339,11131182.339999999850988
20160510,3748483.299999999813735,3748958.329999999608845,3745836.750000000000000,11243279.379999998956919
20160511,3738676.600000000093132,3678880.309999999590218,3696719.250000000000000,11114277.160000000149012
20160512,3734100.140000000130385,3706797.569999999832362,3732516.750000000000000,11173415.460000000894070
