訓練日期,20130702 - 20131002
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11704837.390000000596046
真實報酬,1704837.390000000596046

夏普值報酬,0.161783739000000
夏普值風險,0.044479238217041
夏普值,3.637286641703709

預期報酬,27468.641778252276708
風險,122995.021043057960924
趨勢值,0.223331331181578
找到最佳解世代,2409
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),BA[2](8),DD[7](1),NKE[19](7),
Stock#,AAPL[0](2),BA[2](8),DD[7](1),NKE[19](7),
張數,42764,24215,54019,80205,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,16.560000000055879,43.399999999906868,0.680000000167638,10.149999999906868,
20130702,2556448.479999999981374,2457139.449999999720603,2495678.480000000447035,2511228.699999999720603,10020495.109999999403954
20130703,2570560.600000000093132,2491524.750000000000000,2494598.100000000093132,2520853.299999999813735,10077536.750000000000000
20130705,2550033.880000000353903,2523246.399999999906868,2514585.129999999888241,2552133.250000000000000,10139998.660000000149012
20130708,2535494.120000000111759,2527362.950000000186265,2545375.959999999962747,2555341.449999999720603,10163574.480000000447035
20130709,2580396.320000000298023,2534869.600000000093132,2617221.230000000447035,2564164.000000000000000,10296651.150000000372529
20130710,2570132.959999999962747,2554725.899999999906868,2599394.959999999962747,2550529.149999999906868,10274782.969999998807907
20130711,2610331.120000000111759,2588142.599999999627471,2630725.980000000447035,2555341.449999999720603,10384541.150000000372529
20130712,2605627.080000000074506,2466825.450000000186265,2624783.890000000130385,2553737.350000000093132,10250973.769999999552965
20130715,2611186.400000000372529,2558600.299999999813735,2646391.490000000223517,2540904.549999999813735,10357082.740000000223517
20130716,2628292.000000000000000,2523972.850000000093132,2613439.900000000372529,2514436.899999999906868,10280141.650000000372529
20130717,2628719.640000000130385,2537533.250000000000000,2671780.420000000391155,2540102.500000000000000,10378135.810000000521541
20130718,2637700.080000000074506,2606303.849999999627471,2660436.430000000167638,2539300.449999999720603,10443740.809999998658895
20130719,2596219.000000000000000,2590079.799999999813735,2666918.709999999962747,2540904.549999999813735,10394122.059999998658895
20130722,2604344.160000000149012,2587658.299999999813735,2660976.620000000111759,2538498.399999999906868,10391477.480000000447035
20130723,2559869.600000000093132,2610178.250000000000000,2657735.480000000447035,2534488.149999999906868,10362271.480000000447035
20130724,2691155.080000000074506,2589837.649999999906868,2644230.730000000447035,2512030.750000000000000,10437254.210000000894070
20130725,2678753.520000000018626,2583783.899999999906868,2691767.450000000186265,2506416.399999999906868,10460721.269999999552965
20130726,2694148.560000000055879,2557147.399999999906868,2669619.660000000149012,2508020.500000000000000,10428936.120000001043081
20130729,2735629.640000000130385,2538017.549999999813735,2692307.640000000130385,2515238.949999999720603,10481193.779999999329448
20130730,2769413.200000000186265,2560295.350000000093132,2697169.350000000093132,2520853.299999999813735,10547731.199999999254942
20130731,2764709.160000000149012,2545039.899999999906868,2695548.780000000260770,2523259.450000000186265,10528557.290000000968575
20130801,2789939.919999999925494,2583783.899999999906868,2723098.470000000204891,2645973.100000000093132,10742795.390000000596046
20130802,2825861.680000000167638,2612841.899999999906868,2786300.700000000186265,2658805.899999999906868,10883810.179999999701977
20130805,2867770.400000000372529,2603155.899999999906868,2806287.730000000447035,2662816.149999999906868,10940030.180000001564622
20130806,2842112.000000000000000,2592017.000000000000000,2773876.330000000074506,2668430.500000000000000,10876435.830000000074506
20130807,2840829.080000000540167,2577003.699999999720603,2791702.600000000093132,2632338.250000000000000,10841873.630000000819564
