訓練日期,20111028 - 20120201
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11227315.699999999254942
真實報酬,1227315.699999999254942

夏普值報酬,0.114031570000000
夏普值風險,0.050950939207127
夏普值,2.238066103873674

預期報酬,20865.645095713443880
風險,215074.547848848829744
趨勢值,0.097015873353724
找到最佳解世代,1627
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),MCD[15](3),MRK[17](2),
Stock#,HD[9](1),MCD[15](3),MRK[17](2),
張數,89198,35646,97153,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,3.740000000223517,75.540000000037253,13.569999999832362,
20111028,3221835.500000000000000,3325490.880000000353903,3411055.399999999906868,9958382.780000001192093
20111031,3193292.140000000130385,3309806.639999999664724,3351792.069999999832362,9854891.849999999627471
20111101,3170100.660000000149012,3276299.399999999906868,3309044.750000000000000,9755445.810000000521541
20111102,3210239.760000000242144,3298399.919999999925494,3321674.639999999664724,9830315.320000000298023
20111103,3251270.840000000316650,3315153.540000000037253,3354706.660000000149012,9921132.040000000968575
20111104,3245918.960000000428408,3344026.800000000279397,3305158.630000000353903,9895105.390000000596046
20111107,3330657.060000000521541,3372900.060000000055879,3334304.529999999795109,10037862.650000000372529
20111108,3384175.859999999869615,3372187.139999999664724,3348877.479999999515712,10105241.480000000447035
20111109,3314601.419999999925494,3302677.440000000409782,3282813.439999999944121,9900093.300000000745058
20111110,3318169.340000000316650,3324421.500000000000000,3397453.979999999515712,10040045.820000000298023
20111111,3394879.620000000577420,3377890.500000000000000,3494606.979999999515712,10267378.100000001490116
20111114,3411827.240000000223517,3352938.300000000279397,3465461.080000000074506,10230227.620000001043081
20111115,3395771.600000000093132,3367553.160000000149012,3471290.259999999310821,10234616.019999999552965
20111116,3375256.060000000521541,3320500.440000000409782,3409112.340000000316650,10104869.840000001713634
20111117,3355632.500000000000000,3289844.880000000353903,3384824.090000000316650,10030302.470000000670552
20111118,3378823.980000000447035,3305885.580000000074506,3395510.919999999925494,10080221.480000000447035
20111121,3305681.620000000577420,3289488.419999999925494,3316816.989999999757856,9911988.030000001192093
20111122,3309249.540000000502914,3302677.440000000409782,3284756.500000000000000,9896684.480000000447035
