訓練日期,20130416 - 20130717
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11701745.609999999403954
真實報酬,1701745.609999999403954

夏普值報酬,0.161474561000000
夏普值風險,0.051023166500320
夏普值,3.164730299500063

預期報酬,28122.063189985598001
風險,167303.637345656752586
趨勢值,0.168089968850373
找到最佳解世代,1922
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),CSCO[4](4),UNH[23](14),V[25](2),
Stock#,BA[2](1),CSCO[4](4),UNH[23](14),V[25](2),
張數,28811,118764,40591,62003,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,69.530000000260770,17.799999999813735,0.310000000055879,39.040000000037253,
20130416,2503457.320000000298023,2513064.040000000037253,2549521.020000000018626,2553322.580000000074506,10119364.960000000894070
20130417,2497695.120000000111759,2450119.119999999646097,2517860.040000000037253,2514880.720000000204891,9980555.000000000000000
20130418,2481272.850000000558794,2444180.919999999459833,2422877.100000000093132,2501860.090000000316650,9850190.959999999031425
20130419,2534285.089999999850988,2429929.239999999757856,2437083.950000000186265,2541542.010000000242144,9942840.290000000968575
20130422,2504897.870000000111759,2445368.559999999590218,2403799.330000000074506,2534721.680000000167638,9888787.439999999478459
20130423,2540623.510000000242144,2483373.040000000037253,2376197.450000000186265,2568203.300000000279397,9968397.300000000745058
20130424,2616972.660000000149012,2421615.759999999776483,2386345.200000000186265,2589904.350000000093132,10014837.970000000670552
20130425,2641173.900000000372529,2451306.759999999776483,2408670.250000000000000,2615945.609999999869615,10117096.519999999552965
20130426,2675170.879999999888241,2454869.680000000167638,2414352.989999999757856,2592384.470000000204891,10136778.020000001415610
20130429,2647800.430000000633299,2491686.520000000018626,2435866.220000000204891,2602924.979999999981374,10178278.150000002235174
20130430,2633683.040000000037253,2484560.680000000167638,2432618.939999999944121,2611605.399999999906868,10162468.060000000521541
20130501,2627056.510000000242144,2420428.119999999646097,2424094.830000000074506,2573783.569999999832362,10045363.029999999329448
20130502,2656731.839999999850988,2461995.520000000018626,2414352.989999999757856,2718870.590000000316650,10251950.939999999478459
20130503,2700812.669999999925494,2473871.919999999459833,2391622.030000000260770,2783353.709999999962747,10349660.330000000074506
20130506,2713777.620000000111759,2471496.639999999664724,2443578.510000000242144,2772813.200000000186265,10401665.969999998807907
20130507,2731064.220000000670552,2420428.119999999646097,2455755.810000000055879,2787073.890000000130385,10394322.040000000968575
20130508,2709455.970000000670552,2460807.879999999888241,2537343.720000000204891,2779013.500000000000000,10486621.070000000298023
20130509,2725878.240000000223517,2473871.919999999459833,2517048.220000000204891,2768472.989999999757856,10485271.370000001043081
20130510,2715218.169999999925494,2505938.200000000186265,2553580.120000000111759,2770953.109999999869615,10545689.599999999627471
20130513,2730199.890000000596046,2526128.079999999608845,2532472.800000000279397,2773433.229999999981374,10562234.000000001862645
20130514,2769094.740000000223517,2526128.079999999608845,2505682.739999999757856,2795134.279999999795109,10596039.839999999850988
20130515,2795312.750000000000000,2519002.239999999757856,2500811.819999999832362,2817455.359999999869615,10632582.169999999925494
20130516,2782635.910000000149012,2837289.759999999776483,2522325.050000000279397,2787073.890000000130385,10929324.610000001266599
20130517,2850053.650000000372529,2878857.159999999683350,2550738.750000000000000,2860857.459999999962747,11140507.019999999552965
20130520,2844291.450000000186265,2844415.599999999627471,2539373.270000000018626,2814975.239999999757856,11043055.560000000521541
20130521,2845155.780000000260770,2851541.439999999944121,2551956.479999999981374,2814355.209999999962747,11063008.910000000149012
20130522,2821530.760000000242144,2771969.559999999590218,2528007.790000000037253,2792654.160000000149012,10914162.269999999552965
20130523,2873966.780000000260770,2792159.439999999944121,2531255.069999999832362,2761032.629999999888241,10958413.920000001788139
