訓練日期,20130613 - 20130913
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11734072.410000000149012
真實報酬,1734072.410000000149012

夏普值報酬,0.164707241000000
夏普值風險,0.053661287013139
夏普值,3.069386706279894

預期報酬,24743.269042331739911
風險,205566.746410117193591
趨勢值,0.120366107234910
找到最佳解世代,2862
找到最佳解實驗#,4
找到最佳解次數,20

stock[index](rank)
投資組合檔數,2
DD[7](5),UNH[23](1),
Stock#,DD[7](5),UNH[23](1),
張數,103906,78333,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,43.280000000260770,4.610000000335276,
20130613,5126765.320000000298023,5025066.560000000521541,10151831.880000000819564
20130614,5032210.860000000335276,4997650.009999999776483,10029860.870000001043081
20130617,5051953.000000000000000,5042299.820000000298023,10094252.820000000298023
20130618,5122609.080000000074506,5144916.050000000745058,10267525.130000000819564
20130619,5045718.640000000596046,5112016.190000000409782,10157734.830000001937151
20130620,4911679.900000000372529,4997650.009999999776483,9909329.910000000149012
20130621,4828555.100000000558794,5005483.310000000521541,9834038.410000000149012
20130624,4786992.700000000186265,5064233.060000000521541,9851225.760000001639128
20130625,4808812.959999999962747,4992166.700000000186265,9800979.660000000149012
20130626,4765172.440000000409782,5074416.350000000558794,9839588.790000000968575
20130627,4786992.700000000186265,5177032.580000001005828,9964025.280000001192093
20130628,4759977.140000000596046,5129249.450000000186265,9889226.589999999850988
20130701,4808812.959999999962747,5140999.400000000372529,9949812.359999999403954
20130702,4800500.480000000447035,5112799.520000000484288,9913300.000000000000000
20130703,4798422.360000000335276,5133949.430000000633299,9932371.790000000968575
20130705,4836867.580000000074506,5183299.220000000670552,10020166.800000000745058
20130708,4896094.000000000000000,5292182.090000000782311,10188276.089999999850988
20130709,5034288.980000000447035,5324298.620000000111759,10358587.600000001490116
20130710,5000000.000000000000000,5302365.379999999888241,10302365.379999998956919
20130711,5060265.480000000447035,5354848.490000000223517,10415113.970000000670552
20130712,5048835.820000000298023,5326648.610000000335276,10375484.429999999701977
20130715,5090398.220000000670552,5296882.070000000298023,10387280.290000000968575
20130716,5027015.560000000521541,5241265.639999999664724,10268281.199999999254942
20130717,5139234.040000000037253,5187999.200000000186265,10327233.240000000223517
20130718,5117413.780000000260770,5526397.759999999776483,10643811.539999999105930
20130719,5129882.500000000000000,5596897.460000000894070,10726779.960000000894070
20130722,5118452.839999999850988,5654080.550000000745058,10772533.390000000596046
20130723,5112218.480000000447035,5694030.379999999888241,10806248.859999999403954
20130724,5086241.980000000447035,5681497.100000000558794,10767739.080000001937151
20130725,5177679.259999999776483,5688547.070000000298023,10866226.330000000074506
20130726,5135077.800000000745058,5656430.540000000037253,10791508.339999999850988
20130729,5178718.320000000298023,5701863.680000000633299,10880582.000000000000000
20130730,5188069.860000000335276,5661130.520000000484288,10849200.380000000819564
20130731,5184952.679999999701977,5706563.660000000149012,10891516.339999999850988
20130801,5237944.740000000223517,5730846.889999999664724,10968791.629999998956919
20130802,5359514.759999999776483,5660347.190000000409782,11019861.949999999254942
20130805,5397959.980000000447035,5744946.830000001005828,11142906.810000002384186
20130806,5335616.380000000819564,5737113.530000000260770,11072729.910000000149012
20130807,5369905.360000000335276,5712046.970000000670552,11081952.330000001937151
20130808,5461342.640000000596046,5732413.550000000745058,11193756.190000001341105
20130809,5628631.300000000745058,5712830.300000000745058,11341461.600000001490116
20130812,5545506.500000000000000,5670530.480000000447035,11216036.980000000447035
20130813,5604732.919999999925494,5745730.160000000149012,11350463.080000000074506
20130814,5586029.839999999850988,5678363.780000000260770,11264393.620000001043081
20130815,5497709.740000000223517,5592980.810000000521541,11090690.550000000745058
20130816,5458225.459999999962747,5595330.800000000745058,11053556.260000001639128
20130819,5419780.240000000223517,5617264.040000000037253,11037044.280000001192093
20130820,5467577.000000000000000,5676013.790000000037253,11143590.789999999105930
20130821,5495631.620000000111759,5628230.660000000149012,11123862.280000001192093
20130822,5502905.040000000037253,5637630.620000000111759,11140535.660000000149012
20130823,5732537.300000000745058,5682280.430000000633299,11414817.730000000447035
20130826,5719029.520000000484288,5669747.150000000372529,11388776.670000001788139
20130827,5557975.220000000670552,5602380.770000000484288,11160355.990000002086163
20130828,5541350.259999999776483,5603947.430000000633299,11145297.690000001341105
20130829,5551740.860000000335276,5674447.129999999888241,11226187.990000000223517
20130830,5534076.839999999850988,5619614.030000000260770,11153690.870000001043081
20130903,5540311.200000000186265,5683847.090000000782311,11224158.290000000968575
20130904,5590186.080000000074506,5745730.160000000149012,11335916.240000000223517
20130905,5683701.480000000447035,5799779.930000000633299,11483481.410000000149012
20130906,5705521.740000000223517,5801346.590000000782311,11506868.330000001937151
20130909,5742927.900000000372529,5816229.860000000335276,11559157.760000001639128
20130910,5916450.919999999925494,5845996.400000000372529,11762447.320000000298023
20130911,5896708.780000000260770,5889079.550000000745058,11785788.330000001937151
20130912,5750201.320000000298023,5854613.030000000260770,11604814.350000001490116
20130913,5899825.959999999962747,5834246.450000000186265,11734072.410000000149012
