訓練日期,20160930 - 20170103
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12006285.710000000894070
真實報酬,2006285.710000000894070

夏普值報酬,0.191928571000000
夏普值風險,0.061228119969679
夏普值,3.134647464188764

預期報酬,33270.454271072434494
風險,134903.490773762052413
趨勢值,0.246624116842671
找到最佳解世代,1978
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),GS[8](2),KO[14](20),MSFT[18](8),
Stock#,BA[2](1),GS[8](2),KO[14](20),MSFT[18](8),
張數,19079,15728,59481,43554,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,78.629999999888241,34.400000000372529,13.569999999832362,0.399999999906868,
20160930,2513546.089999999850988,2536488.960000000428408,2517249.489999999757856,2508710.799999999813735,10075995.339999999850988
20161003,2525756.649999999906868,2533343.360000000335276,2500000.000000000000000,2500871.080000000074506,10059971.089999999850988
20161004,2523276.379999999888241,2552216.960000000428408,2488698.609999999869615,2493031.359999999869615,10057223.309999998658895
20161005,2569256.770000000018626,2617173.600000000558794,2486914.180000000167638,2510452.959999999962747,10183797.510000001639128
20161006,2564677.809999999590218,2628969.600000000558794,2480966.080000000074506,2514808.359999999869615,10189421.849999999627471
20161007,2553802.779999999795109,2671120.640000000596046,2482155.699999999720603,2517421.599999999627471,10224500.719999998807907
20161010,2591769.989999999757856,2690151.520000000018626,2482155.699999999720603,2527874.560000000055879,10291951.769999999552965
20161011,2551704.089999999850988,2658695.520000000018626,2470854.309999999590218,2490853.659999999683350,10172107.579999998211861
20161012,2540638.270000000018626,2662784.800000000745058,2485129.750000000000000,2487369.339999999850988,10175922.160000000149012
20161013,2544835.649999999906868,2633216.160000000149012,2483940.129999999888241,2479094.080000000074506,10141086.019999999552965
20161014,2547125.129999999888241,2681972.960000000428408,2478586.839999999850988,2500871.080000000074506,10208556.009999999776483
20161017,2556664.629999999888241,2658066.400000000372529,2474423.169999999925494,2492160.279999999795109,10181314.480000000447035
20161018,2577651.529999999795109,2715159.040000000502914,2496431.139999999664724,2511324.039999999571592,10300565.750000000000000
20161019,2598256.850000000093132,2744727.680000000167638,2501189.619999999646097,2505662.020000000018626,10349836.169999999925494
20161020,2591769.989999999757856,2744727.680000000167638,2494051.899999999906868,2493466.899999999906868,10324016.470000000670552
20161021,2587763.399999999906868,2747244.160000000149012,2505948.100000000093132,2598432.039999999571592,10439387.699999999254942
20161024,2622487.179999999701977,2754321.760000000242144,2531524.930000000167638,2656794.399999999906868,10565128.269999999552965
20161025,2652441.209999999962747,2761084.800000000745058,2530335.309999999590218,2656358.859999999869615,10600220.179999999701977
20161026,2776836.289999999571592,2784991.360000000335276,2524387.209999999497086,2640679.419999999925494,10726894.279999999329448
20161027,2734290.120000000111759,2795686.400000000372529,2505353.289999999571592,2617595.799999999813735,10652925.609999999403954
20161028,2728566.419999999925494,2786092.320000000298023,2511896.199999999720603,2607578.379999999888241,10634133.320000000298023
20161031,2717500.600000000093132,2803393.120000000577420,2522007.969999999739230,2609756.080000000074506,10652657.769999999552965
20161101,2717119.020000000018626,2800562.080000000540167,2505353.289999999571592,2604529.599999999627471,10627563.990000000223517
20161102,2685447.879999999888241,2777284.640000000596046,2501189.619999999646097,2588414.620000000111759,10552336.760000001639128
20161103,2671520.209999999962747,2771465.280000000726432,2500000.000000000000000,2578832.739999999757856,10521818.230000000447035
20161104,2662362.289999999571592,2766904.160000000149012,2479776.459999999497086,2557055.739999999757856,10466098.649999998509884
20161107,2728948.000000000000000,2854351.840000000316650,2525576.830000000074506,2631533.080000000074506,10740409.750000000000000
20161108,2713112.429999999701977,2861272.160000000149012,2550558.850000000093132,2633710.779999999795109,10758654.219999998807907
20161109,2768250.739999999757856,3029719.040000000502914,2514275.439999999944121,2620644.580000000074506,10932889.800000000745058
20161110,2817856.139999999664724,3159317.760000000242144,2435165.709999999497086,2556620.200000000186265,10968959.809999998658895
20161111,2833691.709999999962747,3207602.720000000204891,2440519.000000000000000,2570557.479999999981374,11052370.910000000149012
20161114,2861737.839999999850988,3290017.440000000409782,2448846.339999999850988,2531358.879999999888241,11131960.500000000000000
20161115,2825869.320000000298023,3321630.720000000204891,2464906.209999999497086,2564024.379999999888241,11176430.629999998956919
20161116,2794007.389999999664724,3244091.680000000167638,2454199.629999999888241,2597996.500000000000000,11090295.199999999254942
20161117,2772829.700000000186265,3297095.040000000502914,2445872.289999999571592,2641114.959999999962747,11156911.989999998360872
