訓練日期,20150227 - 20150601
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10588508.799999998882413
真實報酬,588508.799999998882413

夏普值報酬,0.050150880000000
夏普值風險,0.021783931333941
夏普值,2.302196019221814

預期報酬,10370.053658677190469
風險,91945.481627489964012
趨勢值,0.112784809814697
找到最佳解世代,2470
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](1),IBM[10](3),JPM[13](5),NKE[19](2),WBA[27](7),
Stock#,DIS[6](1),IBM[10](3),JPM[13](5),NKE[19](2),WBA[27](7),
張數,19127,12432,32478,41237,24494,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,80.879999999888241,64.159999999916181,4.760000000009313,5.500000000000000,64.899999999906868,
20150227,1990819.039999999804422,2013302.239999999990687,1990256.600000000093132,2002474.220000000204891,2035026.419999999925494,10031878.519999999552965
20150302,2025438.909999999916181,1995151.519999999785796,2006170.820000000065193,2036288.560000000055879,2048253.179999999934807,10111302.990000000223517
20150303,2034237.329999999841675,2001989.119999999878928,2012666.419999999925494,2020206.130000000121072,2038210.639999999664724,10107309.639999998733401
20150304,2019318.269999999785796,1981973.599999999860302,2017862.900000000139698,2010721.619999999878928,2033556.779999999795109,10063433.169999999925494
20150305,2008989.689999999944121,2003853.919999999925494,2013640.760000000009313,2030103.009999999776483,2037965.699999999953434,10094553.080000000074506
20150306,1985846.019999999785796,1970536.159999999916181,1977590.179999999934807,1998350.520000000018626,2017145.799999999813735,9949468.679999999701977
20150309,2013388.899999999906868,1998756.800000000046566,1997401.760000000009313,2009072.139999999897555,2045313.899999999906868,10063933.500000000000000
20150310,1971883.310000000055879,1961958.079999999841675,1947385.640000000130385,1990103.119999999878928,2026208.579999999841675,9897538.729999998584390
