訓練日期,20120517 - 20120817
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11501624.730000000447035
真實報酬,1501624.730000000447035

夏普值報酬,0.141462473000000
夏普值風險,0.042130359545961
夏普值,3.357732393564643

預期報酬,24415.859622270854743
風險,89883.796930334588978
趨勢值,0.271638053310038
找到最佳解世代,2404
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,5
AAPL[0](3),HD[9](10),MRK[17](4),PFE[20](12),WMT[28](2),
Stock#,AAPL[0](3),HD[9](10),MRK[17](4),PFE[20](12),WMT[28](2),
張數,25637,41008,52314,88339,33789,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,57.629999999888241,39.839999999850988,35.780000000260770,5.040000000037253,29.090000000083819,
20120517,1941547.639999999897555,1928236.000000000000000,1989537.200000000419095,1992932.879999999888241,2084134.610000000102445,9936388.330000000074506
20120518,1942573.119999999878928,1929466.239999999757856,1978551.260000000242144,1993816.270000000018626,2109476.360000000335276,9953883.250000000000000
20120521,2055632.290000000037253,1952430.719999999739230,1967042.180000000400469,1991166.099999999860302,2130087.650000000372529,10096358.940000001341105
20120522,2039993.719999999739230,1979085.919999999692664,1959718.220000000204891,1976148.470000000204891,2153402.059999999590218,10108348.390000000596046
20120523,2089729.500000000000000,1979085.919999999692664,1959718.220000000204891,1976148.470000000204891,2153402.059999999590218,10158084.170000001788139
20120524,2070501.750000000000000,2038547.519999999785796,1967042.180000000400469,1955830.500000000000000,2198679.320000000298023,10230601.269999999552965
20120525,2059477.839999999850988,2027475.359999999869615,1964426.480000000214204,1954947.109999999869615,2206788.679999999701977,10213115.469999998807907
20120529,2095882.379999999888241,2041418.079999999841675,1966519.040000000502914,1959364.060000000055879,2219290.610000000335276,10282474.170000001788139
20120530,2121263.009999999776483,2038547.519999999785796,1956579.380000000121072,1946996.599999999860302,2211181.250000000000000,10274567.759999997913837
20120531,2115879.239999999757856,2023374.560000000055879,1965995.900000000139698,1931978.970000000204891,2224021.070000000298023,10261249.740000000223517
20120601,2054606.809999999823049,1966783.519999999785796,1945070.300000000279397,1911661.000000000000000,2214898.040000000037253,10093019.669999999925494
20120604,2066656.199999999953434,1999589.919999999692664,1959718.220000000204891,1909010.830000000074506,2229765.200000000186265,10164740.370000001043081
20120605,2061272.429999999934807,2006151.199999999953434,1961810.780000000260770,1908127.440000000176951,2213208.589999999850988,10150570.440000001341105
20120606,2093062.309999999823049,2075044.639999999897555,1982736.380000000121072,1935512.530000000027940,2227737.860000000335276,10314093.720000000670552
20120607,2093831.419999999925494,2101289.759999999776483,2005231.400000000139698,1938162.700000000186265,2225710.520000000484288,10364225.800000000745058
20120608,2125364.930000000167638,2146808.640000000130385,2012032.220000000204891,1955830.500000000000000,2305114.669999999925494,10545150.960000000894070
20120611,2092036.829999999841675,2105800.640000000130385,2012555.360000000102445,1952296.940000000176951,2281800.259999999776483,10444490.030000001192093
20120612,2110239.100000000093132,2142297.759999999776483,2032434.680000000400469,1960247.450000000186265,2288220.169999999925494,10533439.160000000149012
20120613,2095626.009999999776483,2090217.599999999860302,2008893.380000000121072,1960247.450000000186265,2266257.320000000298023,10421241.759999999776483
20120614,2093318.679999999934807,2139017.119999999646097,2029295.840000000316650,1992932.879999999888241,2285179.160000000149012,10539743.679999999701977
20120615,2102804.369999999646097,2127124.799999999813735,2037142.940000000176951,1997349.830000000074506,2289233.839999999850988,10553655.780000001192093
20120618,2145361.790000000037253,2145578.399999999906868,2032434.680000000400469,1998233.220000000204891,2301735.770000000484288,10623343.859999999403954
20120619,2151514.669999999925494,2172233.599999999627471,2052314.000000000000000,2006183.730000000214204,2291261.179999999701977,10673507.179999999701977
20120620,2145361.790000000037253,2166492.479999999981374,2051267.720000000204891,2002650.170000000158325,2315251.370000000111759,10681023.530000001192093
20120621,2115622.869999999646097,2102109.919999999925494,2063823.080000000307336,1996466.440000000176951,2287544.390000000596046,10565566.699999999254942
20120622,2132030.549999999813735,2133276.000000000000000,2102012.300000000279397,2007950.510000000009313,2274028.790000000037253,10649298.149999998509884
20120625,2090498.610000000102445,2112772.000000000000000,2081086.700000000419095,1984982.369999999878928,2303763.110000000335276,10573102.790000000968575
20120626,2095113.269999999785796,2127534.879999999888241,2096257.760000000242144,1982332.200000000186265,2317278.709999999962747,10618516.820000000298023
20120627,2104086.219999999739230,2114002.239999999757856,2120322.200000000186265,1997349.830000000074506,2317616.600000000558794,10653377.089999999850988
20120628,2084089.360000000102445,2119743.359999999869615,2128169.300000000279397,1990282.710000000195578,2307817.790000000037253,10630102.519999999552965
20120629,2138952.540000000037253,2173053.759999999776483,2184145.280000000260770,2031802.040000000037253,2355798.169999999925494,10883751.790000000968575
20120702,2170229.680000000167638,2173873.919999999925494,2189376.680000000167638,2031802.040000000037253,2343296.240000000223517,10908578.560000000521541
20120703,2195353.939999999944121,2118103.039999999571592,2187284.120000000577420,2020317.970000000204891,2390600.839999999850988,10911659.910000000149012
20120705,2233809.439999999944121,2136966.719999999739230,2177867.600000000558794,2002650.170000000158325,2401751.209999999962747,10953045.140000000596046
20120706,2218939.979999999981374,2138607.039999999571592,2171589.919999999925494,1991166.099999999860302,2411212.129999999888241,10931515.169999998062849
20120709,2248422.529999999795109,2137376.799999999813735,2204024.600000000558794,2000883.389999999897555,2424727.730000000447035,11015435.050000000745058
20120710,2227656.560000000055879,2141477.599999999627471,2164265.959999999962747,1982332.200000000186265,2436553.879999999888241,10952286.199999999254942
20120711,2213812.579999999608845,2118923.199999999720603,2155895.720000000204891,1973498.300000000046566,2441622.230000000447035,10903752.030000001192093
20120712,2193559.350000000093132,2114002.239999999757856,2244829.520000000018626,2002650.170000000158325,2443311.679999999701977,10998352.959999999031425
20120713,2215607.169999999925494,2136146.560000000055879,2274125.360000000335276,2015017.629999999888241,2472708.110000000335276,11113604.830000001937151
20120716,2222785.529999999795109,2109901.439999999944121,2267847.680000000167638,2043286.109999999869615,2465950.310000000521541,11109771.070000000298023
20120717,2223041.899999999906868,2079965.599999999860302,2311791.439999999944121,2086572.220000000204891,2470004.990000000223517,11171376.150000000372529
20120718,2220478.199999999720603,2087757.119999999646097,2298712.939999999944121,2090989.170000000158325,2461557.740000000223517,11159495.169999999925494
20120719,2249960.750000000000000,2089807.519999999785796,2298712.939999999944121,2102473.240000000223517,2416956.259999999776483,11157910.709999999031425
20120720,2213299.839999999850988,2079145.439999999944121,2270986.520000000018626,2093639.340000000083819,2441284.339999999850988,11098355.479999998584390
20120723,2211505.250000000000000,2089807.519999999785796,2263662.560000000521541,2084805.440000000176951,2427768.740000000223517,11077549.509999999776483
20120724,2200994.079999999608845,2098419.199999999720603,2233320.439999999944121,2065370.859999999869615,2437567.549999999813735,11035672.129999998956919
20120725,2105880.810000000055879,2094318.399999999906868,2229658.459999999962747,2060953.909999999916181,2435540.209999999962747,10926351.789999999105930
20120726,2105624.439999999944121,2169773.119999999646097,2266801.400000000372529,2075088.149999999906868,2489264.719999999739230,11106551.829999998211861
20120727,2143054.459999999962747,2202579.520000000018626,2359397.180000000167638,2105123.409999999683350,2517985.370000000111759,11328139.940000001341105
20120730,2179202.629999999888241,2183715.839999999850988,2326962.500000000000000,2094522.730000000214204,2533528.310000000521541,11317932.009999999776483
20120731,2236885.879999999888241,2139837.279999999795109,2310745.160000000149012,2123674.600000000093132,2514944.360000000335276,11326087.280000001192093
20120801,2222529.159999999683350,2119333.279999999795109,2316499.700000000186265,2114840.700000000186265,2487575.270000000484288,11260778.109999999403954
20120802,2226118.339999999850988,2107440.959999999962747,2297143.520000000018626,2113073.920000000391155,2502104.540000000037253,11245881.280000001192093
