訓練日期,20160706 - 20161005
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10891194.050000000745058
真實報酬,891194.050000000745058

夏普值報酬,0.080419405000000
夏普值風險,0.023945614148474
夏普值,3.358418978162913

預期報酬,14742.042962152369000
風險,97826.705694140895503
趨勢值,0.150695486038791
找到最佳解世代,2120
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),INTC[11](3),PG[21](4),WBA[27](25),
Stock#,AAPL[0](1),INTC[11](3),PG[21](4),WBA[27](25),
張數,26318,76499,29260,29932,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,53.180000000167638,12.680000000167638,25.600000000093132,79.360000000335276,
20160706,2514211.720000000204891,2522184.709999999962747,2488003.399999999906868,2441033.960000000428408,9965433.790000000968575
20160707,2525002.100000000093132,2539779.480000000447035,2482151.399999999906868,2409605.360000000335276,9956538.339999999850988
20160708,2544477.420000000391155,2600978.680000000167638,2509655.799999999813735,2448516.960000000428408,10103628.860000001266599
20160711,2552372.820000000298023,2630048.300000000279397,2509070.600000000093132,2454802.680000000633299,10146294.400000002235174
20160712,2563952.740000000223517,2672887.740000000223517,2509070.600000000093132,2431156.400000000372529,10177067.480000000447035
20160713,2549477.840000000316650,2678242.669999999925494,2513167.000000000000000,2447619.000000000000000,10188506.509999999776483
20160714,2600008.400000000372529,2692777.480000000447035,2512581.800000000279397,2507782.320000000298023,10313150.000000001862645
20160715,2599745.220000000204891,2682832.610000000335276,2516678.200000000186265,2469768.680000000633299,10269024.710000000894070
20160718,2627379.120000000111759,2681302.629999999888241,2514337.400000000372529,2477850.320000000298023,10300869.470000000670552
20160719,2628431.840000000316650,2688952.530000000260770,2521359.800000000279397,2460789.080000000074506,10299533.250000001862645
20160720,2630800.459999999962747,2730261.990000000223517,2496488.799999999813735,2469768.680000000633299,10327319.929999999701977
20160721,2616851.920000000391155,2621633.410000000614673,2494733.200000000186265,2445523.760000000242144,10178742.290000000968575
20160722,2596587.060000000055879,2651468.020000000018626,2508192.800000000279397,2435047.560000000055879,10191295.440000001341105
20160725,2561847.300000000279397,2653762.990000000223517,2510533.600000000093132,2441632.600000000093132,10167776.490000000223517
20160726,2544214.240000000223517,2684362.590000000316650,2495025.799999999813735,2434448.920000000391155,10158051.550000000745058
20160727,2709491.280000000260770,2664472.850000000093132,2471325.199999999720603,2392843.440000000409782,10238132.769999999552965
20160728,2746073.300000000279397,2659882.910000000614673,2481566.200000000186265,2378476.080000000074506,10265998.490000002086163
20160729,2742651.959999999962747,2666767.820000000298023,2504389.000000000000000,2372190.360000000335276,10285999.140000000596046
20160801,2791077.080000000074506,2666002.830000000074506,2528382.200000000186265,2372789.000000000000000,10358251.109999999403954
20160802,2749757.820000000298023,2643818.120000000111759,2538623.200000000186265,2363210.760000000242144,10295409.900000000372529
20160803,2784234.400000000372529,2620103.430000000167638,2515507.800000000279397,2382666.560000000055879,10302512.190000001341105
20160804,2786339.840000000316650,2645348.100000000093132,2517848.600000000093132,2390149.560000000055879,10339686.100000001490116
20160805,2828711.820000000298023,2675947.699999999720603,2509948.399999999906868,2410503.320000000298023,10425111.240000000223517
20160808,2852134.840000000316650,2680537.640000000130385,2509363.200000000186265,2413496.520000000018626,10455532.200000001117587
20160809,2863714.760000000242144,2671357.760000000242144,2516093.000000000000000,2421278.840000000316650,10472444.360000001266599
20160810,2842397.180000000167638,2641523.150000000372529,2525456.200000000186265,2469469.360000000335276,10478845.890000000596046
20160811,2840554.920000000391155,2652998.000000000000000,2537745.400000000372529,2481741.480000000447035,10513039.800000000745058
20160812,2847134.420000000391155,2644583.110000000335276,2546816.000000000465661,2494013.600000000093132,10532547.130000000819564
20160815,2881347.820000000298023,2670592.770000000018626,2546230.799999999813735,2502693.880000000353903,10600865.269999999552965
20160816,2878716.020000000018626,2693542.470000000204891,2533356.399999999906868,2478448.960000000428408,10584063.850000001490116
20160817,2874505.140000000130385,2679007.660000000614673,2544475.199999999720603,2470068.000000000000000,10568056.000000000000000
20160818,2870820.620000000111759,2675182.709999999962747,2558520.000000000000000,2473959.160000000614673,10578482.490000000223517
20160819,2878189.660000000149012,2695837.440000000409782,2554716.200000000186265,2472163.240000000223517,10600906.540000000968575
20160822,2855819.360000000335276,2705017.320000000298023,2541256.600000000093132,2476653.040000000037253,10578746.320000000298023
20160823,2864767.479999999981374,2708077.280000000260770,2557349.600000000093132,2465877.520000000018626,10596071.879999998956919
20160824,2843186.720000000204891,2688952.530000000260770,2554716.200000000186265,2438639.400000000372529,10525494.850000001490116
20160825,2831080.439999999944121,2684362.590000000316650,2571979.600000000093132,2400027.120000000577420,10487449.750000001862645
20160826,2814500.100000000093132,2697367.419999999925494,2562616.399999999906868,2376380.840000000316650,10450864.759999999776483
