訓練日期,20120222 - 20120523
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10610833.220000002533197
真實報酬,610833.220000002533197

夏普值報酬,0.052383322000000
夏普值風險,0.018560617311560
夏普值,2.822283392879040

預期報酬,9653.537042652014861
風險,83300.746356961913989
趨勢值,0.115887761692848
找到最佳解世代,3544
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,5
KO[14](1),PFE[20](2),V[25](6),VZ[26](11),WMT[28](17),
Stock#,KO[14](1),PFE[20](2),V[25](6),VZ[26](11),WMT[28](17),
張數,58122,94250,70052,51961,33294,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,21.980000000214204,15.000000000000000,15.399999999906868,21.109999999869615,29.419999999925494,
20120222,2012786.840000000316650,2013195.000000000000000,2037828.079999999841675,1985450.919999999925494,1951057.820000000065193,10000318.660000000149012
20120223,2010461.960000000428408,1982092.500000000000000,2039929.639999999897555,1981294.040000000037253,1949060.179999999934807,9962838.320000000298023
20120224,2005230.980000000214204,1996230.000000000000000,2058843.679999999934807,1981813.649999999906868,1957383.679999999934807,9999501.990000000223517
20120227,2000581.220000000204891,2003770.000000000232831,2046934.839999999850988,1981294.040000000037253,1946396.659999999916181,9978976.759999999776483
20120228,2000581.220000000204891,2000000.000000000000000,2083361.879999999888241,1982333.259999999776483,1962044.839999999850988,10028321.199999999254942
20120229,2030223.440000000176951,1991517.500000000000000,2037828.079999999841675,1980254.819999999832362,1967038.939999999944121,10006862.779999999329448
20120301,2022667.580000000074506,2025447.499999999767169,2052539.000000000000000,1996882.339999999850988,1958382.500000000000000,10055918.919999999925494
20120302,2010461.960000000428408,2017907.500000000000000,2034325.479999999748543,2009352.979999999981374,1964708.359999999869615,10036756.279999999329448
20120305,2012205.620000000111759,2026390.000000000000000,2035726.519999999785796,2026500.109999999869615,1977693.019999999785796,10078515.269999999552965
20120306,1998256.340000000316650,2004712.500000000000000,2011208.320000000065193,2010392.199999999720603,1963376.599999999860302,9987945.959999999031425
20120307,1999418.780000000027940,2014137.500000000000000,2025218.719999999972060,2019745.179999999701977,1993008.260000000009313,10051528.439999999478459
20120308,2013368.060000000288710,2022620.000000000000000,2065848.879999999888241,2037931.529999999795109,1990011.800000000046566,10129780.270000001415610
20120309,2020342.700000000186265,2024505.000000000000000,2051838.479999999748543,2031696.209999999962747,2000332.939999999944121,10128715.330000000074506
20120312,2038941.740000000223517,2030160.000000000000000,2040630.159999999916181,2043127.629999999888241,2020309.339999999850988,10173168.870000001043081
20120313,2041847.840000000316650,2074457.500000000232831,2053940.040000000037253,2051441.389999999664724,2030963.419999999925494,10252650.190000001341105
20120314,2040685.400000000139698,2066917.500000000000000,2044833.280000000027940,2050921.779999999795109,2033626.939999999944121,10236984.900000000372529
20120315,2044172.720000000204891,2065032.500000000000000,2049036.399999999906868,2054559.049999999813735,2038621.039999999804422,10251421.709999999031425
20120316,2038941.740000000223517,2067860.000000000232831,2043432.239999999990687,2056117.879999999888241,2025636.380000000121072,10231988.240000000223517
20120319,2045916.380000000353903,2062205.000000000000000,2081260.320000000065193,2060274.759999999776483,2022306.979999999981374,10271963.439999999478459
20120320,2051728.580000000074506,2054665.000000000000000,2040630.159999999916181,2059235.540000000037253,2017645.820000000065193,10223905.099999999627471
20120321,2066840.300000000279397,2051837.500000000000000,2044833.280000000027940,2067029.689999999944121,2016314.060000000055879,10246854.830000000074506
20120322,2075558.600000000325963,2048067.500000000000000,2053940.040000000037253,2060794.369999999646097,2019310.519999999785796,10257671.029999999329448
20120323,2077302.260000000242144,2056550.000000000000000,2080559.799999999813735,2048323.729999999981374,2022639.919999999925494,10285375.710000000894070
20120326,2089507.880000000353903,2088595.000000000000000,2102976.439999999944121,2043647.239999999757856,2037622.219999999972060,10362348.780000001192093
20120327,2088926.660000000149012,2120640.000000000000000,2098072.799999999813735,2008833.369999999646097,2033959.880000000121072,10350432.710000000894070
20120328,2111594.240000000223517,2112157.500000000000000,2090367.079999999841675,1988048.969999999739230,2037289.279999999795109,10339457.070000000298023
20120329,2145305.000000000000000,2113100.000000000000000,2084062.399999999906868,1978176.379999999888241,2024970.500000000000000,10345614.280000001192093
20120330,2151117.200000000186265,2134777.500000000000000,2066549.399999999906868,1986490.139999999664724,2037622.219999999972060,10376556.459999999031425
20120402,2154604.520000000484288,2129122.500000000000000,2084062.399999999906868,2001558.830000000074506,2042949.260000000009313,10412297.509999999776483
20120403,2143561.340000000782311,2124410.000000000000000,2107880.080000000074506,1998441.169999999925494,2019310.519999999785796,10393603.110000001266599
20120404,2134843.040000000037253,2110272.500000000000000,2084062.399999999906868,1994803.899999999906868,2006325.859999999869615,10330307.699999999254942
20120405,2135424.260000000707805,2105560.000000000000000,2119088.399999999906868,1956872.369999999646097,2019976.399999999906868,10336921.429999999701977
20120409,2117987.660000000149012,2078227.500000000000000,2093169.159999999916181,1946480.169999999925494,2001997.639999999897555,10237862.130000000819564
20120410,2092995.200000000186265,2072572.499999999767169,2044833.280000000027940,1912185.909999999683350,1995338.839999999850988,10117925.730000000447035
20120411,2095901.300000000279397,2068802.500000000000000,2056041.600000000093132,1942323.290000000037253,1991010.619999999878928,10154079.310000000521541
20120412,2098807.400000000372529,2065975.000000000232831,2119788.919999999925494,1951156.659999999683350,2002330.579999999841675,10238058.560000000521541
20120413,2090670.320000000065193,2059377.500000000232831,2156916.479999999981374,1936087.969999999739230,1990011.800000000046566,10233064.070000000298023
