訓練日期,20110913 - 20111213
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11616923.390000000596046
真實報酬,1616923.390000000596046

夏普值報酬,0.152992339000000
夏普值風險,0.043689899949132
夏普值,3.501778195375305

預期報酬,27340.618487802283198
風險,189716.123111513908952
趨勢值,0.144113310136175
找到最佳解世代,1576
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](1),IBM[10](6),MCD[15](2),WMT[28](3),
Stock#,HD[9](1),IBM[10](6),MCD[15](2),WMT[28](3),
張數,77279,15392,29005,48243,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,24.350000000093132,31.360000000335276,59.050000000279397,47.739999999757856,
20110913,2523956.489999999757856,2515545.920000000391155,2497969.650000000372529,2488904.109999999869615,10026376.169999999925494
20110914,2591962.010000000242144,2574189.440000000409782,2516242.800000000279397,2518332.339999999850988,10200726.590000001713634
20110915,2649148.470000000204891,2618056.640000000596046,2554529.399999999906868,2533287.669999999459833,10355022.180000001564622
20110916,2674650.540000000037253,2662693.440000000409782,2560910.500000000465661,2540041.689999999478459,10438296.169999999925494
20110919,2654558.000000000000000,2664848.320000000298023,2575993.100000000558794,2530393.089999999850988,10425792.510000001639128
20110920,2690106.340000000316650,2689321.600000000093132,2590495.600000000558794,2522674.209999999497086,10492597.750000000000000
20110921,2615145.710000000428408,2663155.200000000651926,2538576.650000000372529,2475878.500000000000000,10292756.060000002384186
20110922,2554095.299999999813735,2595430.400000000372529,2494199.000000000000000,2425705.779999999795109,10069430.480000000447035
20110923,2605872.229999999981374,2606512.640000000596046,2534225.900000000372529,2450792.139999999664724,10197402.910000000149012
20110926,2627510.350000000093132,2686089.280000000260770,2591365.750000000465661,2500482.429999999701977,10405447.810000000521541
20110927,2618236.870000000111759,2735343.680000000633299,2602967.750000000000000,2510131.029999999795109,10466679.330000000074506
20110928,2596598.750000000000000,2732880.960000000428408,2553369.200000000186265,2475396.069999999832362,10358244.980000000447035
20110929,2611281.760000000242144,2757816.000000000000000,2575122.950000000186265,2505306.729999999515712,10449527.439999999478459
20110930,2540185.080000000074506,2691630.400000000372529,2547278.149999999906868,2503859.439999999478459,10282953.070000000298023
20111003,2441267.959999999962747,2667311.040000000037253,2495069.150000000372529,2506754.020000000018626,10110402.169999999925494
20111004,2509273.479999999981374,2689629.440000000409782,2508411.450000000186265,2551137.580000000074506,10258451.949999999254942
20111005,2537093.919999999925494,2722106.560000000055879,2489558.200000000186265,2540041.689999999478459,10288800.370000001043081
20111006,2579597.370000000111759,2796603.840000000316650,2526684.600000000093132,2544865.989999999757856,10447751.800000000745058
20111007,2621328.030000000260770,2807378.240000000223517,2529295.050000000279397,2590696.839999999850988,10548698.160000000149012
20111010,2678514.489999999757856,2872486.400000000372529,2567291.600000000558794,2644246.569999999832362,10762539.060000000521541
20111011,2682378.439999999944121,2847551.360000000335276,2591365.750000000465661,2639904.699999999720603,10761200.250000000000000
20111012,2683151.229999999981374,2864790.400000000372529,2562940.850000000093132,2663061.339999999850988,10773943.820000000298023
20111013,2659194.739999999757856,2875564.800000000279397,2590495.600000000558794,2654377.600000000093132,10779632.740000000223517
20111014,2708653.299999999813735,2932669.120000000577420,2608768.750000000000000,2675604.520000000018626,10925695.689999999478459
20111017,2677741.700000000186265,2872024.640000000596046,2571642.350000000093132,2642799.279999999795109,10764207.970000000670552
20111018,2778204.400000000372529,2753660.160000000614673,2600067.250000000465661,2696349.009999999776483,10828280.820000000298023
20111019,2735700.950000000186265,2730418.240000000223517,2599487.150000000372529,2713716.489999999757856,10779322.830000000074506
20111020,2761203.020000000018626,2728263.360000000335276,2581794.100000000558794,2719505.649999999441206,10790766.130000000819564
20111021,2848528.290000000037253,2795680.320000000298023,2677800.649999999906868,2746039.299999999813735,11068048.559999998658895
20111024,2836163.650000000372529,2805223.360000000335276,2668809.100000000558794,2739285.279999999795109,11049481.390000000596046
20111025,2785159.510000000242144,2776132.480000000447035,2661847.900000000372529,2735908.270000000018626,10959048.160000000149012
20111026,2824571.799999999813735,2800913.600000000093132,2662137.950000000186265,2767748.649999999441206,11055372.000000000000000
20111027,2887940.580000000074506,2868176.640000000596046,2712316.600000000558794,2788975.569999999832362,11257409.390000000596046
20111028,2791341.830000000074506,2885261.760000000242144,2705935.500000000465661,2757135.189999999478459,11139674.279999999329448
20111031,2766612.549999999813735,2841856.320000000298023,2693173.300000000279397,2736390.699999999720603,11038032.869999999180436
20111101,2746520.010000000242144,2791370.560000000055879,2665908.600000000093132,2712751.629999999422580,10916550.799999998882413
20111102,2781295.560000000055879,2830928.000000000000000,2683891.700000000186265,2743144.719999999739230,11039259.980000000447035
20111103,2816843.900000000372529,2882952.960000000428408,2697524.050000000279397,2770160.799999999813735,11167481.710000000894070
20111104,2812207.160000000149012,2868792.320000000298023,2721018.100000000558794,2774020.239999999757856,11176037.820000002160668
20111107,2885622.210000000428408,2883260.800000000279397,2744512.150000000372529,2795247.159999999683350,11308642.320000000298023
20111108,2931989.609999999869615,2882183.360000000335276,2743932.050000000279397,2861822.500000000000000,11419927.520000001415610
20111109,2871711.989999999757856,2805069.440000000409782,2687372.300000000279397,2800553.889999999664724,11164707.620000001043081
20111110,2874803.150000000372529,2822154.560000000055879,2705065.350000000558794,2804413.330000000074506,11206436.390000002458692
20111111,2941263.090000000316650,2884184.320000000298023,2748572.850000000558794,2856033.339999999850988,11430053.600000001490116
20111114,2955946.100000000093132,2883722.560000000055879,2728269.350000000558794,2841078.009999999776483,11409016.020000001415610
20111115,2942035.879999999888241,2905271.360000000335276,2740161.400000000372529,2772090.520000000018626,11359559.160000000149012
20111116,2924261.710000000428408,2872486.400000000372529,2701874.800000000279397,2734460.979999999515712,11233083.890000000596046
20111117,2907260.330000000074506,2858787.520000000018626,2676930.500000000465661,2736873.129999999422580,11179851.479999998584390
20111118,2927352.870000000111759,2851245.440000000409782,2689982.750000000000000,2760994.629999999422580,11229575.689999999478459
20111121,2863984.090000000316650,2793371.520000000018626,2676640.450000000186265,2733496.119999999646097,11067492.179999999701977
20111122,2867075.250000000000000,2790754.880000000353903,2687372.300000000279397,2742662.290000000037253,11087864.720000002533197
20111123,2822253.430000000167638,2739037.760000000242144,2664748.400000000372529,2732531.259999999776483,10958570.850000001490116
20111125,2818389.479999999981374,2725338.880000000353903,2671419.550000000279397,2744592.009999999776483,10959739.919999999925494
20111128,2882531.049999999813735,2804607.680000000633299,2719567.850000000558794,2761959.489999999757856,11168666.070000002160668
