訓練日期,20170406 - 20170710
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11003368.969999998807907
真實報酬,1003368.969999998807907

夏普值報酬,0.091636897000000
夏普值風險,0.030230087421041
夏普值,3.031314323498015

預期報酬,16783.745280948045547
風險,57522.634557990822941
趨勢值,0.291776366119457
找到最佳解世代,2335
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,5
BA[2](4),JNJ[12](12),JPM[13](17),MCD[15](2),WMT[28](11),
Stock#,BA[2](4),JNJ[12](12),JPM[13](17),MCD[15](2),WMT[28](11),
張數,11294,16025,23204,15336,27913,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,58.479999999748543,80.000000000000000,47.239999999990687,32.239999999990687,33.549999999813735,
20170406,2003275.259999999776483,2004006.250000000000000,2006729.160000000149012,1996012.640000000130385,1993859.139999999897555,10003882.450000001117587
20170407,2019990.379999999655411,2001923.000000000000000,1999767.960000000195578,1993098.800000000046566,2034891.250000000000000,10049671.390000000596046
20170410,2005421.119999999878928,1992628.500000000000000,1992806.759999999776483,1993405.519999999785796,2039357.329999999841675,10023619.229999998584390
20170411,2016828.059999999590218,1990705.500000000000000,1989326.160000000149012,2012115.439999999711290,2049685.139999999897555,10058660.299999998882413
20170412,1988367.179999999934807,2009615.000000000000000,1981668.840000000083819,2013035.599999999860302,2049964.269999999785796,10042650.889999998733401
20170413,1983510.759999999776483,2003044.750000000000000,1958464.840000000083819,2005367.599999999860302,2041869.500000000000000,9992257.449999999254942
20170417,2021910.359999999869615,2014743.000000000000000,1992342.679999999934807,2014415.839999999850988,2051359.919999999692664,10094771.799999998882413
20170418,2008696.379999999655411,1952245.500000000000000,1976099.879999999888241,2028985.040000000270084,2062525.119999999878928,10028551.919999999925494
20170419,2014908.079999999841675,1945034.250000000000000,1959857.079999999841675,2034199.279999999795109,2067549.459999999729916,10021548.149999998509884
20170420,2025072.679999999934807,1953046.750000000000000,1985149.439999999944121,2043860.960000000195578,2087925.949999999720603,10095055.779999999329448
20170421,2037270.199999999720603,1951284.000000000000000,1961249.319999999832362,2046008.000000000000000,2091833.769999999785796,10087645.289999999105930
20170424,2056244.119999999878928,1969392.250000000000000,2030397.239999999990687,2058583.519999999785796,2087367.689999999944121,10201984.820000000298023
20170425,2072620.419999999692664,1978045.750000000000000,2048032.280000000027940,2173143.439999999478459,2094904.199999999720603,10366746.089999999850988
20170426,2052291.219999999739230,1979327.750000000000000,2051976.960000000195578,2159954.480000000447035,2105511.140000000130385,10349061.550000000745058
20170427,2069345.159999999683350,1983013.500000000000000,2032949.679999999934807,2160414.560000000521541,2105790.269999999552965,10351513.169999999925494
20170428,2087528.500000000000000,1978686.750000000000000,2018795.239999999990687,2145998.719999999739230,2098532.890000000130385,10329542.099999999627471
20170501,2059971.139999999664724,1976603.500000000000000,2020187.479999999981374,2164708.639999999664724,2099928.540000000037253,10321399.299999998882413
20170502,2071829.839999999618158,1982372.500000000000000,2007193.239999999990687,2165935.519999999552965,2108023.309999999590218,10335354.410000000149012
20170503,2071265.139999999664724,1976443.250000000000000,2018795.239999999990687,2187252.560000000521541,2114722.430000000167638,10368478.620000001043081
20170504,2067651.059999999590218,1986378.750000000000000,2021115.639999999897555,2199981.439999999478459,2130911.969999999739230,10406038.859999999403954
20170505,2089561.419999999692664,1979327.750000000000000,2018795.239999999990687,2207802.799999999813735,2135378.049999999813735,10430865.259999999776483
20170508,2100968.359999999403954,1975161.250000000000000,2021115.639999999897555,2212096.879999999888241,2124771.109999999869615,10434113.239999998360872
20170509,2111020.019999999552965,1974520.250000000000000,2012994.239999999990687,2213937.200000000186265,2141518.909999999683350,10453990.619999999180436
20170510,2068893.399999999906868,1968110.250000000000000,2028772.960000000195578,2216390.959999999962747,2140960.649999999906868,10423128.220000000670552
20170511,2077476.839999999618158,1974360.000000000000000,2022507.879999999888241,2211636.799999999813735,2125050.239999999757856,10411031.759999999776483
20170512,2069683.979999999748543,1981411.000000000000000,2016938.919999999925494,2229273.200000000186265,2113326.779999999795109,10410633.879999998956919
20170515,2059971.139999999664724,2035094.750000000000000,2026684.600000000093132,2243382.320000000298023,2129516.319999999832362,10494649.130000000819564
20170516,2063472.279999999562278,2047594.250000000000000,2032949.679999999934807,2258871.679999999701977,2096578.979999999748543,10499466.869999999180436
20170517,2019199.799999999813735,2029966.750000000000000,1955448.319999999832362,2245376.000000000000000,2096858.109999999869615,10346848.979999998584390
20170518,2003614.079999999841675,2034774.250000000000000,1948255.079999999841675,2254577.599999999627471,2164407.569999999832362,10405628.580000000074506
20170519,2041561.919999999692664,2035255.000000000000000,1967282.360000000102445,2272060.639999999664724,2198740.559999999590218,10514900.480000000447035
20170522,2074427.459999999497086,2039421.500000000000000,1965426.040000000037253,2272674.080000000074506,2192599.699999999720603,10544548.779999999329448
20170523,2072394.539999999804422,2043588.000000000000000,1990022.280000000027940,2266999.759999999776483,2190924.919999999459833,10563929.500000000000000
20170524,2092271.979999999748543,2043427.750000000000000,1988862.079999999841675,2292764.240000000223517,2181434.500000000000000,10598760.550000000745058
20170525,2112827.059999999590218,2043748.250000000000000,1980508.639999999897555,2297058.320000000298023,2185900.580000000074506,10620042.849999999627471
20170526,2107405.939999999478459,2033973.000000000000000,1980740.679999999934807,2298285.200000000186265,2180876.239999999757856,10601281.060000000521541
20170530,2110681.199999999254942,2037017.750000000000000,1946862.840000000083819,2299358.719999999739230,2181434.500000000000000,10575355.009999997913837
20170531,2119151.699999999254942,2055286.250000000000000,1906255.840000000083819,2314081.279999999329448,2193995.349999999627471,10588770.419999998062849
20170601,2115650.559999999590218,2063779.500000000000000,1927371.479999999981374,2337085.279999999329448,2227770.080000000074506,10671656.899999998509884
20170602,2148516.099999999627471,2084612.000000000232831,1917625.800000000046566,2357788.879999999888241,2222466.609999999869615,10731009.389999998733401
20170605,2134059.779999999329448,2089099.000000000232831,1921106.400000000139698,2343219.679999999701977,2240330.930000000167638,10727815.789999999105930
20170606,2109212.979999999515712,2096630.750000000232831,1925051.079999999841675,2319295.519999999552965,2203206.640000000130385,10653396.969999998807907
20170607,2124459.879999999888241,2095348.750000000000000,1947094.879999999888241,2330184.080000000074506,2209347.500000000000000,10706435.089999999850988
20170608,2145127.899999999441206,2092143.750000000232831,1971227.040000000037253,2322362.719999999739230,2203206.640000000130385,10734068.050000000745058
20170609,2146257.299999999813735,2107848.250000000000000,2017867.079999999841675,2323129.519999999552965,2216884.009999999776483,10811986.159999998286366
20170612,2145918.479999999515712,2112495.500000000000000,2018331.160000000149012,2276968.160000000149012,2211859.669999999459833,10765572.970000000670552
20170613,2158228.939999999478459,2115700.500000000000000,2025060.319999999832362,2297671.759999999776483,2219675.309999999590218,10816336.829999998211861
20170614,2172798.199999999254942,2127719.250000000000000,2020883.600000000093132,2310860.719999999739230,2230282.250000000000000,10862544.019999999552965
20170615,2207470.779999999329448,2132046.000000000000000,2008817.519999999785796,2318375.359999999403954,2202648.379999999888241,10869358.039999999105930
20170616,2218651.839999999850988,2153038.750000000000000,1999767.960000000195578,2330950.879999999888241,2100207.669999999459833,10802617.099999999627471
20170619,2248468.000000000000000,2148551.750000000000000,2043623.519999999785796,2348587.279999999329448,2107465.049999999813735,10896695.599999997764826
20170620,2239997.500000000000000,2150955.500000000000000,2030861.319999999832362,2362849.759999999776483,2108581.569999999832362,10893245.650000000372529
20170621,2249484.459999999962747,2162012.750000000000000,2021579.720000000204891,2357635.519999999552965,2128120.669999999459833,10918833.119999999180436
20170622,2252533.839999999850988,2180281.250000000000000,2019259.319999999832362,2374045.040000000037253,2108023.309999999590218,10934142.759999997913837
20170623,2284044.099999999627471,2186370.750000000000000,2015546.679999999934807,2371591.279999999329448,2089042.469999999972060,10946595.279999999329448
20170626,2258632.599999999627471,2184928.500000000000000,2024364.199999999953434,2361162.799999999813735,2107465.049999999813735,10936553.149999998509884
20170627,2246322.139999999664724,2163615.250000000000000,2043159.439999999944121,2357482.160000000149012,2121700.680000000167638,10932279.669999999925494
20170628,2254566.759999999776483,2144545.500000000000000,2084230.519999999785796,2366377.040000000037253,2135657.180000000167638,10985377.000000000000000
20170629,2230171.719999999739230,2125636.000000000000000,2115091.839999999850988,2348433.919999999925494,2119467.640000000130385,10938801.120000001043081
20170630,2233446.979999999515712,2120027.250000000000000,2120892.839999999850988,2348894.000000000000000,2112489.390000000130385,10935750.460000000894070
20170703,2242933.939999999478459,2129802.500000000000000,2152218.240000000223517,2338772.240000000223517,2103557.229999999981374,10967284.150000000372529
20170705,2279300.620000000111759,2141661.000000000000000,2173797.959999999962747,2347513.759999999776483,2102440.709999999497086,11044714.049999998882413
