訓練日期,20151106 - 20160210
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10820313.760000001639128
真實報酬,820313.760000001639128

夏普值報酬,0.073331376000000
夏普值風險,0.032710425604456
夏普值,2.241834969888327

預期報酬,13586.397238776497034
風險,157552.635149420384550
趨勢值,0.086234020940947
找到最佳解世代,2689
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),WMT[28](1),
Stock#,MCD[15](2),WMT[28](1),
張數,44306,85309,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,67.900000000372529,39.509999999776483,
20151106,5020380.760000000707805,5014502.530000000260770,10034883.290000000968575
20151109,5003544.480000000447035,4989762.919999999925494,9993307.400000000372529
20151110,5016393.220000000670552,5005971.629999999888241,10022364.850000001490116
20151111,5044306.000000000000000,4912131.729999999515712,9956437.730000000447035
20151112,4967213.560000000521541,4858387.059999999590218,9825600.620000001043081
20151113,4872398.720000000670552,4813173.290000000037253,9685572.010000001639128
20151116,4920692.260000000707805,4936871.339999999850988,9857563.600000001490116
20151117,4915375.540000000037253,5111754.790000000037253,10027130.330000000074506
20151118,4985822.080000000074506,5197916.879999999888241,10183738.960000000894070
20151119,5019937.700000000186265,5178295.809999999590218,10198233.509999999776483
20151120,5046964.360000000335276,5124551.139999999664724,10171515.500000000000000
20151123,5071775.720000000670552,5140759.849999999627471,10212535.570000000298023
20151124,5063357.580000000074506,5111754.790000000037253,10175112.370000001043081
20151125,5068674.300000000745058,5139053.669999999925494,10207727.970000000670552
20151127,5061142.280000000260770,5109195.519999999552965,10170337.800000000745058
20151130,5058040.860000000335276,5019621.070000000298023,10077661.929999999701977
20151201,5070889.600000000558794,5032417.419999999925494,10103307.019999999552965
20151202,5038546.220000000670552,4977819.660000000149012,10016365.880000000819564
20151203,5023925.240000000223517,5036682.870000000111759,10060608.109999999403954
20151204,5148425.100000000558794,5089574.449999999254942,10237999.550000000745058
20151207,5158172.420000000856817,5161234.009999999776483,10319406.429999999701977
20151208,5163046.080000000074506,5085309.000000000000000,10248355.080000000074506
20151209,5165261.379999999888241,5044360.679999999701977,10209622.059999998658895
20151210,5192731.100000000558794,5081043.549999999813735,10273774.650000000372529
20151211,5143108.379999999888241,5063981.750000000000000,10207090.129999998956919
20151214,5151083.460000000894070,5151850.019999999552965,10302933.480000000447035
20151215,5180768.480000000447035,5087868.269999999552965,10268636.750000000000000
20151216,5221086.940000000409782,5144172.209999999962747,10365259.150000000372529
20151217,5206022.900000000372529,5031564.329999999143183,10237587.230000000447035
20151218,5168805.860000000335276,5020474.160000000149012,10189280.019999999552965
20151221,5214441.040000000037253,5080190.459999999962747,10294631.500000000000000
20151222,5215770.220000000670552,5164646.370000000111759,10380416.589999999850988
20151223,5263620.700000000186265,5211566.320000000298023,10475187.019999999552965
20151224,5253430.320000000298023,5189385.979999999515712,10442816.300000000745058
20151228,5261405.400000000372529,5182561.259999999776483,10443966.660000000149012
20151229,5319889.320000000298023,5255927.000000000000000,10575816.320000000298023
20151230,5291533.480000000447035,5261898.629999999888241,10553432.109999999403954
20151231,5234378.740000000223517,5229481.209999999962747,10463859.949999999254942
20160104,5209567.379999999888241,5243130.649999999441206,10452698.029999999329448
20160105,5281343.100000000558794,5367681.790000000037253,10649024.890000000596046
20160106,5245898.300000000745058,5421426.459999999962747,10667324.760000001639128
20160107,5124499.860000000335276,5547683.780000000260770,10672183.640000000596046
20160108,5116524.780000000260770,5420573.370000000111759,10537098.150000000372529
20160111,5170135.040000000037253,5478583.489999999292195,10648718.529999999329448
20160112,5203364.540000000037253,5427398.089999999850988,10630762.629999998956919
20160113,5100574.620000000111759,5282372.790000000037253,10382947.410000000149012
20160114,5167033.620000000111759,5379625.049999999813735,10546658.669999999925494
20160115,5103232.980000000447035,5283225.879999999888241,10386458.859999999403954
20160119,5206022.900000000372529,5336970.549999999813735,10542993.449999999254942
20160120,5129816.580000000074506,5190239.070000000298023,10320055.650000000372529
20160121,5221086.940000000409782,5278960.429999999701977,10500047.370000001043081
20160122,5245898.300000000745058,5348060.719999999739230,10593959.019999999552965
20160125,5281343.100000000558794,5412895.559999999590218,10694238.660000000149012
20160126,5335839.480000000447035,5459815.509999999776483,10795654.990000000223517
20160127,5355334.120000000111759,5455550.059999999590218,10810884.179999999701977
20160128,5422236.180000000633299,5478583.489999999292195,10900819.669999999925494
20160129,5484264.580000000074506,5661144.750000000000000,11145409.330000000074506
20160201,5521038.560000000521541,5758397.009999999776483,11279435.570000000298023
20160202,5491796.600000000558794,5703799.250000000000000,11195595.850000001490116
20160203,5381917.720000000670552,5653466.939999999478459,11035384.660000000149012
20160204,5346029.860000000335276,5666263.290000000037253,11012293.150000000372529
20160205,5112980.300000000745058,5715742.509999999776483,10828722.810000000521541
20160208,5141779.200000000186265,5707211.610000000335276,10848990.810000000521541
20160209,5184312.960000000894070,5614224.799999999813735,10798537.760000001639128
20160210,5207795.140000000596046,5612518.620000000111759,10820313.760000001639128
