訓練日期,20110616 - 20110916
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11362310.089999999850988
真實報酬,1362310.089999999850988

夏普值報酬,0.127531009000000
夏普值風險,0.035237550183837
夏普值,3.619179208959262

預期報酬,21854.614021779740142
風險,278646.839733520173468
趨勢值,0.078431228729097
找到最佳解世代,2065
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),KO[14](3),MCD[15](1),
Stock#,AAPL[0](2),KO[14](3),MCD[15](1),
張數,71408,102595,41030,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,7.560000000055879,21.449999999720603,55.800000000279397,
20110616,3316909.160000000149012,3358981.750000000000000,3356720.100000000558794,10032612.010000001639128
20110617,3266923.560000000055879,3366163.399999999906868,3385851.399999999906868,10018939.359999999403954
20110620,3216937.959999999962747,3377448.850000000093132,3392826.500000000000000,9987214.310000000521541
20110621,3318337.319999999832362,3398993.799999999813735,3397339.800000000279397,10114671.919999999925494
20110622,3291202.280000000260770,3406175.450000000186265,3391185.300000000745058,10088564.030000001192093
20110623,3379034.120000000111759,3333333.000000000000000,3376414.500000000465661,10088782.620000001043081
20110624,3329048.520000000018626,3331281.099999999627471,3357951.000000000465661,10018281.619999999180436
20110627,3386889.000000000000000,3344618.449999999720603,3377645.399999999906868,10109153.849999999627471
20110628,3419736.680000000167638,3387708.350000000093132,3460936.299999999813735,10268382.330000000074506
20110629,3407597.319999999832362,3421564.699999999720603,3469962.899999999906868,10299125.919999999925494
20110630,3424021.160000000149012,3452343.199999999720603,3459705.399999999906868,10336070.759999999776483
20110701,3501855.879999999888241,3493381.199999999254942,3514275.300000000745058,10509513.379999998956919
20110705,3564694.920000000391155,3503640.699999999720603,3513865.000000000465661,10582201.620000001043081
20110706,3588259.560000000055879,3515952.100000000093132,3522891.600000000093132,10627104.259999999776483
20110707,3643957.800000000279397,3527237.549999999813735,3531097.600000000558794,10702293.949999999254942
20110708,3669664.680000000167638,3523133.750000000000000,3512223.799999999813735,10705023.230000000447035
20110711,3611110.120000000111759,3493381.199999999254942,3501966.299999999813735,10606458.619999999180436
20110712,3608967.879999999888241,3480043.850000000093132,3487195.500000000000000,10576208.230000000447035
20110713,3652526.759999999776483,3491329.299999999813735,3485964.600000000093132,10629821.660000000149012
20110714,3649670.439999999944121,3471836.250000000000000,3520840.100000000558794,10642347.789999999105930
20110715,3722506.600000000093132,3464654.600000000093132,3507300.200000000651926,10694462.400000000372529
20110718,3813194.759999999776483,3443109.649999999906868,3504017.800000000745058,10760323.210000000894070
20110719,3844614.280000000260770,3555964.149999999441206,3537252.100000000093132,10937831.529999999329448
20110720,3946727.720000000204891,3533393.249999999534339,3539713.899999999906868,11019835.869999999180436
