訓練日期,20170601 - 20170831
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10752670.599999999627471
真實報酬,752670.599999999627471

夏普值報酬,0.066567060000000
夏普值風險,0.022252883638247
夏普值,2.991390288204607

預期報酬,13045.290717343725191
風險,45932.785325659569935
趨勢值,0.284008266096944
找到最佳解世代,2433
找到最佳解實驗#,23
找到最佳解次數,1

stock[index](rank)
投資組合檔數,4
JPM[13](6),MCD[15](3),PG[21](10),V[25](7),
Stock#,JPM[13](6),MCD[15](3),PG[21](10),V[25](7),
張數,30432,16568,28380,26252,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,11.199999999720603,54.480000000447035,5.799999999813735,22.040000000037253,
20170601,2527693.119999999646097,2524852.000000000000000,2501135.199999999720603,2504462.840000000316650,10058143.159999998286366
20170602,2514911.679999999701977,2547218.800000000745058,2514190.000000000000000,2524151.840000000316650,10100472.320000000298023
20170605,2519476.479999999981374,2531479.200000000186265,2518446.999999999534339,2534652.640000000130385,10104055.320000000298023
20170606,2524649.919999999459833,2505633.120000000111759,2520149.799999999813735,2514701.120000000111759,10065133.959999999031425
20170607,2553560.319999999832362,2517396.400000000372529,2519298.399999999906868,2522576.720000000204891,10112831.840000001713634
20170608,2585209.599999999627471,2508946.720000000670552,2493188.799999999813735,2522576.720000000204891,10109921.839999999850988
20170609,2646377.919999999459833,2509775.120000000111759,2501986.599999999627471,2482411.160000000149012,10140550.799999998882413
20170612,2646986.560000000055879,2459905.440000000409782,2504256.999999999534339,2454584.040000000037253,10065733.039999999105930
20170613,2655811.839999999385327,2482272.240000000223517,2499148.600000000093132,2496062.200000000186265,10133294.879999998956919
20170614,2650334.079999999608845,2496520.720000000670552,2509932.999999999534339,2502362.679999999701977,10159150.480000000447035
20170615,2634509.439999999478459,2504639.040000000037253,2536610.199999999720603,2472172.879999999888241,10147931.559999998658895
20170616,2622640.959999999962747,2518224.800000000745058,2544556.599999999627471,2472172.879999999888241,10157595.240000000223517
20170619,2680157.439999999478459,2537278.000000000000000,2550232.599999999627471,2488449.120000000111759,10256117.160000000149012
20170620,2663419.839999999385327,2552686.240000000223517,2543705.199999999720603,2477685.799999999813735,10237497.079999998211861
20170621,2651247.040000000037253,2547053.120000000111759,2537177.799999999813735,2481886.120000000111759,10217364.080000000074506
20170622,2648203.839999999385327,2564780.880000000819564,2526677.199999999720603,2466397.439999999944121,10206059.359999999403954
20170623,2643334.719999999739230,2562130.000000000000000,2537745.399999999906868,2509188.200000000186265,10252398.320000000298023
20170626,2654898.879999999422580,2550863.760000000707805,2536042.599999999627471,2499737.479999999981374,10241542.720000000670552
20170627,2679548.799999999813735,2546887.440000000409782,2514757.599999999627471,2491336.840000000316650,10232530.679999999701977
20170628,2733413.439999999478459,2556496.880000000819564,2507946.399999999906868,2526252.000000000000000,10324108.720000000670552
20170629,2773888.000000000000000,2537112.320000000298023,2468781.999999999534339,2478735.879999999888241,10258518.199999999254942
20170630,2781496.000000000000000,2537609.360000000335276,2473322.799999999813735,2461934.600000000093132,10254362.759999999776483
20170703,2822579.199999999720603,2526674.480000000447035,2490066.999999999534339,2450646.239999999757856,10289966.919999999925494
20170705,2850880.959999999962747,2536118.240000000223517,2488080.399999999906868,2467972.560000000055879,10343052.160000000149012
20170706,2841751.359999999403954,2536449.600000000558794,2479566.399999999906868,2448021.040000000037253,10305788.399999998509884
20170707,2856054.399999999441206,2589135.840000000782311,2487512.799999999813735,2465609.879999999888241,10398312.919999999925494
20170710,2835969.279999999795109,2576709.840000000782311,2471620.000000000000000,2496324.720000000204891,10380623.840000001713634
20170711,2825013.759999999776483,2566603.360000000335276,2462538.399999999906868,2504725.359999999869615,10358880.879999998956919
20170712,2815275.520000000018626,2594271.920000000856817,2467930.599999999627471,2524939.400000000372529,10402417.440000001341105
20170713,2833230.399999999441206,2568757.200000000186265,2460551.799999999813735,2518638.919999999925494,10381178.320000000298023
20170714,2807363.199999999720603,2572733.520000000484288,2471903.799999999813735,2544628.400000000372529,10396628.920000001788139
20170717,2781191.679999999701977,2572402.160000000149012,2484674.799999999813735,2542003.200000000186265,10380271.839999999850988
20170718,2771453.439999999478459,2550863.760000000707805,2515609.000000000000000,2561692.200000000186265,10399618.400000000372529
20170719,2775409.599999999627471,2549704.000000000000000,2507378.799999999813735,2579281.040000000037253,10411773.439999999478459
20170720,2775409.599999999627471,2555005.760000000707805,2514473.799999999813735,2575605.760000000242144,10420494.919999999925494
20170721,2765975.679999999701977,2550201.040000000037253,2514757.599999999627471,2614721.239999999757856,10445655.559999998658895
20170724,2777844.159999999683350,2515905.280000000260770,2502554.200000000186265,2634935.280000000260770,10431238.919999999925494
20170725,2824100.799999999813735,2635526.240000000223517,2529799.000000000000000,2624959.520000000018626,10614385.560000000521541
20170726,2797624.959999999962747,2593112.160000000149012,2534339.799999999813735,2647536.239999999757856,10572613.160000000149012
20170727,2786060.799999999813735,2600402.080000000074506,2573504.200000000186265,2613933.679999999701977,10573900.759999999776483
20170728,2777844.159999999683350,2582177.280000000260770,2560165.599999999627471,2602907.840000000316650,10523094.879999998956919
20170731,2793668.799999999813735,2570414.000000000000000,2577477.399999999441206,2613671.160000000149012,10555231.359999999403954
20170801,2831100.159999999683350,2552189.200000000186265,2585423.799999999813735,2648061.280000000260770,10616774.439999999478459
20170802,2833534.719999999739230,2594437.600000000558794,2583721.000000000000000,2658824.600000000093132,10670517.919999999925494
20170803,2814971.199999999720603,2563455.440000000409782,2578612.599999999627471,2640710.720000000204891,10597749.960000000894070
20170804,2850272.319999999832362,2548544.240000000223517,2573220.399999999906868,2648586.319999999832362,10620623.280000001192093
20170807,2861227.839999999385327,2567597.440000000409782,2595072.999999999534339,2664337.520000000018626,10688235.799999998882413
20170808,2850880.959999999962747,2566769.040000000037253,2599046.199999999720603,2658824.600000000093132,10675520.799999998882413
20170809,2846316.159999999683350,2566769.040000000037253,2608695.399999999906868,2650686.479999999981374,10672467.080000000074506
20170810,2805537.279999999795109,2594934.640000000596046,2603586.999999999534339,2611833.520000000018626,10615892.439999999478459
20170811,2782104.639999999664724,2606200.880000000819564,2592235.000000000000000,2627584.720000000204891,10608125.240000000223517
20170814,2814666.879999999422580,2605538.160000000149012,2601032.799999999813735,2674313.280000000260770,10695551.119999999180436
20170815,2821970.560000000055879,2611502.640000000596046,2616641.799999999813735,2694264.799999999813735,10744379.800000000745058
20170816,2802494.079999999608845,2632709.680000000633299,2623452.999999999534339,2712378.679999999701977,10771035.439999999478459
20170817,2758672.000000000000000,2615976.000000000000000,2612952.399999999441206,2681926.359999999869615,10669526.759999999776483
20170818,2761410.879999999422580,2613822.160000000149012,2624304.399999999906868,2691114.560000000055879,10690652.000000000000000
20170821,2758063.359999999403954,2623762.960000000894070,2635372.599999999627471,2709753.479999999981374,10726952.400000000372529
20170822,2786365.119999999646097,2644970.000000000000000,2633386.000000000000000,2732067.679999999701977,10796788.799999998882413
20170823,2789712.639999999664724,2631218.560000000521541,2623452.999999999534339,2708703.400000000372529,10753087.599999999627471
20170824,2785147.839999999385327,2624591.360000000335276,2618628.399999999906868,2709753.479999999981374,10738121.080000000074506
20170825,2796407.679999999701977,2631384.240000000223517,2625439.600000000093132,2713166.239999999757856,10766397.759999999776483
20170828,2787582.399999999441206,2645467.040000000037253,2624304.399999999906868,2724454.600000000093132,10781808.439999999478459
20170829,2772366.399999999441206,2640662.320000000298023,2620047.399999999441206,2724192.080000000074506,10757268.199999999254942
20170830,2778757.119999999646097,2643147.520000000484288,2607276.399999999906868,2723142.000000000000000,10752323.040000000968575
20170831,2765975.679999999701977,2650437.440000000409782,2618628.399999999906868,2717629.080000000074506,10752670.599999999627471
