訓練日期,20120911 - 20121213
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10928945.910000000149012
真實報酬,928945.910000000149012

夏普值報酬,0.084194591000000
夏普值風險,0.029454792320218
夏普值,2.858434379189601

預期報酬,17739.668596807772701
風險,126202.239303739217576
趨勢值,0.140565402758921
找到最佳解世代,1970
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](6),HD[9](2),V[25](1),
Stock#,BA[2](6),HD[9](2),V[25](1),
張數,46895,58173,103616,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,36.399999999906868,20.100000000093132,6.279999999795109,
20120911,3342243.049999999813735,3299592.660000000149012,3405864.199999999720603,10047700.910000000149012
20120912,3327705.599999999627471,3318789.750000000000000,3457672.199999999720603,10104168.549999998882413
20120913,3356780.500000000000000,3391506.000000000000000,3496010.120000000111759,10244297.620000001043081
20120914,3342712.000000000000000,3458986.680000000167638,3477359.240000000223517,10279058.919999999925494
20120917,3278934.799999999813735,3426991.529999999795109,3468033.799999999813735,10173961.129999998956919
20120918,3303789.149999999906868,3424082.879999999888241,3462853.000000000000000,10190726.029999999329448
20120919,3277996.900000000372529,3459568.410000000149012,3491865.479999999981374,10229431.790000000968575
20120920,3275652.149999999441206,3448515.540000000037253,3486684.679999999701977,10210853.369999999180436
20120921,3281279.549999999813735,3456659.760000000242144,3497046.279999999795109,10234986.589999999850988
20120924,3284093.250000000000000,3454914.570000000298023,3464925.319999999366701,10203934.140000000596046
20120925,3253611.499999999534339,3474111.660000000149012,3485648.520000000018626,10213372.679999999701977
20120926,3294410.149999999906868,3442116.510000000242144,3432804.359999999869615,10169332.019999999552965
20120927,3287375.899999999441206,3483419.340000000316650,3469069.959999999497086,10239866.199999999254942
20120928,3263928.399999999441206,3511924.109999999869615,3478395.399999999906868,10254248.910000000149012
20121001,3283155.350000000093132,3523558.709999999962747,3541601.159999999683350,10348316.220000000670552
20121002,3260645.750000000000000,3509597.189999999944121,3522950.279999999795109,10293194.219999998807907
20121003,3276121.100000000093132,3593366.310000000055879,3588228.359999999869615,10457716.769999999552965
20121004,3279872.699999999720603,3591621.120000000111759,3618277.000000000000000,10489771.820000000298023
20121005,3324422.949999999720603,3676553.700000000186265,3633819.399999999906868,10634797.050000000745058
20121008,3309416.549999999813735,3599765.340000000316650,3593409.159999999683350,10502592.050000000745058
