訓練日期,20170622 - 20170922
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10943944.339999999850988
真實報酬,943944.339999999850988

夏普值報酬,0.085694434000000
夏普值風險,0.026379837464409
夏普值,3.248482259059318

預期報酬,15247.506246837134313
風險,52525.364185249498405
趨勢值,0.290288444132655
找到最佳解世代,2007
找到最佳解實驗#,1
找到最佳解次數,34

stock[index](rank)
投資組合檔數,5
AXP[1](5),CAT[3](1),MCD[15](8),UNH[23](3),V[25](2),
Stock#,AXP[1](5),CAT[3](1),MCD[15](8),UNH[23](3),V[25](2),
張數,24327,19329,13009,10815,21155,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,77.330000000074506,28.370000000111759,126.430000000167638,90.200000000186265,6.299999999813735,
20170622,2000973.080000000074506,2007151.730000000214204,2013919.630000000353903,2017087.700000000186265,1987518.549999999813735,10026650.690000001341105
20170623,2000243.270000000018626,2012370.560000000055879,2011838.189999999944121,2003568.950000000186265,2022001.199999999720603,10050022.169999999925494
20170626,2018245.250000000000000,2015076.620000000111759,2002992.070000000298023,2002163.000000000232831,2014385.399999999674037,10052862.339999999850988
20170627,2021164.489999999990687,2008891.340000000316650,1999869.910000000149012,1996539.200000000186265,2007615.800000000046566,10034080.740000000223517
20170628,2042815.520000000018626,2057600.420000000158325,2007415.130000000353903,2008435.699999999953434,2035751.949999999953434,10152018.720000000670552
20170629,2034544.339999999850988,2041943.930000000167638,1992194.600000000093132,2003785.250000000232831,1997461.399999999906868,10069929.519999999552965
20170630,2049383.810000000055879,2077122.709999999962747,1992584.870000000111759,2005407.500000000000000,1983922.199999999953434,10108421.089999999850988
20170703,2070305.030000000027940,2067651.500000000000000,1983998.930000000167638,2018709.950000000186265,1974825.549999999580905,10115490.960000000894070
20170705,2065196.360000000102445,2077702.580000000074506,1991414.060000000055879,2036013.950000000186265,1988787.849999999860302,10159114.800000000745058
20170706,2037220.310000000055879,2058760.160000000149012,1991674.240000000223517,2021846.300000000046566,1972710.049999999813735,10082211.060000000521541
20170707,2051573.239999999990687,2066685.050000000046566,2033042.860000000335276,2032877.600000000325963,1986883.899999999906868,10171062.650000000372529
20170710,2050843.429999999934807,2084467.730000000214204,2023286.110000000335276,2021954.449999999953434,2011635.250000000000000,10192186.970000000670552
20170711,2047437.649999999906868,2092199.330000000074506,2015350.620000000111759,2011139.449999999953434,2018404.849999999627471,10184531.899999998509884
20170712,2063493.469999999972060,2106116.209999999962747,2037075.650000000372529,2019142.550000000046566,2034694.199999999953434,10260522.080000000074506
20170713,2076873.320000000298023,2096645.000000000000000,2017041.790000000037253,2006056.400000000139698,2029616.999999999767169,10226233.509999999776483
20170714,2074683.890000000130385,2102443.700000000186265,2020163.950000000186265,2021413.700000000186265,2050560.449999999953434,10269265.690000001341105
20170717,2073224.270000000018626,2103796.729999999981374,2019903.770000000018626,2015465.450000000186265,2048444.949999999720603,10260835.169999999925494
20170718,2080522.369999999878928,2069584.399999999906868,2002992.070000000298023,2020872.950000000186265,2064311.199999999720603,10238282.990000000223517
20170719,2090496.440000000176951,2084661.020000000018626,2002081.439999999944121,2046180.050000000046566,2078485.049999999813735,10301904.000000000000000
