訓練日期,20121126 - 20130228
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11344665.039999999105930
真實報酬,1344665.039999999105930

夏普值報酬,0.125766504000000
夏普值風險,0.039055810544601
夏普值,3.220173957377638

預期報酬,22064.723100731327577
風險,69627.047901526369969
趨勢值,0.316898730676295
找到最佳解世代,2301
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
JNJ[12](9),MMM[16](3),NKE[19](6),VZ[26](23),WBA[27](4),
Stock#,JNJ[12](9),MMM[16](3),NKE[19](6),VZ[26](23),WBA[27](4),
張數,28752,22153,82678,45703,60441,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,10.879999999888241,27.159999999916181,19.179999999934807,36.720000000204891,7.309999999823049,
20121126,1986486.560000000055879,1995790.929999999934807,2019015.940000000176951,1978976.620000000111759,1998791.179999999934807,9979061.230000000447035
20121127,1978436.000000000000000,2000664.589999999850988,2004960.679999999934807,1964351.660000000149012,1996373.539999999804422,9944786.469999998807907
20121128,1992236.959999999962747,2014399.449999999953434,2048780.020000000018626,1990859.400000000372529,2013901.429999999934807,10060177.259999999776483
20121129,1990224.319999999832362,2008196.610000000102445,2045472.899999999906868,2011425.750000000000000,2039891.059999999823049,10095210.640000000596046
20121130,2004887.840000000083819,2014842.510000000009313,2014882.040000000037253,2016453.080000000074506,2049561.619999999646097,10100627.089999999850988
20121203,2002587.680000000167638,2000443.059999999823049,2016535.600000000093132,2015539.020000000251457,2071924.789999999804422,10107030.150000000372529
20121204,2008625.599999999860302,1996455.520000000018626,2019015.940000000176951,1995886.730000000214204,2071320.380000000121072,10091304.170000001788139
20121205,2011788.319999999832362,2010633.439999999944121,2019015.940000000176951,2015539.020000000251457,2149893.679999999701977,10206870.400000000372529
20121206,2014088.479999999748543,2014842.510000000009313,2034724.759999999776483,2031535.070000000298023,2166817.160000000149012,10262007.980000000447035
20121207,2025589.280000000027940,2027248.189999999944121,2038031.879999999888241,2029706.949999999953434,2181927.410000000149012,10302503.710000000894070
20121210,2029902.079999999608845,2035223.270000000018626,2027283.739999999990687,2012339.810000000288710,2197037.660000000149012,10301786.560000000521541
20121211,2044278.079999999608845,2075320.199999999953434,2054567.479999999981374,2031078.040000000037253,2215169.959999999962747,10420413.759999999776483
20121212,2040252.799999999813735,2062914.520000000018626,2050433.580000000074506,2047074.090000000083819,2216378.780000000260770,10417053.769999999552965
20121213,2034214.879999999888241,2049179.659999999916181,2011574.919999999692664,2034734.280000000260770,2206708.219999999739230,10336411.960000000894070
20121214,2032489.759999999776483,2044306.000000000000000,2003307.119999999878928,2020566.350000000325963,2221818.469999999739230,10322487.699999999254942
20121217,2039677.759999999776483,2060920.750000000000000,2025630.179999999934807,2016453.080000000074506,2244786.049999999813735,10387467.820000000298023
20121218,2039965.280000000027940,2079086.209999999729916,2044646.119999999878928,2005027.330000000074506,2269566.859999999403954,10438291.799999998882413
20121219,2030764.639999999664724,2060699.219999999739230,2021496.279999999795109,1982632.860000000335276,2250830.150000000372529,10346423.149999998509884
20121220,2034214.879999999888241,2085289.049999999813735,2046299.679999999934807,2002285.150000000372529,2269566.859999999403954,10437655.619999999180436
20121221,2020413.919999999692664,2062471.459999999729916,2172797.020000000484288,1991316.430000000167638,2194620.019999999552965,10441618.849999999627471
20121224,2013225.919999999692664,2064465.229999999981374,2182718.379999999888241,1989945.340000000083819,2204290.580000000074506,10454645.449999999254942
20121226,2017538.719999999972060,2061806.869999999878928,2122363.440000000409782,1985832.070000000298023,2215774.369999999180436,10403315.469999998807907
20121227,2015238.560000000055879,2052281.079999999841675,2139725.820000000298023,1987203.160000000149012,2207917.040000000037253,10402365.660000000149012
20121228,1997699.840000000083819,2033229.500000000000000,2108308.179999999701977,1960695.420000000158325,2208521.450000000186265,10308454.390000000596046
20121231,2015526.079999999608845,2056933.209999999729916,2133111.580000000074506,1977605.530000000260770,2236928.719999999739230,10420105.119999999180436
20130102,2036802.560000000055879,2099688.500000000000000,2143032.940000000409782,2023308.530000000260770,2300391.769999999552965,10603224.300000000745058
20130103,2033927.359999999636784,2097251.669999999925494,2165356.000000000000000,2013710.900000000372529,2284072.700000000186265,10594318.629999998956919
20130104,2057216.479999999748543,2112758.769999999552965,2186025.500000000000000,2024679.620000000111759,2247203.689999999478459,10627884.059999998658895
20130107,2052903.680000000167638,2115417.129999999888241,2189332.620000000111759,2042503.790000000037253,2298578.540000000037253,10698735.759999997913837
20130108,2053191.199999999720603,2115638.660000000149012,2166182.780000000260770,1969836.020000000251457,2307040.280000000260770,10611888.940000001341105
20130109,2062391.840000000083819,2135797.889999999664724,2168663.120000000111759,1965265.720000000204891,2323963.759999999776483,10656082.330000000074506
20130110,2075617.759999999776483,2146431.330000000074506,2172797.020000000484288,1992230.490000000456348,2331216.679999999701977,10718293.280000001192093
20130111,2080218.079999999608845,2132918.000000000000000,2195120.080000000074506,1978976.620000000111759,2363250.410000000149012,10750483.190000001341105
20130114,2086256.000000000000000,2150640.399999999441206,2199253.980000000447035,1946527.490000000456348,2359623.950000000186265,10742301.820000000298023
20130115,2080793.120000000111759,2155292.530000000260770,2217443.139999999664724,1918191.630000000121072,2375338.609999999403954,10747059.029999999329448
20130116,2086831.039999999804422,2162159.959999999962747,2221577.040000000037253,1897168.250000000000000,2380778.299999999813735,10748514.589999999850988
20130117,2096031.680000000167638,2172793.399999999441206,2210828.899999999441206,1925504.110000000335276,2378965.069999999366701,10784123.160000000149012
20130118,2105519.839999999850988,2187414.379999999888241,2203387.879999999888241,1944242.340000000083819,2369898.919999999925494,10810463.359999999403954
20130122,2089993.759999999776483,2200484.649999999441206,2210828.899999999441206,1962523.540000000037253,2386822.400000000372529,10850653.249999998137355
20130123,2094594.079999999608845,2204029.129999999888241,2195120.080000000074506,1955668.090000000083819,2388635.629999999888241,10838047.009999997913837
20130124,2101782.079999999608845,2208016.669999999925494,2226537.719999999739230,1946527.490000000456348,2383800.349999999627471,10866664.310000000521541
20130125,2125358.719999999739230,2228397.429999999701977,2296814.020000000484288,1950183.730000000214204,2397701.780000000260770,10998455.679999999701977
20130128,2116733.120000000111759,2229726.610000000335276,2252994.679999999701977,1954754.030000000260770,2423691.410000000149012,10977899.850000001490116
20130129,2139447.199999999720603,2255424.089999999850988,2229018.059999999590218,1988117.220000000204891,2421273.769999999552965,11033280.339999997988343
20130130,2130246.560000000055879,2233049.559999999590218,2216616.359999999403954,1993144.550000000279397,2409789.979999999515712,10982847.009999997913837
20130131,2125358.719999999739230,2227511.309999999590218,2234805.520000000484288,1993144.550000000279397,2415229.669999999925494,10996049.769999999552965
20130201,2132834.240000000223517,2249885.839999999850988,2219923.480000000447035,2036562.400000000372529,2436384.019999999552965,11075589.980000000447035
