訓練日期,20110930 - 20120103
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11740592.699999999254942
真實報酬,1740592.699999999254942

夏普值報酬,0.165359270000000
夏普值風險,0.048590321432938
夏普值,3.403131840323836

預期報酬,27235.637020979011140
風險,168824.778919880394824
趨勢值,0.161324878937969
找到最佳解世代,2303
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),MCD[15](2),WMT[28](4),
Stock#,HD[9](1),MCD[15](2),WMT[28](4),
張數,98648,37545,64188,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,17.080000000074506,87.899999999906868,50.160000000149012,
20110930,3242576.839999999850988,3297289.799999999813735,3331407.359999999869615,9871275.000000000000000
20111003,3116307.399999999906868,3229708.799999999813735,3335258.640000000130385,9681275.839999999850988
20111004,3203117.640000000130385,3246979.500000000000000,3394311.600000000093132,9844409.740000000223517
20111005,3238630.919999999925494,3222575.250000000000000,3379548.359999999869615,9840755.529999999329448
20111006,3292887.320000000298023,3270632.850000000093132,3385967.160000000149012,9949488.330000000074506
20111007,3346157.240000000223517,3274011.899999999906868,3446945.760000000242144,10067115.900000000372529
20111010,3419156.759999999776483,3323195.850000000093132,3518194.440000000409782,10260548.050000000745058
20111011,3424089.160000000149012,3354358.200000000186265,3512417.520000000018626,10290865.880000000819564
20111012,3425075.640000000130385,3317564.100000000093132,3543227.760000000242144,10285868.500000000000000
20111013,3394494.759999999776483,3353231.850000000093132,3531673.920000000391155,10279401.529999999329448
20111014,3457629.479999999981374,3376885.199999999720603,3559916.640000000130385,10394432.320000000298023
20111017,3418170.279999999795109,3328827.599999999627471,3516268.800000000279397,10263267.679999999701977
20111018,3546412.680000000167638,3365621.699999999720603,3587517.479999999981374,10499552.859999999403954
20111019,3492156.279999999795109,3364870.800000000279397,3610625.160000000149012,10467653.240000000223517
20111020,3524710.119999999646097,3341968.350000000093132,3618327.720000000204891,10485007.189999999478459
20111021,3636182.359999999869615,3466242.299999999813735,3653631.120000000111759,10756056.780000001192093
20111024,3620398.680000000167638,3454603.350000000093132,3644644.800000000279397,10719647.830000000074506
20111025,3555291.000000000000000,3445592.549999999813735,3640151.640000000130385,10641036.189999999478459
20111026,3605601.479999999981374,3445968.000000000000000,3682515.720000000204891,10734086.200000001117587
20111027,3686492.839999999850988,3510920.850000000093132,3710758.440000000409782,10908173.129999998956919
20111028,3563182.839999999850988,3502660.950000000186265,3668394.359999999869615,10734239.150000000372529
20111031,3531615.479999999981374,3486141.149999999906868,3640793.520000000018626,10658551.150000000372529
20111101,3505967.000000000000000,3450848.849999999627471,3609341.399999999906868,10566158.250000000000000
20111102,3550358.600000000093132,3474126.750000000000000,3649779.840000000316650,10674266.189999999478459
20111103,3595736.680000000167638,3491772.899999999906868,3685725.120000000111759,10773235.699999999254942
20111104,3589817.800000000279397,3522184.350000000093132,3690860.160000000149012,10802863.310000000521541
