訓練日期,20150422 - 20150723
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11074188.349999999627471
真實報酬,1074188.349999999627471

夏普值報酬,0.098718835000000
夏普值風險,0.028875189898825
夏普值,3.418811628456794

預期報酬,16168.856750974200622
風險,84737.324576819897629
趨勢值,0.190811508762188
找到最佳解世代,2678
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](2),GS[8](4),JPM[13](1),NKE[19](3),
Stock#,DIS[6](2),GS[8](4),JPM[13](1),NKE[19](3),
張數,23216,12700,40121,49850,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,101.119999999646097,132.000000000000000,60.489999999757856,22.500000000000000,
20150422,2506036.159999999683350,2518796.000000000000000,2525276.229999999515712,2496510.500000000000000,10046618.890000000596046
20150423,2530645.119999999646097,2531369.000000000000000,2519659.289999999571592,2520438.500000000000000,10102111.909999998286366
20150424,2542949.599999999627471,2514605.000000000000000,2511635.089999999850988,2516450.500000000000000,10085640.189999999478459
20150427,2557575.679999999701977,2495936.000000000000000,2501203.629999999888241,2515952.000000000000000,10070667.309999998658895
20150428,2552003.839999999850988,2508255.000000000000000,2518054.449999999720603,2489033.000000000000000,10067346.289999999105930
20150429,2549450.079999999608845,2521844.000000000000000,2551756.089999999850988,2497009.000000000000000,10120059.169999999925494
20150430,2524144.639999999664724,2494666.000000000000000,2538114.949999999720603,2463609.500000000000000,10020535.089999999850988
20150501,2565933.439999999478459,2508763.000000000000000,2552157.299999999813735,2511964.000000000000000,10138817.739999998360872
20150504,2577773.599999999627471,2531242.000000000000000,2596691.609999999869615,2513459.500000000000000,10219166.709999999031425
20150505,2572666.079999999608845,2505715.000000000000000,2583852.890000000130385,2502991.000000000000000,10165224.970000000670552
20150506,2547360.639999999664724,2492507.000000000000000,2564594.810000000055879,2498006.000000000000000,10102468.449999999254942
20150507,2536681.279999999795109,2506985.000000000000000,2587864.989999999757856,2528913.000000000000000,10160444.269999999552965
20150508,2556414.879999999422580,2546482.000000000000000,2627584.779999999329448,2553339.500000000000000,10283821.159999998286366
20150511,2521358.719999999739230,2562103.000000000000000,2625979.939999999944121,2562312.500000000000000,10271754.160000000149012
20150512,2536216.959999999497086,2546863.000000000000000,2622369.049999999813735,2551844.000000000000000,10257293.009999997913837
20150513,2535056.159999999683350,2558293.000000000000000,2628788.409999999683350,2546360.500000000000000,10268498.070000000298023
20150514,2552236.000000000000000,2573406.000000000000000,2650052.539999999571592,2578264.500000000000000,10353959.039999999105930
20150515,2560825.919999999459833,2577851.000000000000000,2643231.969999999739230,2616649.000000000000000,10398557.890000000596046
20150518,2561522.399999999441206,2599314.000000000000000,2664897.310000000055879,2611165.500000000000000,10436899.209999999031425
20150519,2566862.079999999608845,2608712.000000000000000,2688568.700000000186265,2608174.500000000000000,10472317.280000001192093
20150520,2558504.319999999832362,2604648.000000000000000,2667304.569999999832362,2607676.000000000000000,10438132.890000000596046
20150521,2562915.359999999869615,2602997.000000000000000,2674125.140000000130385,2602192.500000000000000,10442230.000000000000000
20150522,2559897.279999999795109,2639192.000000000000000,2666903.359999999869615,2603189.500000000000000,10469182.139999998733401
20150526,2540860.159999999683350,2621158.000000000000000,2637213.819999999832362,2577766.000000000000000,10376997.980000000447035
20150527,2562451.039999999571592,2655194.000000000000000,2666903.359999999869615,2563309.500000000000000,10447857.899999998509884
20150528,2566165.599999999627471,2647828.000000000000000,2656070.689999999944121,2549850.000000000000000,10419914.289999999105930
20150529,2562451.039999999571592,2618745.000000000000000,2639219.869999999646097,2534396.500000000000000,10354812.409999998286366
20150601,2576148.479999999515712,2639319.000000000000000,2651256.169999999459833,2536390.500000000000000,10403114.149999998509884
20150602,2571273.119999999646097,2621793.000000000000000,2648848.909999999683350,2545363.500000000000000,10387278.529999999329448
20150603,2581023.839999999850988,2645415.000000000000000,2676131.189999999944121,2555333.500000000000000,10457903.529999999329448
20150604,2560825.919999999459833,2652781.000000000000000,2661286.419999999459833,2541375.500000000000000,10416268.839999999850988
20150605,2560825.919999999459833,2672847.000000000000000,2705018.310000000055879,2543369.500000000000000,10482060.730000000447035
20150608,2537377.759999999776483,2664465.000000000000000,2683754.179999999701977,2528414.500000000000000,10414011.439999999478459
20150609,2519501.439999999478459,2654686.000000000000000,2695389.270000000018626,2526420.500000000000000,10395997.209999999031425
20150610,2553861.119999999646097,2706883.000000000000000,2738719.950000000186265,2575772.000000000000000,10575236.070000000298023
20150611,2568255.039999999571592,2717170.000000000000000,2749151.409999999683350,2589231.500000000000000,10623807.949999999254942
20150612,2552700.319999999832362,2705994.000000000000000,2738318.739999999757856,2586739.000000000000000,10583752.060000000521541
20150615,2558040.000000000000000,2689484.000000000000000,2727887.279999999329448,2576270.500000000000000,10551681.779999999329448
20150616,2578470.079999999608845,2712344.000000000000000,2743133.259999999776483,2606180.500000000000000,10640127.839999999850988
20150617,2588452.959999999497086,2704343.000000000000000,2733905.429999999701977,2611165.500000000000000,10637866.889999998733401
20150618,2628616.639999999664724,2725552.000000000000000,2759582.869999999646097,2642072.500000000000000,10755824.009999999776483
20150619,2614687.039999999571592,2707645.000000000000000,2731498.169999999459833,2655532.000000000000000,10709362.209999999031425
20150622,2635813.599999999627471,2749809.000000000000000,2766804.649999999441206,2662012.500000000000000,10814439.750000000000000
