訓練日期,20101020 - 20110121
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11668678.240000000223517
真實報酬,1668678.240000000223517

夏普值報酬,0.158167824000000
夏普值風險,0.044442533587888
夏普值,3.558929053565620

預期報酬,27102.505100197497086
風險,100182.997814316098811
趨勢值,0.270529987038625
找到最佳解世代,2085
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](2),DIS[6](7),KO[14](15),WBA[27](5),XOM[29](1),
Stock#,CAT[3](2),DIS[6](7),KO[14](15),WBA[27](5),XOM[29](1),
張數,25461,58411,66291,59470,30712,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,38.450000000186265,7.359999999869615,0.529999999795109,23.899999999906868,34.559999999823049,
20101020,2045065.969999999972060,2022196.179999999701977,2027179.309999999590218,2023788.000000000000000,2027333.679999999934807,10145563.139999998733401
20101021,2008656.740000000223517,2025700.839999999850988,2037785.869999999646097,2027950.899999999906868,2036854.399999999674037,10136948.750000000000000
20101022,1994398.580000000074506,2042640.029999999795109,2042426.239999999757856,2026166.799999999813735,2037468.639999999897555,10143100.289999999105930
20101025,2012730.500000000000000,2071261.419999999925494,2022538.939999999944121,2048170.699999999720603,2033168.959999999962747,10187870.519999999552965
20101026,2002546.100000000325963,2100466.919999999925494,2029830.949999999953434,2030329.699999999953434,2043303.919999999925494,10206477.589999999850988
20101027,1991597.870000000111759,2098130.479999999981374,2028505.129999999888241,2019030.400000000139698,2016891.599999999860302,10154155.480000000447035
20101028,1979376.590000000083819,2132592.969999999739230,2029168.039999999804422,2030329.699999999953434,2033783.199999999720603,10205250.500000000000000
20101029,2001273.050000000046566,2110396.790000000037253,2032482.589999999850988,2014867.500000000000000,2042075.439999999711290,10201095.369999999180436
20101101,2018331.920000000158325,2104555.689999999944121,2045740.789999999804422,2024977.399999999674037,2056202.959999999962747,10249808.759999999776483
20101102,2030553.200000000186265,2109228.569999999832362,2050381.159999999683350,2051144.199999999953434,2083536.639999999897555,10324843.769999999552965
20101103,2033863.130000000121072,2119742.549999999813735,2053695.709999999729916,2092178.500000000000000,2087529.199999999720603,10387009.089999999850988
20101104,2117884.430000000167638,2162966.689999999944121,2070268.459999999729916,2137970.399999999906868,2130833.120000000111759,10619923.100000001490116
20101105,2127050.390000000130385,2172896.560000000055879,2074245.919999999692664,2089799.699999999953434,2149874.559999999590218,10613867.129999998956919
20101108,2116356.770000000484288,2164719.020000000018626,2070268.459999999729916,2086826.200000000186265,2159702.399999999441206,10597872.850000001490116
20101109,2085548.960000000195578,2153036.819999999832362,2076234.649999999906868,2095746.699999999953434,2169223.120000000111759,10579790.250000000000000
20101110,2099552.510000000242144,2160630.250000000000000,2073583.009999999776483,2088015.599999999860302,2184579.120000000111759,10606360.489999998360872
20101111,2099043.290000000037253,2098714.589999999850988,2081537.929999999701977,2093962.599999999860302,2206077.519999999552965,10579335.929999999701977
20101112,2063397.890000000363216,2205022.609999999869615,2085515.389999999897555,2071363.999999999767169,2180279.439999999478459,10605579.329999998211861
20101115,2083257.469999999972060,2175817.109999999869615,2086841.209999999729916,2052333.599999999860302,2164616.320000000298023,10562865.710000000894070
20101116,2046339.020000000251457,2156541.479999999981374,2057673.169999999692664,2022598.599999999860302,2117319.839999999850988,10400472.109999999403954
20101117,2066707.820000000298023,2174064.779999999795109,2072257.189999999944121,2022598.599999999860302,2119469.679999999701977,10455098.069999998435378
20101118,2116102.160000000149012,2195092.739999999757856,2116009.250000000000000,2046981.300000000046566,2159395.280000000260770,10633580.730000000447035
20101119,2137998.620000000111759,2161798.469999999739230,2131919.089999999385327,2067201.099999999860302,2166459.040000000037253,10665376.320000000298023
20101122,2138762.450000000186265,2158293.810000000055879,2130593.270000000018626,2074932.199999999953434,2155709.839999999850988,10658291.569999998435378
20101123,2103880.879999999888241,2109812.679999999701977,2108717.239999999757856,2020814.499999999767169,2118548.320000000298023,10461773.619999999180436
20101124,2156330.540000000037253,2153620.929999999701977,2141862.739999999757856,2040439.600000000093132,2146189.120000000111759,10638442.929999999701977
20101126,2142072.379999999888241,2143691.060000000055879,2125289.989999999757856,2002973.500000000000000,2126226.320000000298023,10540253.250000000000000
20101129,2130360.320000000298023,2127335.979999999981374,2101425.229999999515712,2069579.899999999674037,2132982.959999999962747,10561684.390000000596046
20101130,2154039.049999999813735,2132592.969999999739230,2094133.219999999739230,2072553.399999999906868,2136361.280000000260770,10589679.919999998062849
20101201,2226602.900000000372529,2168223.679999999701977,2144514.379999999888241,2121318.799999999813735,2190721.519999999552965,10851381.279999999329448
20101202,2256392.270000000484288,2181074.100000000093132,2151143.479999999981374,2147485.600000000093132,2195328.320000000298023,10931423.770000001415610
20101203,2275742.629999999888241,2195676.850000000093132,2137885.279999999795109,2192088.100000000093132,2186421.839999999850988,10987814.699999999254942
20101206,2271159.650000000372529,2193924.520000000018626,2121312.529999999795109,2161758.399999999906868,2190107.280000000260770,10938262.379999998956919
20101207,2300439.799999999813735,2180489.989999999757856,2125952.899999999906868,2154027.299999999813735,2194714.080000000074506,10955624.069999998435378
20101208,2281853.270000000484288,2159462.029999999795109,2134570.729999999981374,2168894.799999999813735,2206691.759999999776483,10951472.590000001713634
20101209,2283126.320000000298023,2146027.500000000000000,2149154.750000000000000,2162947.799999999813735,2211298.559999999590218,10952554.929999999701977
20101210,2290000.790000000037253,2141354.619999999646097,2143188.559999999590218,2166516.000000000000000,2216826.719999999739230,10957886.689999997615814
20101213,2333029.879999999888241,2168807.790000000037253,2149154.750000000000000,2167110.699999999720603,2222354.879999999888241,11040458.000000000000000
20101214,2344741.940000000409782,2175233.000000000000000,2117997.979999999515712,2185546.399999999906868,2216826.719999999739230,11040346.039999999105930
20101215,2370966.770000000484288,2158293.810000000055879,2145840.199999999720603,2208145.000000000000000,2206691.759999999776483,11089937.539999999105930
20101216,2373003.650000000372529,2161798.469999999739230,2165727.500000000000000,2243232.299999999813735,2218055.200000000186265,11161817.120000001043081
20101217,2357472.440000000409782,2164134.909999999683350,2177659.879999999888241,2234906.500000000000000,2216519.599999999627471,11150693.330000000074506
20101220,2375549.750000000000000,2164719.020000000018626,2165064.589999999385327,2217065.500000000000000,2218055.200000000186265,11140454.059999998658895
20101221,2409412.879999999888241,2180489.989999999757856,2170367.870000000111759,2190304.000000000000000,2233411.200000000186265,11183985.939999997615814
20101222,2407885.220000000204891,2216704.810000000055879,2174345.329999999608845,2310433.399999999906868,2235868.160000000149012,11345236.919999999925494
20101223,2404829.900000000372529,2202102.060000000055879,2173682.419999999925494,2330653.199999999720603,2248152.959999999962747,11359420.539999999105930
20101227,2395154.720000000204891,2189251.639999999664724,2156446.759999999776483,2316975.100000000093132,2242317.679999999701977,11300145.899999998509884
20101228,2385479.540000000037253,2182242.319999999832362,2166390.409999999683350,2347304.799999999813735,2254909.599999999627471,11336326.669999999925494
20101229,2387771.030000000260770,2196260.959999999962747,2169704.959999999497086,2347899.499999999534339,2253374.000000000000000,11355010.449999999254942
20101230,2390062.520000000484288,2189251.639999999664724,2171030.779999999795109,2333626.700000000186265,2253066.879999999888241,11337038.519999999552965
20101231,2384715.709999999962747,2191003.969999999739230,2180311.520000000018626,2316975.100000000093132,2245696.000000000000000,11318702.299999998882413
20110103,2397191.600000000558794,2209111.379999999888241,2161750.039999999571592,2338384.299999999813735,2289614.160000000149012,11396051.480000000447035
20110104,2385988.760000000242144,2277452.250000000000000,2117335.069999999832362,2358009.399999999906868,2300363.360000000335276,11439148.839999999850988
20110105,2406612.169999999925494,2334110.919999999925494,2104739.779999999795109,2390717.899999999906868,2294220.959999999962747,11530401.730000000447035
20110106,2381660.390000000130385,2316003.509999999776483,2089492.849999999860302,2397854.299999999813735,2308962.719999999739230,11493973.769999999552965
20110107,2386497.980000000447035,2304321.310000000055879,2085515.389999999897555,2383581.500000000000000,2321554.639999999664724,11481470.820000000298023
20110110,2377841.240000000223517,2307241.859999999869615,2090155.759999999776483,2435320.399999999906868,2307427.120000000111759,11517986.379999998956919
20110111,2392099.400000000372529,2301400.759999999776483,2078223.379999999888241,2428184.000000000000000,2324625.839999999850988,11524533.379999998956919
20110112,2380387.339999999850988,2287966.229999999981374,2089492.849999999860302,2450187.899999999906868,2351959.519999999552965,11559993.839999999850988
20110113,2396936.990000000223517,2293223.219999999739230,2101425.229999999515712,2476354.699999999720603,2355952.080000000074506,11623892.219999998807907
20110114,2393627.060000000521541,2294975.549999999813735,2092807.399999999906868,2464460.699999999720603,2390656.639999999664724,11636527.349999997764826
20110118,2450150.480000000447035,2300816.649999999906868,2104076.869999999646097,2495979.799999999813735,2417376.080000000074506,11768399.880000000819564
20110119,2432582.390000000130385,2283293.350000000093132,2102088.139999999664724,2454945.500000000000000,2402941.439999999478459,11675850.819999998435378
20110120,2383442.660000000149012,2287966.229999999981374,2086178.299999999813735,2474570.600000000093132,2387892.559999999590218,11620050.350000001490116
20110121,2361546.200000000186265,2321260.500000000000000,2080875.019999999785796,2479328.199999999720603,2425668.320000000298023,11668678.240000000223517
