訓練日期,20100119 - 20100421
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11488115.280000001192093
真實報酬,1488115.280000001192093

夏普值報酬,0.140111528000000
夏普值風險,0.042176884717792
夏普值,3.321998031326746

預期報酬,22109.872330859987414
風險,112906.524087578029139
趨勢值,0.195824577096272
找到最佳解世代,3298
找到最佳解實驗#,2
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
HD[9](2),MCD[15](1),TRV[22](4),
Stock#,HD[9](2),MCD[15](1),TRV[22](4),
張數,116672,53521,68320,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,13.959999999962747,45.120000000111759,0.200000000186265,
20100119,3369501.319999999832362,3397558.199999999720603,3377057.800000000279397,10144118.320000000298023
20100120,3343833.479999999981374,3372403.330000000074506,3342897.800000000279397,10059135.610000001266599
20100121,3322832.520000000018626,3382572.320000000298023,3344264.200000000186265,10049670.039999999105930
20100122,3234161.799999999813735,3392741.310000000055879,3300539.400000000372529,9927443.509999999776483
20100125,3222494.600000000093132,3376685.010000000242144,3340165.000000000000000,9939345.609999999403954
20100126,3235328.520000000018626,3415220.130000000353903,3431713.799999999813735,10082263.449999999254942
20100127,3248162.439999999944121,3410938.449999999720603,3477488.200000000186265,10136590.089999999850988
20100128,3189826.439999999944121,3362769.549999999813735,3434446.600000000558794,9987043.589999999850988
20100129,3267996.680000000167638,3341361.149999999906868,3461774.600000000093132,10071133.429999999701977
20100201,3312332.040000000037253,3419501.810000000055879,3463141.000000000000000,10194975.849999999627471
20100202,3387002.120000000111759,3426994.750000000000000,3490469.000000000465661,10304466.870000001043081
20100203,3321665.799999999813735,3490149.529999999795109,3454942.600000000093132,10266758.929999999701977
20100204,3258662.919999999925494,3428600.380000000353903,3397553.799999999813735,10084818.100000001490116
20100205,3264496.520000000018626,3391670.890000000130385,3435129.800000000279397,10091298.210000000894070
20100208,3335666.439999999944121,3367586.440000000409782,3351096.200000000186265,10054350.080000001937151
20100209,3368334.600000000093132,3402375.090000000316650,3386622.600000000093132,10157333.290000000968575
20100210,3342666.759999999776483,3385248.370000000111759,3394821.000000000000000,10122737.129999998956919
20100211,3382335.239999999757856,3414149.709999999962747,3429664.200000000186265,10226150.149999998509884
20100212,3383501.959999999962747,3403445.510000000242144,3446744.200000000186265,10233692.670000001788139
20100216,3434837.640000000130385,3425924.330000000540167,3525995.400000000372529,10386758.370000001043081
20100217,3502507.399999999906868,3439304.580000000540167,3535560.200000000186265,10477373.179999999701977
20100218,3535175.560000000055879,3451079.200000000186265,3603197.000000000465661,10589452.759999999776483
20100219,3517674.759999999776483,3464994.659999999683350,3612761.800000000279397,10595432.220000000670552
20100222,3537509.000000000000000,3466600.290000000037253,3623693.000000000000000,10627803.289999999105930
20100223,3587677.959999999962747,3471952.390000000130385,3577235.400000000372529,10636866.750000000000000
20100224,3658847.879999999888241,3492825.580000000540167,3606613.000000000000000,10758287.460000000894070
20100225,3658847.879999999888241,3445727.100000000093132,3603880.200000000186265,10708456.179999999701977
