訓練日期,20170307 - 20170607
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10709296.500000000000000
真實報酬,709296.500000000000000

夏普值報酬,0.062229650000000
夏普值風險,0.022914576836524
夏普值,2.715723290198886

預期報酬,11371.146893930499573
風險,50284.306597873190185
趨勢值,0.226137092530007
找到最佳解世代,1933
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](4),DIS[6](16),KO[14](6),WMT[28](1),
Stock#,AAPL[0](4),DIS[6](16),KO[14](6),WMT[28](1),
張數,17941,22589,59269,35775,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,101.060000000055879,75.370000000111759,33.580000000074506,43.000000000000000,
20170307,2503229.380000000353903,2504291.910000000149012,2488738.890000000130385,2499642.250000000000000,9995902.430000001564622
20170308,2493900.060000000055879,2503840.130000000353903,2488738.890000000130385,2497138.000000000000000,9983617.080000000074506
20170309,2488158.940000000409782,2508132.040000000037253,2491109.650000000372529,2499284.500000000000000,9986685.130000000819564
20170310,2496411.799999999813735,2505647.250000000000000,2506519.589999999850988,2507870.500000000000000,10016449.140000000596046
20170313,2497488.259999999776483,2519200.649999999906868,2491109.650000000372529,2502504.250000000000000,10010302.810000000521541
20170314,2493720.650000000372529,2537045.959999999962747,2487553.509999999776483,2530051.000000000000000,10048371.120000001043081
20170315,2520093.920000000391155,2527106.800000000279397,2496443.859999999869615,2525042.500000000000000,10068687.080000000074506
20170316,2524220.350000000093132,2523492.560000000055879,2504148.830000000074506,2520034.000000000000000,10071895.740000000223517
20170317,2511661.650000000372529,2524622.010000000242144,2491109.650000000372529,2500357.750000000000000,10027751.060000000521541
20170320,2538034.920000000391155,2546081.560000000055879,2500000.000000000000000,2503577.500000000000000,10087693.980000000447035
20170321,2508970.500000000000000,2524396.120000000111759,2518966.080000000074506,2500715.500000000000000,10053048.199999999254942
20170322,2537317.279999999795109,2531850.490000000223517,2511853.800000000279397,2513236.750000000000000,10094258.320000000298023
20170323,2528346.779999999795109,2535464.729999999981374,2499407.310000000055879,2499284.500000000000000,10062503.320000000298023
20170324,2523323.299999999813735,2533205.830000000074506,2496443.859999999869615,2490340.750000000000000,10043313.740000000223517
20170327,2527629.140000000130385,2538627.189999999944121,2508297.660000000149012,2492129.500000000000000,10066683.490000000223517
20170328,2580016.860000000335276,2553761.819999999832362,2514817.250000000000000,2515740.999999999534339,10164336.929999999701977
20170329,2585757.979999999981374,2542015.540000000037253,2514224.560000000055879,2530766.500000000000000,10172764.580000000074506
20170330,2582349.190000000409782,2556698.390000000130385,2524892.979999999981374,2561175.250000000000000,10225115.810000000521541
20170331,2577505.120000000111759,2561442.080000000074506,2515409.939999999944121,2578705.000000000000000,10233062.140000000596046
20170403,2578222.759999999776483,2557150.170000000391155,2513631.869999999646097,2569761.250000000000000,10218766.049999998882413
20170404,2597419.630000000353903,2553535.930000000167638,2529634.500000000000000,2576200.750000000000000,10256790.810000000521541
20170405,2583963.880000000353903,2552632.370000000111759,2523114.910000000149012,2563321.750000000000000,10223032.910000000149012
20170406,2577505.120000000111759,2553761.819999999832362,2529041.810000000055879,2555451.250000000465661,10215760.000000000000000
20170407,2571764.000000000000000,2543144.990000000223517,2525485.669999999925494,2608040.500000000000000,10248435.160000000149012
20170410,2568714.029999999795109,2539756.640000000130385,2530227.189999999944121,2613764.500000000000000,10252462.359999999403954
20170411,2541084.890000000130385,2554213.600000000093132,2528449.119999999646097,2627001.250000000465661,10250748.859999999403954
20170412,2544134.860000000335276,2553535.930000000167638,2545044.439999999944121,2627359.000000000000000,10270074.230000000447035
20170413,2530679.110000000335276,2557150.170000000391155,2536154.089999999850988,2616984.250000000000000,10240967.620000001043081
20170417,2544673.090000000316650,2570251.790000000037253,2552749.410000000149012,2629147.750000000000000,10296822.040000000968575
20170418,2533370.259999999776483,2579513.280000000260770,2577049.699999999720603,2643457.750000000000000,10333390.990000000223517
20170419,2524040.940000000409782,2569122.340000000316650,2562232.449999999720603,2649897.249999999534339,10305292.980000000447035
20170420,2555617.100000000093132,2593066.680000000167638,2553934.790000000502914,2676013.000000000000000,10378631.570000000298023
20170421,2552567.130000000353903,2585160.530000000260770,2552749.410000000149012,2681021.500000000000000,10371498.570000000298023
20170424,2577146.299999999813735,2568444.670000000391155,2565195.900000000372529,2675297.500000000000000,10386084.370000001043081
20170425,2593113.790000000037253,2601876.390000000130385,2555120.169999999925494,2684956.750000000000000,10435067.099999999627471
20170426,2577863.940000000409782,2610911.990000000223517,2562825.140000000130385,2698551.250000000465661,10450152.320000000298023
20170427,2579837.449999999720603,2616785.130000000353903,2549193.270000000018626,2698909.000000000000000,10444724.849999999627471
20170428,2577325.709999999962747,2611363.770000000018626,2557490.930000000167638,2689607.500000000465661,10435787.910000000149012
20170501,2629892.840000000316650,2591711.340000000316650,2561639.759999999776483,2691396.250000000000000,10474640.190000001341105
20170502,2646577.969999999739230,2583579.300000000279397,2571715.490000000223517,2701771.000000000000000,10503643.759999999776483
20170503,2638504.520000000018626,2521459.550000000279397,2567566.660000000149012,2710357.000000000000000,10437887.730000000447035
20170504,2628995.790000000037253,2511294.500000000000000,2587718.119999999646097,2731106.500000000000000,10459114.910000000149012
20170505,2672592.420000000391155,2529817.479999999981374,2589496.189999999944121,2736830.500000000000000,10528736.589999999850988
20170508,2745253.469999999739230,2516941.750000000000000,2601349.990000000223517,2723236.000000000000000,10586781.210000000894070
20170509,2762835.650000000372529,2531624.600000000093132,2578827.770000000018626,2744701.000000000000000,10617989.019999999552965
20170510,2749738.719999999739230,2477185.109999999869615,2582383.910000000149012,2743985.500000000000000,10553293.240000000223517
20170511,2762118.009999999776483,2475377.990000000223517,2588310.810000000055879,2723593.750000000000000,10549400.560000000521541
20170512,2800691.160000000149012,2477862.780000000260770,2583569.290000000502914,2708568.250000000000000,10570691.480000000447035
20170515,2793514.759999999776483,2465212.939999999944121,2591866.949999999720603,2729317.750000000000000,10579912.399999998509884
20170516,2789388.330000000074506,2439235.590000000316650,2598979.229999999981374,2687103.250000000000000,10514706.400000000372529
20170517,2695736.310000000055879,2401511.959999999962747,2603720.750000000000000,2687461.000000000000000,10388430.019999999552965
20170518,2736821.199999999720603,2409869.890000000130385,2596015.779999999795109,2774036.500000000000000,10516743.369999999180436
20170519,2746150.520000000018626,2428844.649999999906868,2601942.680000000167638,2818039.750000000000000,10594977.599999999627471
20170522,2762835.650000000372529,2431329.439999999944121,2618538.000000000000000,2810169.250000000000000,10622872.339999999850988
20170523,2759426.860000000335276,2417550.149999999906868,2630984.490000000223517,2808022.750000000000000,10615984.250000000000000
