訓練日期,20160427 - 20160728
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10877602.560000000521541
真實報酬,877602.560000000521541

夏普值報酬,0.079060256000000
夏普值風險,0.032224448880244
夏普值,2.453424612281612

預期報酬,15329.163964234245213
風險,115539.095759526942857
趨勢值,0.132675124930344
找到最佳解世代,1310
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PFE[20](2),PG[21](1),VZ[26](6),
Stock#,PFE[20](2),PG[21](1),VZ[26](6),
張數,100857,41902,66085,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,9.150000000372529,28.899999999906868,5.600000000093132,
20160427,3328290.150000000372529,3347579.679999999701977,3415939.250000000000000,10091810.080000000074506
20160428,3319213.020000000018626,3342132.419999999925494,3371662.300000000279397,10033008.740000000223517
20160429,3299041.620000000577420,3357217.140000000130385,3366375.500000000000000,10022635.260000001639128
20160502,3308118.750000000000000,3392833.839999999850988,3391487.800000000279397,10092441.390000000596046
20160503,3398890.050000000745058,3398281.099999999627471,3349193.399999999906868,10146365.550000000745058
20160504,3368632.950000000186265,3419232.099999999627471,3359767.000000000465661,10147633.050000000745058
20160505,3385778.640000000596046,3406661.500000000000000,3359767.000000000465661,10152208.140000000596046
20160506,3386787.210000000428408,3441440.159999999683350,3378270.799999999813735,10206499.169999999925494
20160509,3410992.890000000596046,3441021.140000000130385,3375627.399999999906868,10227642.430000001564622
20160510,3408975.750000000000000,3456105.859999999869615,3406026.500000000000000,10271109.109999999403954
20160511,3344427.270000000018626,3442278.200000000186265,3380253.350000000093132,10166959.820000000298023
20160512,3347452.979999999981374,3453172.719999999739230,3401400.549999999813735,10202027.250000000000000
20160513,3347452.979999999981374,3403728.359999999869615,3366375.500000000000000,10117557.839999999850988
20160516,3366615.810000000521541,3420489.159999999683350,3385540.149999999906868,10172646.120000001043081
20160517,3331315.860000000335276,3378168.140000000130385,3363732.100000000093132,10073217.099999999627471
20160518,3345435.840000000316650,3345903.599999999627471,3330028.750000000000000,10021369.189999999478459
20160519,3366615.810000000521541,3360150.279999999795109,3279804.150000000372529,10006571.240000000223517
20160520,3402924.330000000540167,3353026.939999999944121,3281786.699999999720603,10037738.970000000670552
20160523,3395864.340000000316650,3360569.299999999813735,3247422.500000000000000,10003857.140000000596046
20160524,3439232.850000000558794,3392833.839999999850988,3276499.899999999906868,10108567.589999999850988
20160525,3464447.100000000558794,3414203.859999999869615,3294342.850000000093132,10172994.810000000521541
20160526,3472515.660000000149012,3403309.339999999850988,3314829.199999999720603,10190655.199999999254942
20160527,3490669.920000000391155,3412108.760000000242144,3345228.299999999813735,10248007.980000000447035
20160531,3499747.050000000745058,3395766.979999999981374,3363732.100000000093132,10259247.130000000819564
20160601,3504789.900000000372529,3427193.479999999981374,3332672.149999999906868,10264656.530000001192093
20160602,3516892.740000000223517,3433897.799999999813735,3355141.050000000279397,10305932.589999999850988
20160603,3498738.479999999981374,3455686.839999999850988,3365053.800000000279397,10319480.120000001043081
20160606,3522944.160000000149012,3468257.439999999944121,3351175.950000000186265,10342378.550000000745058
20160607,3513867.030000000726432,3449401.539999999571592,3419904.350000000093132,10383173.919999999925494
20160608,3555218.400000000372529,3463229.200000000186265,3404704.800000000279397,10423153.400000000372529
20160609,3561269.820000000763685,3485018.239999999757856,3433121.350000000093132,10479410.410000000149012
20160610,3559252.680000000167638,3486275.299999999813735,3480702.550000000279397,10526231.530000001192093
20160613,3503781.330000000540167,3459877.039999999571592,3474094.050000000279397,10437753.419999999925494
20160614,3528995.580000000540167,3492560.599999999627471,3501849.750000000000000,10523406.929999999701977
20160615,3508824.180000000167638,3475799.799999999813735,3491937.000000000465661,10476561.980000000447035
20160616,3504789.900000000372529,3495074.719999999739230,3532909.700000000186265,10532775.320000000298023
20160617,3451335.690000000409782,3483342.159999999683350,3554056.900000000372529,10488735.750000000000000
20160620,3479575.650000000372529,3479570.979999999981374,3552735.200000000186265,10511882.830000001937151
20160621,3504789.900000000372529,3495074.719999999739230,3575204.100000000093132,10575069.720000000670552
20160622,3476549.940000000409782,3501779.039999999571592,3570578.150000000372529,10548908.130000000819564
20160623,3488652.780000000726432,3528596.319999999832362,3612872.550000000279397,10630122.650000000372529
20160624,3426121.440000000409782,3446887.419999999925494,3597012.149999999906868,10470022.009999999776483
20160627,3408975.750000000000000,3403728.359999999869615,3617498.500000000000000,10430203.609999999403954
20160628,3473524.229999999981374,3455267.819999999832362,3622785.300000000279397,10551578.349999999627471
20160629,3531012.720000000204891,3516025.719999999739230,3638645.700000000186265,10685685.140000000596046
20160630,3551184.120000000577420,3547871.239999999757856,3690192.000000000465661,10789248.360000001266599
20160701,3587492.640000000596046,3552480.459999999962747,3715965.149999999906868,10855939.250000000000000
20160705,3611698.320000000763685,3580135.779999999795109,3735790.650000000372529,10927625.750000000000000
20160706,3616741.170000000391155,3562955.959999999962747,3717947.700000000186265,10897645.830000001937151
20160707,3607664.040000000502914,3554575.560000000055879,3659792.900000000372529,10822033.500000000000000
20160708,3642963.990000000223517,3593963.439999999944121,3694157.100000000093132,10931085.529999999329448
20160711,3645989.700000000186265,3593125.399999999906868,3696139.649999999906868,10935255.750000000000000
20160712,3655066.830000000540167,3593125.399999999906868,3665740.549999999813735,10913933.780000001192093
20160713,3662126.820000000763685,3598991.679999999701977,3700765.600000000093132,10961885.099999999627471
20160714,3723649.590000000316650,3598153.640000000130385,3690192.000000000465661,11011996.230000000447035
