訓練日期,20131010 - 20140113
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11301996.389999998733401
真實報酬,1301996.389999998733401

夏普值報酬,0.121499639000000
夏普值風險,0.036525959702784
夏普值,3.326391421023765

預期報酬,22638.544842150218756
風險,96864.350784412643407
趨勢值,0.233713896380062
找到最佳解世代,1861
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](12),GS[8](2),MRK[17](26),XOM[29](1),
Stock#,AAPL[0](12),GS[8](2),MRK[17](26),XOM[29](1),
張數,35966,16187,52887,29356,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,3.339999999850988,79.720000000204891,31.509999999776483,43.040000000037253,
20131010,2515825.040000000037253,2557787.589999999850988,2511635.139999999664724,2525833.280000000260770,10111081.050000000745058
20131011,2532009.740000000223517,2589999.720000000204891,2501057.739999999757856,2552547.240000000223517,10175614.440000001341105
20131014,2548554.099999999627471,2581258.740000000223517,2472498.759999999776483,2571628.639999999664724,10173940.239999998360872
20131015,2562221.179999999701977,2551636.530000000260770,2462979.099999999627471,2547850.280000000260770,10124687.089999999850988
20131016,2574809.279999999795109,2626420.470000000204891,2494711.299999999813735,2563115.399999999906868,10259056.449999999254942
20131017,2592072.959999999497086,2562805.560000000055879,2491538.079999999608845,2568105.919999999925494,10214522.519999999552965
20131018,2614731.540000000037253,2568794.750000000000000,2465094.579999999608845,2570160.839999999850988,10218781.709999999031425
20131021,2678751.020000000018626,2586276.710000000428408,2459805.879999999888241,2560766.919999999925494,10285600.530000001192093
20131022,2671198.159999999683350,2577859.470000000204891,2457690.399999999906868,2582783.919999999925494,10289531.949999999254942
20131023,2697093.679999999701977,2553417.100000000558794,2462450.229999999981374,2571922.200000000186265,10284883.210000000894070
20131024,2733059.679999999701977,2589352.240000000223517,2444468.649999999906868,2595700.560000000055879,10362581.130000000819564
20131025,2702488.580000000074506,2623830.550000000279397,2461392.489999999757856,2582490.359999999869615,10370201.980000000447035
20131028,2722629.540000000037253,2613470.870000000111759,2398456.959999999962747,2590122.919999999925494,10324680.289999999105930
20131029,2654653.799999999813735,2624154.290000000502914,2410620.969999999739230,2610672.120000000111759,10300101.179999999701977
20131030,2697093.679999999701977,2623183.070000000298023,2392639.389999999664724,2607149.399999999906868,10320065.539999999105930
20131031,2685584.560000000055879,2603920.540000000502914,2384706.339999999850988,2630927.760000000242144,10305139.200000001117587
20131101,2671917.479999999981374,2623183.070000000298023,2392110.519999999552965,2636798.959999999962747,10324010.030000001192093
20131104,2706444.839999999850988,2641150.640000000130385,2418025.149999999906868,2703730.639999999664724,10469351.269999999552965
20131105,2699611.299999999813735,2621564.370000000111759,2398985.829999999608845,2700501.479999999981374,10420662.980000000447035
20131106,2676593.060000000055879,2646977.960000000428408,2430718.029999999795109,2736609.359999999869615,10490898.410000000149012
20131107,2633074.199999999720603,2584172.399999999906868,2423313.849999999627471,2699620.799999999813735,10340181.250000000000000
20131108,2674794.760000000242144,2641312.509999999776483,2475143.109999999403954,2722224.919999999925494,10513475.299999998882413
20131111,2666882.240000000223517,2652157.800000000279397,2485720.509999999776483,2728976.799999999813735,10533737.350000001490116
