訓練日期,20100512 - 20100812
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10938267.480000000447035
真實報酬,938267.480000000447035

夏普值報酬,0.085126748000000
夏普值風險,0.035169990859997
夏普值,2.420437023679328

預期報酬,10567.070693321942599
風險,220744.683690667618066
趨勢值,0.047870102766007
找到最佳解世代,2161
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),VZ[26](2),
Stock#,MRK[17](1),VZ[26](2),
張數,149209,188323,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,6.410000000149012,24.349999999627471,
20100512,5019397.169999999925494,5052730.439999999478459,10072127.609999999403954
20100513,4970158.200000000186265,5050847.209999999962747,10021005.410000000149012
20100514,4905998.330000000074506,5020715.529999999329448,9926713.859999999403954
20100517,4891077.430000000633299,5047080.750000000000000,9938158.179999999701977
20100518,4826917.560000000521541,5003766.459999999962747,9830684.019999999552965
20100519,4867203.990000000223517,5020715.529999999329448,9887919.519999999552965
20100520,4747836.790000000037253,4887006.199999999254942,9634842.989999998360872
20100521,4780662.770000000484288,4922787.569999999366701,9703450.339999999850988
20100524,4753805.150000000372529,4839925.449999999254942,9593730.599999999627471
20100525,4783646.950000000186265,4824859.609999999403954,9608506.559999998658895
20100526,4837362.190000000409782,4741997.489999999292195,9579359.679999999701977
20100527,5016412.990000000223517,4856874.519999999552965,9873287.509999999776483
20100528,5026857.620000000111759,4845575.139999999664724,9872432.759999999776483
20100601,5002984.180000000633299,4790961.469999999739230,9793945.650000000372529
20100602,5126827.650000000372529,4856874.519999999552965,9983702.169999999925494
20100603,5116383.020000000484288,4866290.669999999925494,9982673.690000001341105
20100604,4949268.940000000409782,4790961.469999999739230,9740230.410000000149012
20100607,4970158.200000000186265,4768362.709999999962747,9738520.910000000149012
20100608,5044762.700000000186265,4873823.589999999850988,9918586.289999999105930
20100609,5029841.799999999813735,4890772.659999999217689,9920614.459999999031425
20100610,5170098.259999999776483,4990583.849999999627471,10160682.109999999403954
20100611,5201432.150000000372529,5028248.449999999254942,10229680.599999999627471
20100614,5225305.590000000782311,5041431.059999999590218,10266736.650000000372529
20100615,5374514.590000000782311,5126176.409999999217689,10500691.000000000000000
20100616,5373022.500000000000000,5137475.790000000037253,10510498.289999999105930
20100617,5350641.150000000372529,5122409.949999999254942,10473051.099999999627471
20100618,5322291.440000000409782,5128059.639999999664724,10450351.080000000074506
20100621,5240226.490000000223517,5116760.259999999776483,10356986.750000000000000
20100622,5241718.580000000074506,5116760.259999999776483,10358478.839999999850988
20100623,5284989.190000000409782,5163841.009999999776483,10448830.199999999254942
20100624,5313338.900000000372529,5099811.189999999478459,10413150.089999999850988
20100625,5361085.780000000260770,5026365.219999999739230,10387451.000000000000000
20100628,5362577.870000000111759,5054613.669999999925494,10417191.539999999105930
20100629,5286481.280000000260770,5039547.830000000074506,10326029.109999999403954
20100630,5217845.139999999664724,4934086.949999999254942,10151932.089999999850988
20100701,5138764.370000000111759,4952919.250000000000000,10091683.620000001043081
20100702,5105938.389999999664724,5048963.979999999515712,10154902.369999999180436
20100706,5170098.259999999776483,5011299.379999999888241,10181397.640000000596046
20100707,5286481.280000000260770,4994350.309999999590218,10280831.589999999850988
20100708,5350641.150000000372529,5043314.290000000037253,10393955.440000001341105
20100709,5416293.109999999403954,5018832.299999999813735,10435125.410000000149012
20100712,5384959.220000000670552,4988700.619999999180436,10373659.839999999850988
20100713,5438674.460000000894070,5064029.819999999366701,10502704.280000001192093
20100714,5401372.210000000894070,5054613.669999999925494,10455985.880000000819564
20100715,5444642.820000000298023,5047080.750000000000000,10491723.570000000298023
20100716,5358101.599999999627471,5026365.219999999739230,10384466.820000000298023
20100719,5341688.609999999403954,5032014.909999999217689,10373703.519999999552965
20100720,5320799.349999999627471,5022598.759999999776483,10343398.109999999403954
20100721,5250671.120000000111759,4994350.309999999590218,10245021.429999999701977
20100722,5249179.030000000260770,5084745.349999999627471,10333924.379999998956919
20100723,5202924.240000000223517,5276834.809999999590218,10479759.050000000745058
20100726,5262607.840000000782311,5325798.790000000037253,10588406.630000000819564
20100727,5249179.030000000260770,5384178.919999999925494,10633357.949999999254942
20100728,5183527.070000000298023,5444442.279999999329448,10627969.349999999627471
20100729,5231273.950000000186265,5438792.589999999850988,10670066.539999999105930
20100730,5141748.549999999813735,5472690.729999999515712,10614439.279999999329448
20100802,5232766.040000000037253,5566852.229999999515712,10799618.269999999552965
20100803,5195463.790000000037253,5563085.769999999552965,10758549.559999998658895
20100804,5250671.120000000111759,5536720.549999999813735,10787391.669999999925494
20100805,5232766.040000000037253,5564969.000000000000000,10797735.039999999105930
20100806,5219337.229999999515712,5564969.000000000000000,10784306.230000000447035
20100809,5276036.650000000372529,5623349.129999999888241,10899385.780000001192093
20100810,5337212.340000000782311,5653480.809999999590218,10990693.150000000372529
20100811,5205908.419999999925494,5566852.229999999515712,10772760.649999998509884
20100812,5228289.770000000484288,5709977.709999999962747,10938267.480000000447035
