訓練日期,20160419 - 20160720
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11129404.910000000149012
真實報酬,1129404.910000000149012

夏普值報酬,0.104240491000000
夏普值風險,0.028279226401897
夏普值,3.686115366755777

預期報酬,17007.051682485449419
風險,112183.874606193014188
趨勢值,0.151599788670043
找到最佳解世代,2198
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PFE[20](2),UNH[23](3),XOM[29](1),
Stock#,PFE[20](2),UNH[23](3),XOM[29](1),
張數,102218,26080,38859,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,4.020000000018626,48.199999999720603,7.979999999981374,
20160419,3361954.040000000037253,3403488.199999999720603,3350042.369999999646097,10115485.609999999403954
20160420,3396708.159999999683350,3492942.600000000093132,3372969.179999999701977,10262620.939999999478459
20160421,3397730.340000000316650,3467645.000000000000000,3372580.590000000316650,10237956.929999999701977
20160422,3400796.880000000353903,3498158.599999999627471,3401336.250000000000000,10300292.730000000447035
20160425,3394663.800000000279397,3489030.599999999627471,3393564.449999999720603,10277259.849999999627471
20160426,3378308.919999999925494,3501027.399999999906868,3405222.149999999906868,10284559.470000000670552
20160427,3373198.020000000018626,3463472.200000000186265,3437475.119999999646097,10274146.339999999850988
20160428,3363998.399999999441206,3444433.799999999348074,3420765.750000000000000,10229198.949999999254942
20160429,3343554.800000000279397,3434262.600000000093132,3435143.580000000074506,10212961.980000000447035
20160502,3352754.419999999925494,3445216.199999999720603,3463510.649999999906868,10261482.269999999552965
20160503,3444750.620000000111759,3454605.000000000000000,3423874.469999999739230,10323231.089999999850988
20160504,3414085.219999999739230,3443390.599999999627471,3417268.439999999944121,10274745.259999999776483
20160505,3431462.280000000260770,3450693.000000000000000,3421154.340000000316650,10303310.620000001043081
20160506,3432484.459999999962747,3443651.399999999441206,3439418.070000000298023,10315554.929999999701977
20160509,3457016.780000000260770,3460081.799999999348074,3441749.609999999869615,10358849.189999999478459
20160510,3454972.419999999925494,3483553.799999999348074,3496929.389999999664724,10435456.609999999403954
20160511,3389552.899999999441206,3408443.399999999441206,3451075.770000000018626,10249073.069999998435378
20160512,3392619.439999999944121,3383667.399999999906868,3484494.510000000242144,10260782.349999999627471
20160513,3392619.439999999944121,3364368.199999999720603,3445246.919999999925494,10202235.559999998658895
20160516,3412040.860000000335276,3407139.399999999441206,3480608.609999999869615,10299789.869999999180436
20160517,3376264.560000000055879,3378973.000000000000000,3479054.250000000000000,10234292.810000000521541
20160518,3390575.080000000074506,3403748.999999999534339,3472059.629999999888241,10266384.710000000894070
20160519,3412040.860000000335276,3390448.199999999720603,3501592.469999999739230,10304082.530000001192093
20160520,3448839.340000000316650,3414963.399999999441206,3487214.639999999664724,10351018.379999998956919
20160523,3441684.080000000074506,3401401.799999999348074,3481774.379999999888241,10324861.259999997913837
20160524,3485637.820000000298023,3457995.399999999906868,3484494.510000000242144,10428128.730000000447035
20160525,3511192.320000000298023,3479641.799999999348074,3507421.320000000298023,10498256.439999999478459
20160526,3519369.759999999776483,3468166.599999999627471,3489546.179999999701977,10477083.539999999105930
20160527,3537769.000000000000000,3494768.199999999720603,3497706.570000000298023,10530244.769999999552965
20160531,3546968.620000000111759,3486161.799999999348074,3459236.159999999683350,10492367.580000000074506
20160601,3552079.520000000018626,3508590.599999999627471,3467785.139999999664724,10528456.259999997913837
20160602,3564345.679999999701977,3547971.399999999441206,3440195.250000000000000,10552513.329999998211861
20160603,3545946.439999999944121,3568835.399999999906868,3433977.810000000055879,10548760.650000000372529
20160606,3570478.759999999776483,3603000.199999999720603,3471671.040000000037253,10645151.000000000000000
20160607,3561279.140000000596046,3571443.399999999441206,3524907.869999999646097,10657631.410000000149012
20160608,3603188.520000000018626,3661680.199999999720603,3528016.590000000316650,10792886.310000000521541
20160609,3609321.600000000093132,3668982.600000000093132,3523353.510000000242144,10801658.710000000894070
20160610,3607277.239999999757856,3631427.399999999906868,3496540.800000000279397,10735246.439999999478459
20160613,3551057.340000000316650,3601435.399999999906868,3520244.790000000037253,10672738.530000001192093
20160614,3576611.840000000316650,3595697.799999999813735,3514027.350000000093132,10686337.990000000223517
20160615,3556168.239999999757856,3579788.999999999534339,3503535.419999999925494,10639493.660000000149012
20160616,3552079.520000000018626,3616300.999999999534339,3544725.959999999962747,10713107.480000000447035
20160617,3497903.979999999981374,3591003.399999999441206,3525296.459999999962747,10614204.839999999850988
