訓練日期,20140919 - 20141219
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11251128.940000001341105
真實報酬,1251128.940000001341105

夏普值報酬,0.116412894000000
夏普值風險,0.042904816726524
夏普值,2.713282630759556

預期報酬,23852.329411519778660
風險,182181.455609047232429
趨勢值,0.130926220409094
找到最佳解世代,2477
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
NKE[19](1),PG[21](4),
Stock#,NKE[19](1),PG[21](4),
張數,121980,59389,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,39.799999999813735,40.089999999850988,
20140919,4990241.599999999627471,5016628.919999999925494,10006870.519999999552965
20140922,4921932.799999999813735,5036821.179999999701977,9958753.980000000447035
20140923,4886558.599999999627471,5014847.250000000000000,9901405.849999999627471
20140924,4930471.400000000372529,5062358.449999999254942,9992829.849999999627471
20140925,4864602.200000000186265,5008314.459999999962747,9872916.660000000149012
20140926,5458644.799999999813735,5023161.709999999962747,10481806.509999999776483
20140929,5435468.599999999627471,5014847.250000000000000,10450315.849999999627471
20140930,5440347.799999999813735,4973274.949999999254942,10413622.750000000000000
20141001,5348862.799999999813735,4937641.549999999813735,10286504.349999999627471
20141002,5446446.799999999813735,4932296.540000000037253,10378743.339999999850988
20141003,5507436.799999999813735,4976244.400000000372529,10483681.199999999254942
20141006,5441567.599999999627471,4963178.819999999366701,10404746.419999998062849
20141007,5372039.000000000000000,4938829.330000000074506,10310868.330000000074506
20141008,5418391.400000000372529,4999406.110000000335276,10417797.510000001639128
20141009,5320807.399999999441206,4968523.830000000074506,10289331.230000000447035
20141010,5318367.799999999813735,5029694.500000000000000,10348062.300000000745058
20141013,5208585.799999999813735,4951301.020000000484288,10159886.820000000298023
20141014,5190288.799999999813735,4961991.040000000037253,10152279.839999999850988
20141015,5195168.000000000000000,4926357.639999999664724,10121525.640000000596046
20141016,5308609.400000000372529,4884191.449999999254942,10192800.849999999627471
20141017,5317148.000000000000000,4945362.119999999180436,10262510.119999999180436
20141020,5422050.799999999813735,4999406.110000000335276,10421456.910000000149012
20141021,5528173.399999999441206,5024943.379999999888241,10553116.779999999329448
20141022,5480601.200000000186265,5002375.560000000521541,10482976.760000001639128
20141023,5512316.000000000000000,4942986.560000000521541,10455302.560000000521541
20141024,5544030.799999999813735,5057607.330000000074506,10601638.129999998956919
20141027,5589163.399999999441206,5104524.639999999664724,10693688.039999999105930
20141028,5639175.199999999254942,5135406.919999999925494,10774582.119999999180436
20141029,5608680.199999999254942,5139564.150000000372529,10748244.349999999627471
20141030,5672109.799999999813735,5163319.750000000000000,10835429.550000000745058
20141031,5670890.000000000000000,5182918.119999999180436,10853808.119999999180436
20141103,5700165.199999999254942,5189450.909999999217689,10889616.109999999403954
20141104,5730660.199999999254942,5264281.049999999813735,10994941.250000000000000
20141105,5774573.000000000000000,5285661.089999999850988,11060234.089999999850988
20141106,5769693.799999999813735,5279722.190000000409782,11049415.990000000223517
20141107,5719682.000000000000000,5293381.659999999217689,11013063.660000000149012
20141110,5791650.199999999254942,5312386.139999999664724,11104036.339999999850988
20141111,5786771.000000000000000,5325451.719999999739230,11112222.719999998807907
20141112,5844101.599999999627471,5314167.810000000521541,11158269.410000000149012
20141113,5862398.599999999627471,5261905.489999999292195,11124304.089999999850988
20141114,5824584.799999999813735,5232804.879999999888241,11057389.679999999701977
20141117,5858739.200000000186265,5216769.849999999627471,11075509.050000000745058
20141118,5884355.000000000000000,5223302.639999999664724,11107657.640000000596046
20141119,5913630.199999999254942,5269626.060000000521541,11183256.259999999776483
20141120,5934366.799999999813735,5254184.919999999925494,11188551.719999998807907
20141121,5941685.599999999627471,5261905.489999999292195,11203591.089999999850988
20141124,5974620.199999999254942,5232804.879999999888241,11207425.079999998211861
20141125,5934366.799999999813735,5273783.290000000037253,11208150.089999999850988
20141126,5964861.799999999813735,5278534.409999999217689,11243396.209999999031425
20141128,6056346.799999999813735,5370587.360000000335276,11426934.160000000149012
20141201,5958762.799999999813735,5349801.209999999962747,11308564.009999999776483
20141202,5979499.400000000372529,5408596.319999999366701,11388095.719999998807907
20141203,6007554.799999999813735,5345050.089999999850988,11352604.890000000596046
20141204,6041709.200000000186265,5379495.709999999962747,11421204.910000000149012
20141205,6058786.400000000372529,5367617.909999999217689,11426404.309999998658895
20141208,5959982.599999999627471,5390185.730000000447035,11350168.330000000074506
20141209,5918509.400000000372529,5387216.279999999329448,11305725.679999999701977
20141210,5956323.199999999254942,5345050.089999999850988,11301373.289999999105930
20141211,5912410.399999999441206,5369399.580000000074506,11281809.980000000447035
20141212,5866058.000000000000000,5318325.040000000037253,11184383.039999999105930
20141215,5820925.399999999441206,5297538.889999999664724,11118464.289999999105930
20141216,5685527.599999999627471,5307041.129999999888241,10992568.730000000447035
20141217,5763594.799999999813735,5386622.389999999664724,11150217.189999999478459
20141218,5920949.000000000000000,5463828.089999999850988,11384777.089999999850988
20141219,5784331.400000000372529,5466797.540000000037253,11251128.940000001341105
