訓練日期,20111216 - 20120321
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13374628.469999998807907
真實報酬,3374628.469999998807907

夏普值報酬,0.328762847000000
夏普值風險,0.085855264163043
夏普值,3.829268364670833

預期報酬,52494.342689264944056
風險,102483.595967741770437
趨勢值,0.512221904330800
找到最佳解世代,2057
找到最佳解實驗#,1
找到最佳解次數,31

stock[index](rank)
投資組合檔數,3
AAPL[0](2),MSFT[18](3),NKE[19](1),
Stock#,AAPL[0](2),MSFT[18](3),NKE[19](1),
張數,61580,130412,141723,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,7.599999999627471,2.280000000260770,8.040000000037253,
20111216,3351806.999999999534339,3390714.280000000260770,3319160.700000000186265,10061682.980000000447035
20111219,3362275.599999999627471,3329420.640000000596046,3309240.090000000316650,10000937.330000000074506
20111220,3482972.399999999906868,3394626.640000000596046,3317743.470000000204891,10195343.510000001639128
20111221,3487898.799999999813735,3359415.400000000372529,3414115.109999999869615,10261430.310000000521541
20111222,3506372.799999999348074,3365936.000000000000000,3360260.370000000111759,10232570.169999998062849
20111223,3548247.199999999254942,3394626.640000000596046,3433956.330000000074506,10376831.169999999925494
20111227,3576573.999999999534339,3395930.760000000242144,3463718.160000000149012,10436223.919999999925494
20111228,3542089.199999999720603,3367240.120000000111759,3416949.569999999832362,10326279.890000000596046
20111229,3563642.199999999254942,3393322.520000000018626,3453797.550000000279397,10410763.269999999552965
20111230,3563026.399999999441206,3385497.800000000279397,3414115.109999999869615,10362640.309999998658895
20120103,3617832.599999999627471,3491131.520000000018626,3429704.640000000130385,10538669.759999999776483
20120104,3636922.399999999906868,3573291.080000000074506,3480724.919999999925494,10690939.400000000372529
20120105,3677565.199999999720603,3609806.440000000409782,3477890.459999999962747,10765263.100000001490116
20120106,3715744.799999999813735,3665883.600000000093132,3472221.540000000037253,10853850.940000001341105
20120109,3710202.599999999627471,3617631.160000000149012,3484976.609999999869615,10812811.369999999180436
20120110,3723134.399999999906868,3630672.360000000335276,3489228.300000000279397,10843036.060000000521541
20120111,3716976.399999999441206,3615022.919999999925494,3477890.459999999962747,10809890.779999999329448
20120112,3707123.599999999627471,3651538.280000000260770,3511903.979999999981374,10870566.859999999403954
20120113,3692960.199999999720603,3684141.280000000260770,3483559.379999999888241,10860661.859999999403954
20120117,3736066.199999999720603,3685445.400000000372529,3516155.669999999925494,10937668.269999999552965
20120118,3774861.599999999627471,3681533.040000000502914,3574262.100000000093132,11030657.740000000223517
20120119,3763161.399999999441206,3667187.720000000204891,3599772.239999999757856,11030122.359999999403954
