訓練日期,20111118 - 20120223
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11850894.060000000521541
真實報酬,1850894.060000000521541

夏普值報酬,0.176389406000000
夏普值風險,0.052637628774741
夏普值,3.351013525986220

預期報酬,28957.698019537714572
風險,100056.437000176054426
趨勢值,0.289413643816707
找到最佳解世代,4060
找到最佳解實驗#,2
找到最佳解次數,18

stock[index](rank)
投資組合檔數,4
AAPL[0](10),HD[9](1),MCD[15](15),WMT[28](8),
Stock#,AAPL[0](10),HD[9](1),MCD[15](15),WMT[28](8),
張數,46364,66454,27088,44068,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,53.120000000111759,0.520000000018626,48.479999999981374,22.360000000335276,
20111118,2483308.960000000428408,2517278.040000000037253,2512189.599999999627471,2522034.000000000000000,10034810.599999999627471
20111121,2444363.200000000186265,2462785.760000000242144,2499729.120000000111759,2496915.240000000223517,9903793.320000000298023
20111122,2493972.680000000167638,2465443.919999999925494,2509751.680000000167638,2505288.160000000614673,9974456.439999999478459
20111123,2430917.640000000130385,2426900.600000000093132,2488623.040000000037253,2496033.880000000353903,9842475.160000000149012
20111125,2408199.279999999795109,2423577.899999999906868,2494853.279999999795109,2507050.880000000353903,9833681.339999999850988
20111128,2491190.839999999850988,2478734.719999999739230,2539819.360000000335276,2522915.360000000335276,10032660.280000001192093
20111129,2471717.960000000428408,2589048.359999999869615,2531692.959999999962747,2563457.920000000391155,10155917.200000001117587
20111130,2531527.520000000018626,2606326.399999999906868,2587494.239999999757856,2595627.560000000055879,10320975.720000000670552
20111201,2569546.000000000000000,2614300.880000000353903,2586952.479999999981374,2582847.840000000316650,10353647.200000001117587
20111202,2581137.000000000000000,2654173.279999999795109,2592370.080000000074506,2559932.480000000447035,10387612.839999999850988
20111205,2602928.080000000074506,2673444.939999999944121,2582889.279999999795109,2570949.480000000447035,10430211.779999999329448
20111206,2589482.520000000018626,2679425.799999999813735,2600767.360000000335276,2590339.400000000372529,10460015.080000001937151
20111207,2576964.240000000223517,2706671.939999999944121,2612686.080000000074506,2578441.040000000037253,10474763.300000000745058
20111208,2587627.960000000428408,2652179.659999999683350,2625417.439999999944121,2555085.000000000000000,10420310.060000000521541
20111209,2607100.839999999850988,2673444.939999999944121,2655485.120000000111759,2570068.120000000577420,10506099.019999999552965
20111212,2595509.839999999850988,2661483.219999999739230,2667674.720000000204891,2559932.480000000447035,10484600.259999999776483
20111213,2575109.680000000167638,2625598.060000000055879,2654672.479999999981374,2538339.160000000614673,10393719.380000000819564
20111214,2518081.960000000428408,2601010.080000000074506,2644108.160000000149012,2540542.560000000055879,10303742.760000001639128
20111215,2509736.440000000409782,2619617.200000000186265,2658464.799999999813735,2553762.960000000428408,10341581.400000000372529
20111216,2523645.640000000130385,2686071.200000000186265,2640857.599999999627471,2567864.720000000670552,10418439.160000000149012
20111219,2531527.520000000018626,2671451.320000000298023,2634085.599999999627471,2546271.400000000372529,10383335.839999999850988
20111220,2622400.960000000428408,2787745.820000000298023,2676884.639999999664724,2608407.280000000260770,10695438.700000001117587
20111221,2626110.080000000074506,2791068.520000000018626,2687178.080000000074506,2617220.880000000353903,10721577.560000000521541
20111222,2640019.279999999795109,2785752.200000000186265,2670925.279999999795109,2608407.280000000260770,10705104.039999999105930
20111223,2671546.799999999813735,2797049.380000000353903,2712911.680000000167638,2643661.680000000633299,10825169.539999999105930
20111227,2692874.240000000223517,2805688.399999999906868,2723746.879999999888241,2636610.800000000279397,10858920.320000000298023
20111228,2666910.400000000372529,2759835.140000000130385,2697471.520000000018626,2632204.000000000000000,10756421.060000000521541
20111229,2683137.799999999813735,2791733.060000000055879,2730789.760000000242144,2643661.680000000633299,10849322.300000000745058
20111230,2682674.160000000149012,2793726.680000000167638,2717787.520000000018626,2633526.040000000037253,10827714.399999998509884
20120103,2723938.120000000111759,2800372.080000000074506,2677426.399999999906868,2658644.800000000279397,10860381.400000000372529
20120104,2738310.960000000428408,2840244.479999999981374,2692324.799999999813735,2631322.640000000596046,10902202.880000000819564
20120105,2768911.200000000186265,2863503.380000000353903,2704243.520000000018626,2618542.920000000391155,10955201.019999999552965
20120106,2797656.880000000353903,2870813.320000000298023,2725101.279999999795109,2600034.360000000335276,10993605.839999999850988
20120109,2793484.120000000111759,2872806.939999999944121,2699096.799999999813735,2607966.600000000093132,10973354.460000000894070
20120110,2803220.560000000055879,2892743.140000000130385,2700722.080000000074506,2601797.080000000074506,10998482.860000001266599
20120111,2798584.160000000149012,2888091.359999999869615,2706952.320000000298023,2617661.560000000055879,11011289.400000000372529
20120112,2791165.920000000391155,2883439.580000000074506,2724288.639999999664724,2622068.360000000335276,11020962.500000000000000
20120113,2780502.200000000186265,2891414.060000000055879,2718329.279999999795109,2623831.080000000074506,11014076.619999999180436
20120117,2812957.000000000000000,2906698.479999999981374,2723746.879999999888241,2637492.160000000614673,11080894.519999999552965
20120118,2842166.319999999832362,2982456.040000000037253,2751105.760000000242144,2644543.040000000037253,11220271.160000000149012
20120119,2833357.160000000149012,3017676.659999999683350,2742979.360000000335276,2670983.840000000316650,11264997.019999999552965
20120120,2783747.680000000167638,2957868.060000000055879,2755981.599999999627471,2688611.040000000037253,11186208.379999998956919
20120123,2831038.960000000428408,2982456.040000000037253,2734582.080000000074506,2684204.240000000223517,11232281.320000000298023
20120124,2784674.960000000428408,2987772.359999999869615,2674988.479999999981374,2705356.880000000353903,11152792.680000001564622
20120125,2958539.960000000428408,3007708.560000000055879,2687990.720000000204891,2708882.320000000298023,11363121.560000000521541
20120126,2945094.400000000372529,2987107.820000000298023,2686636.320000000298023,2686848.320000000298023,11305686.860000001266599
