訓練日期,20120823 - 20121127
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11392836.530000001192093
真實報酬,1392836.530000001192093

夏普值報酬,0.130583653000000
夏普值風險,0.039522929496587
夏普值,3.303997316577401

預期報酬,20594.915240271187940
風險,144037.016914923413424
趨勢值,0.142983489115411
找到最佳解世代,2233
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),V[25](1),
Stock#,HD[9](2),V[25](1),
張數,88276,156103,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,47.360000000335276,20.910000000149012,
20120823,4992055.160000000149012,4962535.280000000260770,9954590.440000001341105
20120824,5028248.320000000298023,4943802.920000000856817,9972051.240000002086163
20120827,5002648.280000000260770,4982828.670000000856817,9985476.950000001117587
20120828,4990289.640000000596046,4971901.459999999962747,9962191.100000001490116
20120829,5017655.200000000186265,4996877.939999999478459,10014533.140000000596046
20120830,4998234.480000000447035,4945363.950000000186265,9943598.429999999701977
20120831,5009710.360000000335276,5004683.090000000782311,10014393.450000001117587
20120904,5013241.400000000372529,5015610.300000000745058,10028851.700000001117587
20120905,4991172.400000000372529,4979706.610000000335276,9970879.010000001639128
20120906,5089158.759999999776483,5054636.050000000745058,10143794.810000000521541
20120907,5054731.120000000111759,5062441.200000000186265,10117172.320000000298023
20120910,5058262.160000000149012,5021854.420000000856817,10080116.580000001937151
20120911,5007062.080000000074506,5131126.519999999552965,10138188.599999999627471
20120912,5036193.160000000149012,5209178.019999999552965,10245371.179999999701977
20120913,5146538.160000000149012,5266936.130000000819564,10413474.290000000968575
20120914,5248938.320000000298023,5238837.590000000782311,10487775.910000000149012
20120917,5200386.520000000484288,5224788.320000000298023,10425174.839999999850988
20120918,5195972.720000000670552,5216983.170000000856817,10412955.890000000596046
20120919,5249821.080000000074506,5260692.010000000707805,10510513.089999999850988
20120920,5233048.640000000596046,5252886.860000000335276,10485935.500000000000000
20120921,5245407.280000000260770,5268497.160000000149012,10513904.440000001341105
20120924,5242759.000000000000000,5220105.229999999515712,10462864.230000000447035
20120925,5271890.080000000074506,5251325.830000000074506,10523215.910000000149012
20120926,5223338.280000000260770,5171713.300000000745058,10395051.580000001937151
20120927,5286014.240000000223517,5226349.349999999627471,10512363.589999999850988
20120928,5329269.480000000447035,5240398.620000000111759,10569668.100000001490116
20121001,5346924.680000000633299,5335621.450000000186265,10682546.130000000819564
20121002,5325738.440000000409782,5307522.910000000149012,10633261.350000001490116
20121003,5452855.880000000819564,5405867.800000000745058,10858723.680000001564622
20121004,5450207.600000000558794,5451137.670000000856817,10901345.270000001415610
20121005,5579090.560000000521541,5474553.120000000111759,11053643.679999999701977
20121008,5462566.240000000223517,5413672.950000000186265,10876239.190000001341105
20121009,5380469.560000000521541,5337182.479999999515712,10717652.039999999105930
20121010,5273655.600000000558794,5362158.959999999962747,10635814.560000000521541
20121011,5209214.120000000111759,5426161.189999999478459,10635375.309999998658895
20121012,5257765.920000000856817,5429283.250000000000000,10687049.170000001788139
20121015,5353986.759999999776483,5458942.820000000298023,10812929.580000000074506
20121016,5372524.720000000670552,5508895.780000000260770,10881420.500000000000000
20121017,5419311.000000000000000,5563531.830000000074506,10982842.830000000074506
20121018,5455504.160000000149012,5536994.320000000298023,10992498.480000000447035
20121019,5463449.000000000000000,5462064.880000000819564,10925513.880000000819564
20121022,5476690.400000000372529,5424600.160000000149012,10901290.560000000521541
20121023,5451090.360000000335276,5332499.389999999664724,10783589.750000000000000
20121024,5409600.640000000596046,5326255.269999999552965,10735855.910000000149012
20121025,5338979.839999999850988,5368403.080000000074506,10707382.919999999925494
20121026,5300138.400000000372529,5398062.649999999441206,10698201.050000000745058
20121031,5418428.240000000223517,5415233.979999999515712,10833662.219999998807907
20121101,5496111.120000000111759,5615045.820000000298023,11111156.940000001341105
20121102,5474924.880000000819564,5596313.459999999962747,11071238.339999999850988
20121105,5506704.240000000223517,5522945.050000000745058,11029649.290000000968575
20121106,5527890.480000000447035,5615045.820000000298023,11142936.300000000745058
20121107,5472276.600000000558794,5563531.830000000074506,11035808.429999999701977
20121108,5372524.720000000670552,5544799.470000000670552,10917324.190000001341105
20121109,5381352.320000000298023,5577581.099999999627471,10958933.419999999925494
20121112,5399007.520000000484288,5590069.340000000782311,10989076.860000001266599
20121113,5594980.240000000223517,5558848.740000000223517,11153828.980000000447035
20121114,5426373.080000000074506,5462064.880000000819564,10888437.960000000894070
20121115,5406952.360000000335276,5463625.910000000149012,10870578.269999999552965
20121116,5483752.480000000447035,5569775.950000000186265,11053528.429999999701977
20121119,5590566.440000000409782,5683731.139999999664724,11274297.580000000074506
20121120,5633821.680000000633299,5711829.680000000633299,11345651.360000001266599
20121121,5657656.200000000186265,5724317.920000000856817,11381974.120000001043081
20121123,5722097.679999999701977,5780515.000000000000000,11502612.679999999701977
20121126,5708856.280000000260770,5746172.340000000782311,11455028.620000001043081
20121127,5663835.520000000484288,5729001.010000000707805,11392836.530000001192093
