訓練日期,20160718 - 20161017
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10872673.139999998733401
真實報酬,872673.139999998733401

夏普值報酬,0.078567314000000
夏普值風險,0.027533623246568
夏普值,2.853504360701744

預期報酬,14729.117504083689710
風險,77855.411454885543208
趨勢值,0.189185532885131
找到最佳解世代,2140
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),INTC[11](6),JPM[13](3),V[25](1),
Stock#,AAPL[0](2),INTC[11](6),JPM[13](3),V[25](1),
張數,25308,71285,38952,31928,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,75.759999999776483,35.049999999813735,60.639999999664724,37.600000000093132,
20160718,2526573.399999999906868,2498574.299999999813735,2491430.559999999590218,2500319.280000000260770,10016897.539999999105930
20160719,2527585.719999999739230,2505702.799999999813735,2487535.359999999869615,2513409.760000000242144,10034233.639999998733401
20160720,2529863.439999999478459,2544196.699999999720603,2490261.999999999534339,2533843.680000000167638,10098165.819999998435378
20160721,2516450.199999999720603,2442972.000000000000000,2480913.519999999552965,2515644.720000000204891,9955980.439999999478459
20160722,2496963.039999999571592,2470773.149999999441206,2494546.719999999739230,2551404.080000000074506,10013686.989999998360872
20160725,2463556.479999999981374,2472911.699999999720603,2487924.879999999422580,2520433.919999999925494,9944826.979999998584390
20160726,2446600.119999999646097,2501425.700000000186265,2498052.399999999441206,2506066.319999999832362,9952144.539999999105930
20160727,2605534.359999999869615,2482891.599999999627471,2505842.799999999813735,2507343.439999999944121,10101612.199999999254942
20160728,2640712.479999999981374,2478614.500000000000000,2496883.839999999385327,2528415.919999999925494,10144626.740000000223517
20160729,2637422.439999999478459,2485030.149999999906868,2491820.079999999608845,2492018.000000000000000,10106290.669999999925494
20160801,2683989.159999999683350,2484317.299999999813735,2485198.239999999757856,2498722.880000000353903,10152227.580000000074506
20160802,2644255.600000000093132,2463644.649999999906868,2479355.439999999478459,2499361.439999999944121,10086617.129999998956919
20160803,2677409.080000000074506,2441546.299999999813735,2518696.959999999497086,2513090.479999999981374,10150742.820000000298023
20160804,2679433.719999999739230,2465070.349999999627471,2514801.759999999776483,2537675.040000000037253,10196980.869999999180436
20160805,2720179.600000000093132,2493584.349999999627471,2582578.239999999757856,2558747.520000000018626,10355089.709999999031425
20160808,2742703.719999999739230,2497861.449999999720603,2574787.839999999385327,2552681.200000000186265,10368034.210000000894070
20160809,2753839.239999999757856,2489307.250000000000000,2565828.879999999888241,2556193.280000000260770,10365168.650000000372529
20160810,2733339.759999999776483,2461506.100000000093132,2542847.199999999720603,2544060.640000000130385,10281753.699999999254942
20160811,2731568.199999999720603,2472198.849999999627471,2549858.559999999590218,2558108.960000000428408,10311734.569999998435378
20160812,2737895.199999999720603,2464357.500000000000000,2544405.279999999329448,2554916.160000000149012,10301574.139999998733401
20160815,2770795.600000000093132,2488594.399999999441206,2559986.079999999608845,2583332.080000000074506,10402708.160000000149012
20160816,2768264.799999999813735,2509979.899999999906868,2559596.559999999590218,2580139.280000000260770,10417980.539999999105930
20160817,2764215.519999999552965,2496435.750000000000000,2566607.919999999459833,2581097.120000000111759,10408356.309999998658895
20160818,2760672.399999999906868,2492871.499999999534339,2568945.039999999571592,2562898.160000000149012,10385387.099999999627471
20160819,2767758.639999999664724,2512118.450000000186265,2565439.359999999869615,2569283.760000000242144,10414600.209999999031425
20160822,2746246.839999999850988,2520672.649999999906868,2563102.239999999757856,2588121.280000000260770,10418143.010000001639128
20160823,2754851.559999999590218,2523524.049999999813735,2561933.679999999701977,2579820.000000000000000,10420129.289999999105930
20160824,2734099.000000000000000,2505702.799999999813735,2568945.039999999571592,2563536.720000000204891,10372283.560000000521541
20160825,2722457.319999999832362,2501425.700000000186265,2573619.279999999329448,2564494.560000000055879,10361996.859999999403954
20160826,2706513.279999999795109,2513544.149999999441206,2579462.079999999608845,2572476.560000000055879,10371996.070000000298023
20160829,2703476.319999999832362,2534216.799999999813735,2607897.039999999571592,2582054.960000000428408,10427645.119999999180436
20160830,2682723.759999999776483,2544909.549999999813735,2629320.639999999664724,2591633.360000000335276,10448587.309999998658895
20160831,2685254.559999999590218,2558453.699999999720603,2629320.639999999664724,2583012.800000000279397,10456041.699999999254942
20160901,2701198.600000000093132,2567720.750000000000000,2618024.559999999590218,2595784.000000000000000,10482727.910000000149012
20160902,2726506.600000000093132,2571997.849999999627471,2628931.119999999646097,2618133.600000000093132,10545569.169999998062849
20160906,2725747.359999999869615,2606927.500000000000000,2626983.519999999552965,2635055.439999999944121,10594713.819999998435378
20160907,2742450.639999999664724,2599086.149999999906868,2616076.959999999497086,2657724.319999999832362,10615338.069999998435378
20160908,2670575.919999999459833,2597660.449999999720603,2619582.639999999664724,2649103.760000000242144,10536922.769999999552965
20160909,2610089.799999999813735,2526375.449999999720603,2596211.439999999944121,2596741.839999999850988,10329418.529999999329448
