訓練日期,20110214 - 20110517
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11015521.419999999925494
真實報酬,1015521.419999999925494

夏普值報酬,0.092852142000000
夏普值風險,0.030966425271167
夏普值,2.998477905890374

預期報酬,16667.263578924881585
風險,110117.706435302752652
趨勢值,0.151358615416835
找到最佳解世代,2194
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CVX[5](4),MCD[15](12),PFE[20](1),UNH[23](3),
Stock#,CVX[5](4),MCD[15](12),PFE[20](1),UNH[23](3),
張數,25920,32834,132766,58990,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,16.000000000000000,19.239999999757856,16.220000000204891,3.799999999813735,
20110214,2512960.000000000000000,2503283.399999999441206,2529208.520000000484288,2504719.199999999720603,10050171.119999999180436
20110215,2497148.800000000279397,2500328.339999999850988,2529208.520000000484288,2479353.500000000000000,10006039.160000000149012
20110216,2505443.199999999720603,2496059.919999999459833,2559744.700000000186265,2507078.799999999813735,10068326.619999999180436
20110217,2518662.399999999906868,2494746.560000000055879,2571693.640000000130385,2512387.899999999906868,10097490.500000000000000
20110218,2558838.399999999906868,2499671.659999999683350,2547795.760000000242144,2527135.399999999906868,10133441.220000000670552
20110222,2600310.399999999906868,2485553.040000000037253,2507965.960000000428408,2534214.199999999720603,10128043.599999999627471
20110223,2650854.399999999906868,2468807.699999999720603,2490706.380000000353903,2531264.699999999720603,10141633.179999999701977
20110224,2644633.600000000093132,2469464.379999999422580,2509293.620000000111759,2521826.299999999813735,10145217.899999998509884
20110225,2646448.000000000000000,2444182.199999999720603,2503982.979999999981374,2508258.600000000093132,10102871.779999999329448
20110228,2689216.000000000000000,2484896.359999999869615,2554434.060000000055879,2511797.999999999534339,10240344.419999999925494
20110301,2667184.000000000000000,2458957.500000000000000,2541157.460000000428408,2504129.299999999813735,10171428.260000001639128
20110302,2681958.399999999906868,2452390.699999999720603,2547795.760000000242144,2569608.199999999720603,10251753.059999998658895
20110303,2700620.799999999813735,2503283.399999999441206,2624800.040000000037253,2642165.899999999906868,10470870.139999998733401
20110304,2689216.000000000000000,2496388.259999999776483,2610195.780000000260770,2622109.299999999813735,10417909.339999999850988
20110307,2670035.200000000186265,2504925.100000000093132,2603557.479999999981374,2569608.199999999720603,10348125.980000000447035
20110308,2689734.399999999906868,2480299.600000000093132,2612851.100000000093132,2585535.499999999534339,10368420.599999999627471
20110309,2647484.799999999813735,2488179.759999999776483,2610195.780000000260770,2624468.899999999906868,10370329.240000000223517
20110310,2568169.600000000093132,2517730.359999999869615,2570365.979999999981374,2583175.899999999906868,10239441.839999999850988
20110311,2590201.600000000093132,2519372.060000000055879,2584970.240000000223517,2571377.899999999906868,10265921.800000000745058
20110314,2612752.000000000000000,2484568.020000000018626,2630110.680000000167638,2546012.199999999720603,10273442.899999998509884
20110315,2623897.600000000093132,2466509.319999999832362,2623472.380000000353903,2524185.899999999906868,10238065.200000001117587
20110316,2579315.200000000186265,2409378.159999999683350,2562400.020000000484288,2469325.199999999720603,10020418.580000000074506
20110317,2650076.799999999813735,2410034.839999999850988,2639404.300000000279397,2493511.100000000093132,10193027.039999999105930
20110318,2664592.000000000000000,2396572.899999999441206,2679234.100000000093132,2512977.799999999813735,10253376.800000000745058
20110321,2726540.799999999813735,2421855.080000000074506,2652680.900000000372529,2547781.899999999906868,10348858.679999999701977
20110322,2727577.600000000093132,2425466.819999999832362,2647370.260000000242144,2521236.399999999906868,10321651.080000000074506
20110323,2734057.600000000093132,2447137.259999999776483,2644714.940000000409782,2521826.299999999813735,10347736.099999999627471
20110324,2731465.600000000093132,2460270.859999999869615,2695166.020000000484288,2583765.799999999813735,10470668.280000001192093
20110325,2767753.600000000093132,2470777.739999999757856,2701804.320000000298023,2580816.299999999813735,10521151.960000000894070
20110328,2748572.800000000279397,2462569.239999999757856,2691183.040000000037253,2587895.099999999627471,10490220.179999999701977
20110329,2783046.399999999906868,2474717.819999999832362,2705787.300000000279397,2623878.999999999534339,10587430.519999999552965
20110330,2799635.200000000186265,2489164.779999999795109,2700476.660000000149012,2678149.799999999813735,10667426.440000001341105
20110331,2786156.799999999813735,2498358.299999999813735,2696493.680000000167638,2666351.799999999813735,10647360.579999998211861
20110401,2807670.399999999906868,2495074.899999999441206,2705787.300000000279397,2690537.699999999720603,10699070.299999998882413
20110404,2805337.600000000093132,2508208.500000000000000,2727029.859999999869615,2689947.799999999813735,10730523.759999997913837
20110405,2833849.600000000093132,2515103.639999999664724,2715080.919999999925494,2659862.899999999906868,10723897.060000000521541
20110406,2816483.199999999720603,2519043.719999999739230,2693838.359999999869615,2652194.199999999720603,10681559.479999998584390
20110407,2823740.799999999813735,2495731.580000000074506,2699149.000000000000000,2620929.500000000000000,10639550.879999998956919
20110408,2842403.199999999720603,2496716.600000000093132,2716408.580000000540167,2617980.000000000000000,10673508.380000000819564
20110411,2793673.600000000093132,2503611.739999999757856,2744289.440000000409782,2614440.599999999627471,10656015.379999998956919
20110412,2700361.600000000093132,2517073.679999999701977,2716408.580000000540167,2643345.699999999720603,10577189.559999998658895
20110413,2690771.200000000186265,2524625.500000000000000,2716408.580000000540167,2615030.499999999534339,10546835.780000001192093
20110414,2718505.600000000093132,2530535.619999999646097,2720391.560000000055879,2643935.599999999627471,10613368.379999998956919
20110415,2753756.799999999813735,2540714.159999999683350,2725702.200000000186265,2653373.999999999534339,10673547.159999998286366
