訓練日期,20101208 - 20110311
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11192077.339999999850988
真實報酬,1192077.339999999850988

夏普值報酬,0.110507734000000
夏普值風險,0.038091240351397
夏普值,2.901132464591645

預期報酬,21539.244547269525356
風險,67043.367485885799397
趨勢值,0.321273309426231
找到最佳解世代,2366
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,7
CVX[5](1),KO[14](22),MMM[16](4),PFE[20](2),TRV[22](17),UNH[23](12),WBA[27](7),
Stock#,CVX[5](1),KO[14](22),MMM[16](4),PFE[20](2),TRV[22](17),UNH[23](12),WBA[27](7),
張數,16553,44545,16968,85186,26049,38851,39441,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,47.100000000093132,12.850000000093132,35.080000000074506,1.780000000027940,43.839999999850988,19.729999999981374,17.979999999981374,
20101208,1425922.520000000018626,1434361.850000000325963,1436885.320000000298023,1424311.699999999953434,1434301.779999999795109,1431290.570000000065193,1438431.250000000000000,10025507.990000000223517
20101209,1434364.550000000279397,1444161.750000000232831,1427213.560000000055879,1427719.140000000130385,1423100.709999999962747,1423908.879999999888241,1434487.149999999906868,10014958.740000002086163
20101210,1440654.690000000176951,1440152.699999999953434,1430776.839999999850988,1449867.500000000000000,1427008.059999999823049,1424685.900000000139698,1436853.609999999869615,10050002.299999998882413
20101213,1462835.710000000195578,1444161.750000000232831,1447405.479999999981374,1464349.120000000111759,1440293.049999999813735,1433621.629999999888241,1437248.019999999785796,10129917.759999999776483
20101214,1463001.239999999990687,1423225.600000000093132,1456568.200000000186265,1457534.239999999990687,1441595.500000000000000,1418081.229999999981374,1449474.729999999981374,10109483.740000000223517
20101215,1456876.630000000121072,1441934.500000000000000,1456059.160000000149012,1454978.659999999916181,1436646.189999999711290,1377287.680000000167638,1464462.310000000055879,10088248.130000000819564
20101216,1474257.280000000027940,1455298.000000000232831,1466070.280000000260770,1466904.699999999953434,1442116.479999999748543,1383503.839999999850988,1487732.500000000000000,10175886.080000000074506
20101217,1464822.070000000065193,1463316.100000000093132,1465561.240000000223517,1450719.360000000102445,1437427.659999999916181,1361747.279999999795109,1482210.760000000009313,10125807.470000000670552
20101220,1469953.500000000000000,1454852.550000000046566,1482020.200000000186265,1462645.400000000139698,1444460.889999999897555,1366797.909999999916181,1470378.459999999962747,10151111.910000000149012
20101221,1477071.290000000270084,1458416.150000000139698,1468276.120000000111759,1480534.459999999962747,1455401.469999999739230,1372625.559999999823049,1452630.010000000009313,10164958.060000000521541
20101222,1488492.860000000102445,1461088.849999999860302,1471500.040000000037253,1495867.939999999944121,1454880.489999999990687,1392439.570000000065193,1532300.830000000074506,10296573.580000000074506
20101223,1501073.140000000130385,1460643.400000000139698,1467258.040000000037253,1500127.239999999990687,1445242.359999999869615,1389720.000000000000000,1545710.769999999785796,10309777.949999999254942
20101227,1491803.460000000195578,1449061.700000000186265,1476420.760000000242144,1489904.919999999925494,1453317.549999999813735,1380784.270000000018626,1536639.340000000083819,10277935.000000000000000
20101228,1509515.170000000158325,1455743.450000000186265,1471839.399999999906868,1498423.520000000018626,1449931.179999999701977,1387777.449999999953434,1556754.250000000000000,10329987.419999998062849
20101229,1512494.710000000195578,1457970.699999999953434,1472178.760000000242144,1499275.380000000121072,1448107.750000000000000,1395159.139999999897555,1557148.659999999916181,10342338.099999999627471
20101230,1516301.899999999906868,1458861.600000000093132,1468445.800000000279397,1489904.919999999925494,1446805.299999999813735,1396324.669999999925494,1547682.820000000065193,10324330.010000001639128
20101231,1510508.350000000093132,1465097.900000000139698,1464373.479999999981374,1491608.640000000130385,1451233.629999999888241,1402929.339999999850988,1536639.340000000083819,10322393.679999999701977
20110103,1521929.920000000158325,1452625.300000000046566,1472687.800000000279397,1506090.260000000009313,1454099.019999999785796,1442557.360000000102445,1550838.100000000093132,10400830.759999999776483
