訓練日期,20120423 - 20120724
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11141180.289999999105930
真實報酬,1141180.289999999105930

夏普值報酬,0.105418029000000
夏普值風險,0.041495144365052
夏普值,2.540490715554290

預期報酬,20528.900241285431548
風險,108789.187714283310925
趨勢值,0.188703497770396
找到最佳解世代,2321
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](2),KO[14](5),VZ[26](1),WMT[28](3),
Stock#,DIS[6](2),KO[14](5),VZ[26](1),WMT[28](3),
張數,59031,67439,64549,40032,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,37.149999999906868,36.270000000018626,17.229999999981374,1.600000000093132,
20120423,2479929.459999999962747,2485163.419999999925494,2489672.160000000149012,2383506.879999999888241,9838271.919999999925494
20120424,2489964.729999999981374,2499325.610000000335276,2549702.729999999981374,2312650.240000000223517,9851643.310000000521541
20120425,2520660.850000000093132,2526975.600000000093132,2548411.750000000000000,2296237.120000000111759,9892285.320000000298023
20120426,2559621.310000000055879,2552602.419999999925494,2591014.089999999850988,2359888.000000000000000,10063125.820000000298023
20120427,2559031.000000000000000,2584298.750000000000000,2596823.500000000000000,2363090.560000000055879,10103243.810000000521541
20120430,2544863.560000000055879,2573508.509999999776483,2606505.850000000093132,2358286.719999999739230,10083164.640000000596046
20120501,2585004.639999999664724,2594414.600000000093132,2618124.669999999925494,2364691.840000000316650,10162235.750000000000000
20120502,2570246.889999999664724,2601832.890000000130385,2620706.629999999888241,2362289.919999999925494,10155076.329999998211861
20120503,2586185.260000000242144,2611274.350000000093132,2623288.589999999850988,2361489.280000000260770,10182237.480000000447035
20120504,2534237.979999999981374,2596437.770000000018626,2598759.969999999739230,2349880.000000000000000,10079315.719999998807907
20120507,2586775.569999999832362,2605879.229999999981374,2616188.200000000186265,2369495.680000000167638,10178338.679999999701977
20120508,2615110.449999999720603,2601158.500000000000000,2617479.179999999701977,2363891.200000000186265,10197639.329999998211861
20120509,2657612.770000000018626,2589019.479999999981374,2598114.479999999981374,2363090.560000000055879,10207837.290000000968575
20120510,2672960.830000000074506,2610599.959999999962747,2617479.179999999701977,2369495.680000000167638,10270535.650000000372529
20120511,2689489.510000000242144,2612623.130000000353903,2656854.069999999832362,2378703.040000000037253,10337669.750000000000000
20120514,2666467.419999999925494,2592391.429999999701977,2639425.839999999850988,2364691.840000000316650,10262976.529999999329448
20120515,2657022.459999999962747,2581601.189999999944121,2649753.679999999701977,2375900.800000000279397,10264278.130000000819564
20120516,2661154.629999999888241,2574182.899999999906868,2638780.350000000093132,2369495.680000000167638,10243613.559999998658895
20120517,2616881.379999999888241,2533045.110000000335276,2670409.359999999869615,2469175.359999999869615,10289511.209999999031425
20120518,2586185.260000000242144,2497302.439999999944121,2680737.200000000186265,2499199.359999999869615,10263424.259999999776483
20120521,2620423.239999999757856,2512813.409999999683350,2668472.890000000130385,2523618.879999999888241,10325328.419999998062849
20120522,2620423.239999999757856,2502023.169999999925494,2671700.339999999850988,2551240.959999999962747,10345387.710000000894070
20120523,2620423.239999999757856,2502023.169999999925494,2671700.339999999850988,2551240.959999999962747,10345387.710000000894070
20120524,2623374.789999999571592,2547881.689999999944121,2671700.339999999850988,2604883.839999999850988,10447840.660000000149012
20120525,2626916.649999999906868,2537091.449999999720603,2675573.280000000260770,2614491.520000000018626,10454072.900000000372529
20120529,2684767.029999999795109,2544509.739999999757856,2694937.979999999981374,2629303.360000000335276,10553518.109999999403954
20120530,2668238.350000000093132,2531021.939999999944121,2673636.810000000055879,2619695.680000000167638,10492592.779999999329448
20120531,2698344.160000000149012,2520231.699999999720603,2687837.589999999850988,2634907.839999999850988,10541321.289999999105930
20120601,2621013.549999999813735,2464931.719999999739230,2648462.700000000186265,2624099.200000000186265,10358507.169999999925494
20120604,2621603.859999999869615,2483140.250000000000000,2668472.890000000130385,2641713.279999999795109,10414930.279999999329448
20120605,2646987.189999999944121,2469652.449999999720603,2659436.030000000260770,2622097.600000000093132,10398173.269999999552965
20120606,2687718.580000000074506,2516185.360000000335276,2696228.959999999962747,2639311.360000000335276,10539444.260000001639128
20120607,2693621.680000000167638,2504720.729999999981374,2687837.589999999850988,2636909.440000000409782,10523089.440000001341105
20120608,2729630.589999999850988,2537091.449999999720603,2739476.790000000037253,2730984.640000000130385,10737183.469999998807907
20120611,2703656.949999999720603,2517534.140000000130385,2747222.669999999925494,2703362.560000000055879,10671776.320000000298023
20120612,2737894.930000000167638,2535742.669999999925494,2771751.290000000037253,2710968.640000000130385,10756357.529999999329448
20120613,2729040.279999999795109,2518882.919999999925494,2774978.740000000223517,2684947.839999999850988,10707849.779999999329448
20120614,2785119.729999999981374,2553951.199999999720603,2824035.979999999981374,2707365.759999999776483,10870472.669999999925494
20120615,2779806.939999999944121,2566090.219999999739230,2811126.179999999701977,2712169.600000000093132,10869192.939999999478459
20120618,2780397.250000000000000,2562043.880000000353903,2828554.410000000149012,2726981.440000000409782,10897976.980000000447035
20120619,2804599.959999999962747,2553951.199999999720603,2822745.000000000000000,2714571.520000000018626,10895867.679999999701977
