訓練日期,20131224 - 20140328
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11173035.679999999701977
真實報酬,1173035.679999999701977

夏普值報酬,0.108603568000000
夏普值風險,0.036198758618888
夏普值,3.000201447331736

預期報酬,17869.330985533564672
風險,123416.833500765191275
趨勢值,0.144788441565573
找到最佳解世代,2163
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),MSFT[18](8),
Stock#,MRK[17](1),MSFT[18](8),
張數,101296,136537,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,29.440000000409782,15.060000000521541,
20131224,5005064.799999999813735,5062807.020000000484288,10067871.820000000298023
20131226,5036466.560000000521541,5111960.339999999850988,10148426.900000000372529
20131227,5043557.280000000260770,5091479.790000000037253,10135037.070000000298023
20131230,5058751.680000000633299,5091479.790000000037253,10150231.470000000670552
20131231,5069894.240000000223517,5107864.230000000447035,10177758.470000000670552
20140102,5013168.480000000447035,5073729.980000000447035,10086898.460000000894070
20140103,5037479.520000000484288,5039595.730000000447035,10077075.250000000000000
20140106,5038492.480000000447035,4933096.870000001043081,9971589.350000001490116
20140107,5075972.000000000000000,4971327.230000000447035,10047299.230000000447035
20140108,5043557.280000000260770,4882578.180000000633299,9926135.460000000894070
20140109,5016207.360000000335276,4851174.670000000856817,9867382.030000001192093
20140110,5052673.920000000856817,4920808.540000000037253,9973482.460000000894070
20140113,5380872.959999999962747,4776079.320000000298023,10156952.280000001192093
20140114,5368717.440000000409782,4885308.920000000856817,10254026.360000001266599
20140115,5320095.360000000335276,5019115.180000000633299,10339210.540000000968575
20140116,5318069.440000000409782,5036864.990000000223517,10354934.429999999701977
20140117,5262356.640000000596046,4967231.120000001043081,10229587.760000001639128
20140121,5250201.120000000111759,4938558.350000000558794,10188759.470000000670552
20140122,5201579.040000000968575,4905789.470000000670552,10107368.510000001639128
20140123,5226903.040000000968575,4923539.280000001192093,10150442.320000002160668
20140124,5265395.520000000484288,5025942.030000001192093,10291337.550000000745058
20140127,5321108.320000000298023,4919443.170000000856817,10240551.490000002086163
20140128,5355548.959999999962747,4952212.050000000745058,10307761.010000001639128
20140129,5288693.600000000558794,5005461.480000000447035,10294155.080000001937151
20140130,5420378.400000000372529,5032768.880000000819564,10453147.280000001192093
20140131,5365678.560000000521541,5166575.140000000596046,10532253.700000001117587
20140203,5275525.120000000111759,4980884.820000000298023,10256409.940000001341105
20140204,5420378.400000000372529,4963135.010000000707805,10383513.410000000149012
20140205,5422404.320000000298023,4890770.400000000372529,10313174.720000000670552
20140206,5446715.360000000335276,4939923.720000000670552,10386639.080000001937151
20140207,5548011.360000000335276,4991807.780000001192093,10539819.140000000596046
20140210,5560166.880000000819564,5024576.660000000149012,10584743.540000000968575
20140211,5642216.640000000596046,5075095.350000000558794,10717311.990000002086163
20140212,5571309.440000000409782,5116056.450000000186265,10687365.890000000596046
20140213,5581439.040000000968575,5135171.630000000819564,10716610.670000001788139
20140214,5615879.680000000633299,5136537.000000000000000,10752416.679999999701977
20140218,5641203.680000000633299,5109229.600000000558794,10750433.280000001192093
20140219,5575361.280000000260770,5121517.930000000633299,10696879.210000000894070
20140220,5653359.200000000186265,5154286.810000000521541,10807646.010000001639128
20140221,5675644.320000000298023,5185690.320000000298023,10861334.640000000596046
20140224,5690838.720000000670552,5146094.589999999850988,10836933.310000000521541
20140225,5663488.799999999813735,5125614.040000000037253,10789102.839999999850988
20140226,5699955.360000000335276,5116056.450000000186265,10816011.810000000521541
20140227,5739460.799999999813735,5169305.880000000819564,10908766.679999999701977
20140228,5772888.480000000447035,5230747.530000001192093,11003636.010000001639128
20140303,5715149.760000000707805,5158382.920000000856817,10873532.680000001564622
20140304,5779979.200000000186265,5244401.230000000447035,11024380.429999999701977
20140305,5761745.920000000856817,5203440.130000000819564,10965186.050000000745058
20140306,5800238.400000000372529,5208901.610000000335276,11009140.010000001639128
20140307,5821510.560000000521541,5174767.360000000335276,10996277.920000001788139
20140310,5806316.160000000149012,5163844.400000000372529,10970160.560000000521541
20140311,5742499.680000000633299,5191151.800000000745058,10933651.480000000447035
20140312,5754655.200000000186265,5225286.050000000745058,10979941.250000000000000
20140313,5651333.280000000260770,5173401.990000000223517,10824735.269999999552965
20140314,5642216.640000000596046,5147459.960000000894070,10789676.600000001490116
20140317,5698942.400000000372529,5195247.910000000149012,10894190.310000000521541
20140318,5709072.000000000000000,5400053.410000000149012,11109125.410000000149012
20140319,5671592.480000000447035,5361823.050000000745058,11033415.530000001192093
20140320,5631074.080000001005828,5506552.270000000484288,11137626.350000001490116
20140321,5536868.799999999813735,5483340.980000000447035,11020209.780000001192093
20140324,5447728.320000000298023,5529763.560000000521541,10977491.880000000819564
20140325,5590555.680000000633299,5507917.640000000596046,11098473.320000000298023
20140326,5674631.360000000335276,5432822.290000000037253,11107453.650000000372529
20140327,5645255.520000000484288,5374111.380000000819564,11019366.900000002235174
20140328,5670579.520000000484288,5502456.160000000149012,11173035.679999999701977
