訓練日期,20100730 - 20101029
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11201631.080000000074506
真實報酬,1201631.080000000074506

夏普值報酬,0.111463108000000
夏普值風險,0.033219301924574
夏普值,3.355371773105926

預期報酬,20572.749386430361483
風險,99536.738633927117917
趨勢值,0.206684985551839
找到最佳解世代,1541
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](1),MCD[15](2),VZ[26](3),
Stock#,KO[14](1),MCD[15](2),VZ[26](3),
張數,121212,48044,115420,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,3.000000000000000,40.280000000260770,3.399999999906868,
20100730,3340605.719999999739230,3350148.400000000372529,3354108.599999999627471,10044863.719999998807907
20100802,3419393.520000000018626,3375131.280000000260770,3411818.599999999627471,10206344.400000000372529
20100803,3416969.280000000260770,3384740.080000000540167,3409510.199999999720603,10211220.560000000521541
20100804,3427878.360000000335276,3396270.640000000130385,3393351.399999999906868,10217501.400000000372529
20100805,3416969.280000000260770,3384740.080000000540167,3410664.399999999906868,10212374.760000001639128
20100806,3439999.560000000055879,3446716.839999999850988,3410664.399999999906868,10297381.800000000745058
20100809,3461817.719999999739230,3503408.760000000242144,3446444.599999999627471,10411672.080000000074506
20100810,3453332.879999999888241,3499565.240000000223517,3464911.799999999813735,10417810.919999999925494
20100811,3396363.239999999757856,3438549.359999999869615,3411818.599999999627471,10246732.199999999254942
20100812,3375757.200000000186265,3462090.920000000391155,3499537.799999999813735,10337386.920000001788139
20100813,3378181.439999999944121,3453923.440000000409782,3466066.000000000000000,10298171.880000000819564
20100816,3386666.280000000260770,3449119.040000000502914,3457986.600000000093132,10293772.919999999925494
20100817,3401211.719999999739230,3517821.960000000428408,3482224.800000000279397,10401259.480000000447035
20100818,3384242.040000000037253,3519263.280000000260770,3479916.399999999906868,10383422.720000000670552
20100819,3350302.680000000167638,3505810.960000000428408,3418743.799999999813735,10274858.440000001341105
20100820,3351514.799999999813735,3511095.800000000279397,3389888.799999999813735,10252500.399999998509884
20100823,3369696.600000000093132,3523587.240000000223517,3394505.600000000093132,10287790.439999999478459
20100824,3373332.959999999962747,3493799.960000000428408,3401430.799999999813735,10268564.719999998807907
20100825,3357575.399999999906868,3516380.640000000130385,3423360.600000000093132,10297317.640000000596046
20100826,3343029.959999999962747,3514939.320000000298023,3404893.399999999906868,10262863.679999999701977
20100827,3403635.959999999962747,3554815.839999999850988,3444136.199999999720603,10402589.000000000000000
20100830,3367272.360000000335276,3494760.839999999850988,3397968.200000000186265,10260002.400000000372529
20100831,3386666.280000000260770,3510134.920000000391155,3408356.000000000000000,10305158.200000001117587
20100901,3473938.919999999925494,3581240.040000000502914,3492612.600000000093132,10547792.560000000521541
20100902,3477575.280000000260770,3604301.160000000149012,3475299.599999999627471,10557177.039999999105930
20100903,3488484.360000000335276,3607664.240000000223517,3485687.399999999906868,10581837.000000000000000
20100907,3493332.839999999850988,3641775.479999999981374,3487995.799999999813735,10623105.120000001043081
20100908,3505454.040000000037253,3655227.800000000279397,3515696.600000000093132,10676379.439999999478459
20100909,3533332.799999999813735,3573072.560000000521541,3559556.199999999720603,10665962.560000000521541
20100910,3546666.120000000111759,3603820.720000000670552,3557247.799999999813735,10707735.640000000596046
20100913,3517575.239999999757856,3582681.359999999869615,3566481.399999999906868,10666739.000000000000000
