訓練日期,20101021 - 20110124
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11738852.820000000298023
真實報酬,1738852.820000000298023

夏普值報酬,0.165185282000000
夏普值風險,0.046880998590355
夏普值,3.523501780399061

預期報酬,26604.102884855612501
風險,101183.066060848184861
趨勢值,0.262930388656702
找到最佳解世代,2436
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
CAT[3](3),DIS[6](5),XOM[29](1),
Stock#,CAT[3](3),DIS[6](5),XOM[29](1),
張數,41500,96283,50497,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,53.000000000465661,15.540000000037253,26.029999999795109,
20101021,3273988.000000000465661,3339109.979999999981374,3348987.069999999366701,9962086.050000000745058
20101022,3250748.000000000465661,3367032.049999999813735,3349997.009999999776483,9967778.060000000521541
20101025,3280628.000000000465661,3414210.720000000204891,3342927.430000000167638,10037767.150000000372529
20101026,3264028.000000000931323,3462352.220000000204891,3359591.439999999944121,10085972.660000000149012
20101027,3246183.000000000465661,3458500.900000000372529,3316164.020000000018626,10020848.919999999925494
20101028,3226263.000000000465661,3515307.869999999646097,3343937.369999999646097,10085509.240000000223517
20101029,3261953.000000000000000,3478720.330000000074506,3357571.559999999590218,10098245.890000000596046
20101101,3289758.000000000465661,3469092.030000000260770,3380800.180000000167638,10139651.210000000894070
20101102,3309678.000000000465661,3476794.669999999925494,3425742.509999999776483,10212216.179999999701977
20101103,3315073.000000000465661,3494125.609999999869615,3432307.119999999646097,10241506.730000000447035
20101104,3452023.000000000931323,3565375.030000000260770,3503507.889999999664724,10520906.920000001788139
20101105,3466963.000000000931323,3581743.140000000130385,3534816.029999999795109,10583523.169999999925494
20101108,3449533.000000000465661,3568263.520000000484288,3550975.069999999366701,10568772.589999999850988
20101109,3399318.000000000465661,3549006.919999999925494,3566629.139999999664724,10514955.059999998658895
20101110,3422143.000000000000000,3561523.710000000428408,3591877.639999999664724,10575545.350000001490116
20101111,3421313.000000000465661,3459463.729999999981374,3627225.539999999571592,10508003.269999999552965
20101112,3363213.000000000931323,3634698.790000000037253,3584808.059999999590218,10582720.850000001490116
20101115,3395583.000000000000000,3586557.290000000037253,3559054.589999999850988,10541195.879999998956919
20101116,3335408.000000000465661,3554783.900000000372529,3481289.209999999497086,10371482.109999999403954
20101117,3368608.000000000465661,3583668.799999999813735,3484824.000000000000000,10437101.800000000745058
20101118,3449118.000000000465661,3618330.679999999701977,3550470.100000000093132,10617919.779999999329448
20101119,3484808.000000000465661,3563449.369999999646097,3562084.410000000149012,10610342.780000001192093
20101122,3486053.000000000465661,3557672.390000000130385,3544410.459999999497086,10588136.849999999627471
20101123,3429198.000000000465661,3477757.500000000000000,3483309.089999999850988,10390265.589999999850988
20101124,3514688.000000000465661,3549969.750000000000000,3528756.389999999664724,10593415.140000000596046
20101126,3491448.000000000465661,3533601.640000000130385,3495933.339999999850988,10520983.980000000447035
20101129,3472358.000000000465661,3506642.400000000372529,3507042.680000000167638,10486044.080000000074506
20101130,3510953.000000000000000,3515307.869999999646097,3512597.350000000093132,10538859.219999998807907
20101201,3629228.000000000465661,3574040.500000000000000,3601977.039999999571592,10805246.539999999105930
