訓練日期,20091210 - 20100316
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11128782.980000000447035
真實報酬,1128782.980000000447035

夏普值報酬,0.104178298000000
夏普值風險,0.029820963307658
夏普值,3.493458508540054

預期報酬,17246.003238135916035
風險,122304.698364141615457
趨勢值,0.141008509638680
找到最佳解世代,2097
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](2),MCD[15](1),PG[21](17),TRV[22](10),UNH[23](3),
Stock#,BA[2](2),MCD[15](1),PG[21](17),TRV[22](10),UNH[23](3),
張數,36055,33003,32133,39920,70175,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,29.150000000139698,18.199999999953434,42.079999999841675,8.000000000000000,12.500000000000000,
20091210,1983414.699999999953434,2014851.349999999860302,2000000.000000000000000,2026347.199999999953434,2127016.750000000000000,10151630.000000000000000
20091211,2004687.150000000139698,2034983.179999999934807,2003213.300000000046566,2023952.000000000000000,2138946.500000000000000,10205782.129999998956919
20091214,2020911.900000000139698,2050824.619999999878928,2024742.409999999683350,2036726.400000000139698,2171928.750000000000000,10305134.080000000074506
20091215,2007211.000000000232831,2046204.199999999953434,1996144.039999999804422,2012375.199999999953434,2197893.500000000000000,10259827.940000001341105
20091216,1987741.300000000279397,2060065.459999999962747,1997429.359999999636784,1984032.000000000000000,2259647.500000000000000,10288915.620000001043081
20091217,1963945.000000000000000,2043563.959999999962747,1979113.550000000046566,1931337.600000000093132,2232981.000000000000000,10150941.109999999403954
20091218,1926808.350000000093132,2051814.709999999962747,1977828.229999999748543,1921756.800000000046566,2213332.000000000000000,10091540.089999999850988
20091221,1957815.650000000139698,2067986.179999999934807,1969794.979999999748543,1942914.400000000139698,2257542.250000000000000,10196053.460000000894070
20091222,1986659.650000000139698,2078217.109999999869615,1969794.979999999748543,1953692.799999999813735,2268068.500000000000000,10256433.039999999105930
20091223,1981611.950000000186265,2091088.280000000027940,1970116.309999999823049,1963273.600000000093132,2218946.000000000000000,10225036.140000000596046
20091224,2000360.550000000046566,2093068.459999999962747,1969152.319999999832362,1993612.799999999813735,2223156.500000000000000,10279350.629999998956919
20091228,1988101.850000000093132,2099339.030000000260770,1968188.329999999841675,1989221.599999999860302,2202805.750000000000000,10247656.559999998658895
20091229,1990625.700000000186265,2098678.969999999739230,1978792.219999999739230,1990818.399999999906868,2164911.250000000000000,10223826.539999999105930
20091230,1981611.950000000186265,2075576.869999999878928,1972044.289999999804422,2006387.199999999953434,2176139.250000000000000,10211759.560000000521541
20091231,1951686.300000000279397,2060725.519999999785796,1948265.869999999878928,1990419.199999999953434,2138946.500000000000000,10090043.390000000596046
20100104,2025599.050000000046566,2071946.540000000037253,1964011.039999999804422,1988423.200000000186265,2212630.250000000000000,10262610.080000000074506
20100105,2091940.250000000232831,2056105.099999999860302,1964653.699999999953434,1941317.600000000093132,2209121.500000000000000,10263138.150000000372529
20100106,2155397.049999999813735,2028052.550000000046566,1955335.129999999888241,1913772.799999999813735,2230875.750000000000000,10283433.279999999329448
20100107,2242650.150000000372529,2042903.899999999906868,1944731.239999999990687,1941317.600000000093132,2316489.250000000000000,10488092.140000000596046
20100108,2221017.150000000372529,2040923.719999999972060,1942160.599999999860302,1938523.200000000186265,2294735.000000000000000,10437359.669999999925494
20100111,2194697.000000000000000,2056765.159999999916181,1934448.679999999934807,1937724.800000000046566,2310173.500000000000000,10433809.140000000596046
20100112,2178832.799999999813735,2067986.179999999934807,1956620.449999999953434,1950100.000000000000000,2249121.250000000000000,10402660.679999999701977
20100113,2205152.950000000186265,2065675.969999999972060,1976864.239999999990687,1956886.400000000139698,2283507.000000000000000,10488086.560000000521541
20100114,2219574.950000000186265,2067656.149999999906868,1978792.219999999739230,1967265.600000000093132,2338243.500000000000000,10571532.419999999925494
20100115,2192894.250000000000000,2055445.040000000037253,1954371.139999999897555,1947704.800000000046566,2368418.750000000000000,10518833.980000000447035
20100119,2186764.900000000372529,2095048.639999999897555,1983290.839999999850988,1973253.600000000093132,2465260.250000000000000,10703618.230000000447035
20100120,2170540.150000000372529,2079537.229999999981374,1942481.929999999934807,1953293.600000000093132,2424558.750000000000000,10570411.660000000149012
20100121,2134485.150000000372529,2085807.800000000046566,1922880.800000000046566,1954092.000000000000000,2322805.000000000000000,10420070.750000000000000
20100122,2082926.500000000232831,2092078.369999999878928,1937983.309999999823049,1928543.200000000186265,2327015.499999999534339,10368546.879999998956919
20100125,2083287.050000000279397,2082177.469999999972060,1948265.869999999878928,1951696.800000000046566,2315787.500000000000000,10381214.690000001341105
20100126,2080763.200000000186265,2105939.629999999888241,1950193.849999999860302,2005189.599999999860302,2276489.500000000000000,10418575.779999999329448
20100127,2232915.299999999813735,2103299.389999999664724,1954049.809999999823049,2031936.000000000000000,2332629.500000000000000,10654830.000000000000000
20100128,2255629.950000000186265,2073596.689999999944121,1982005.519999999785796,2006786.400000000139698,2345962.750000000000000,10663981.310000000521541
20100129,2184962.150000000372529,2060395.489999999990687,1977828.229999999748543,2022754.400000000139698,2315787.500000000000000,10561727.769999999552965
20100201,2224622.650000000372529,2108579.870000000111759,1991966.750000000000000,2023552.799999999813735,2324910.250000000000000,10673632.320000000298023
20100202,2233275.849999999627471,2113200.290000000037253,2021207.779999999795109,2039520.800000000046566,2389471.250000000000000,10796675.970000000670552
20100203,2215969.450000000186265,2152143.830000000074506,2013174.529999999795109,2018762.399999999906868,2338243.500000000000000,10738293.710000000894070
20100204,2138811.750000000000000,2114190.379999999888241,1973008.279999999795109,1985229.599999999860302,2277893.000000000000000,10489133.009999999776483
20100205,2105641.150000000372529,2091418.309999999823049,1969794.979999999748543,2007185.600000000093132,2283507.000000000000000,10457547.039999999105930
20100208,2087253.100000000093132,2076566.959999999962747,1960476.409999999683350,1958084.000000000000000,2274384.249999999534339,10356764.719999998807907
20100209,2153954.850000000558794,2098018.910000000149012,1984576.159999999683350,1978842.399999999906868,2315787.500000000000000,10531179.820000000298023
20100210,2146743.850000000558794,2087457.949999999953434,1981684.189999999944121,1983632.799999999813735,2295436.750000000000000,10494955.539999999105930
20100211,2184601.600000000558794,2105279.570000000298023,1991002.759999999776483,2003992.000000000000000,2324208.500000000000000,10609084.429999999701977
20100212,2150709.900000000372529,2098678.969999999739230,1984576.159999999683350,2013972.000000000000000,2258244.000000000000000,10506181.029999999329448
20100216,2208758.450000000186265,2112540.230000000447035,2018958.469999999739230,2060279.199999999953434,2219647.750000000000000,10620184.099999999627471
20100217,2228949.250000000000000,2120790.980000000447035,2019601.129999999888241,2065868.000000000000000,2284208.750000000000000,10719418.109999999403954
20100218,2267528.100000000558794,2128051.639999999664724,2036952.949999999953434,2105388.800000000279397,2294033.250000000000000,10831954.740000000223517
20100219,2292766.600000000558794,2136632.419999999925494,2038880.929999999934807,2110977.600000000093132,2241402.000000000000000,10820659.550000000745058
20100222,2306467.500000000000000,2137622.509999999776483,2037916.939999999944121,2117364.799999999813735,2321401.500000000000000,10920773.250000000000000
20100223,2263201.500000000000000,2140922.810000000521541,2031169.009999999776483,2090219.199999999953434,2302454.250000000000000,10827966.769999999552965
20100224,2288800.549999999813735,2153793.980000000447035,2053019.449999999953434,2107384.799999999813735,2359296.000000000000000,10962294.780000001192093
20100225,2266807.000000000000000,2124751.339999999850988,2046914.179999999934807,2105788.000000000000000,2347366.250000000000000,10891626.769999999552965
20100226,2277262.950000000186265,2107259.750000000000000,2033418.319999999832362,2099400.800000000279397,2376138.000000000000000,10893479.820000000298023
20100301,2307549.150000000372529,2111550.139999999664724,2040808.909999999683350,2118961.600000000093132,2388769.500000000000000,10967639.299999998882413
20100302,2323413.349999999627471,2114520.410000000149012,2047235.509999999776483,2127344.799999999813735,2382453.750000000000000,10994967.820000000298023
20100303,2323773.900000000372529,2099999.089999999850988,2042094.229999999748543,2120558.399999999906868,2392980.000000000000000,10979405.619999999180436
20100304,2363434.400000000372529,2093398.489999999990687,2045950.189999999944121,2137724.000000000000000,2312278.750000000000000,10952785.830000000074506
20100305,2449245.300000000745058,2101319.209999999962747,2046592.849999999860302,2153292.799999999813735,2367717.000000000000000,11118167.160000000149012
20100308,2424367.349999999627471,2149173.560000000521541,2030526.349999999860302,2147704.000000000000000,2322805.000000000000000,11074576.259999999776483
20100309,2444197.600000000558794,2148513.500000000000000,2034060.979999999748543,2138522.399999999906868,2321401.500000000000000,11086695.980000000447035
20100310,2524239.700000000186265,2143233.019999999552965,2024742.409999999683350,2111376.799999999813735,2332629.500000000000000,11136221.429999999701977
20100311,2526403.000000000000000,2152143.830000000074506,2029883.689999999944121,2140518.399999999906868,2350875.000000000000000,11199823.919999999925494
20100312,2517749.799999999813735,2162704.790000000037253,2034703.639999999897555,2122155.199999999720603,2309471.749999999534339,11146785.179999999701977
20100315,2502246.150000000372529,2175905.990000000223517,2046914.179999999934807,2104989.600000000093132,2282805.250000000000000,11112861.169999999925494
20100316,2477728.750000000000000,2180526.410000000149012,2041451.569999999832362,2109780.000000000000000,2319296.250000000000000,11128782.980000000447035
