訓練日期,20161214 - 20170320
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11270715.830000000074506
真實報酬,1270715.830000000074506

夏普值報酬,0.118371583000000
夏普值風險,0.039774790771413
夏普值,2.976045397203573

預期報酬,20958.196421822463890
風險,94767.215614339846070
趨勢值,0.221154502492855
找到最佳解世代,2006
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,3
AAPL[0](2),AXP[1](1),DIS[6](4),
Stock#,AAPL[0](2),AXP[1](1),DIS[6](4),
張數,28937,45142,32097,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,79.970000000204891,47.719999999739230,59.550000000279397,
20161214,3333333.000000000000000,3343715.659999999217689,3339752.400000000372529,10016802.059999998658895
20161215,3351563.310000000055879,3382989.199999999720603,3350665.380000000353903,10085218.890000000596046
20161216,3355903.860000000335276,3385697.719999999739230,3335258.820000000298023,10076861.400000000372529
20161219,3375291.650000000372529,3365383.819999999832362,3379873.650000000372529,10120550.120000001043081
20161220,3384262.120000000111759,3388406.239999999757856,3385009.169999999925494,10157678.529999999329448
20161221,3387445.190000000409782,3400143.159999999217689,3388218.870000000577420,10175808.220000000670552
20161222,3365163.700000000186265,3366738.079999999608845,3383725.290000000502914,10115628.070000000298023
20161223,3371819.209999999962747,3384343.459999999497086,3375059.100000000558794,10131222.769999999552965
20161227,3393232.590000000316650,3384794.879999999888241,3375701.040000000502914,10153729.510000001639128
20161228,3378764.090000000316650,3357258.259999999776483,3347776.650000000372529,10083800.000000000000000
20161229,3377895.980000000447035,3336944.359999999869615,3356121.870000000577420,10070963.210000000894070
20161230,3351563.310000000055879,3344167.079999999608845,3345208.890000000130385,10040940.279999999329448
20170103,3361112.520000000484288,3401497.419999999459833,3404909.310000000055879,10167520.250000000000000
20170104,3357350.709999999962747,3442576.640000000130385,3448561.229999999981374,10248489.580000000074506
20170105,3374423.540000000037253,3400143.159999999217689,3446635.410000000149012,10221203.109999999403954
20170106,3412041.640000000130385,3406914.459999999497086,3497990.610000000335276,10316947.710000000894070
20170109,3443293.600000000093132,3424519.839999999850988,3478090.470000000204891,10345904.910000000149012
20170110,3446766.040000000037253,3460182.020000000018626,3478732.410000000149012,10385681.470000000670552
20170111,3465285.720000000204891,3471918.939999999478459,3512755.229999999981374,10449960.890000000596046
20170112,3450817.220000000204891,3470564.679999999701977,3451449.960000000428408,10372832.860000001266599
20170113,3444740.450000000186265,3458827.759999999776483,3468461.370000000577420,10372030.580000000074506
20170117,3472519.970000000204891,3457924.919999999459833,3465572.640000000130385,10396018.529999999329448
20170118,3472230.600000000093132,3498101.299999999348074,3471671.070000000298023,10442003.969999998807907
20170119,3466153.830000000074506,3461987.699999999720603,3443425.710000000428408,10371568.240000000223517
20170120,3472519.970000000204891,3439868.119999999646097,3455622.570000000298023,10368011.660000000149012
20170123,3474834.930000000167638,3429485.459999999497086,3438290.190000000409782,10342611.580000000074506
20170124,3471651.860000000335276,3495392.780000000260770,3463325.850000000558794,10430371.490000002086163
20170125,3526921.530000000260770,3471016.099999999627471,3467819.430000000633299,10465758.060000000521541
20170126,3528657.750000000000000,3472821.780000000260770,3468461.370000000577420,10469941.900000000372529
20170127,3528947.120000000111759,3469210.419999999459833,3508261.650000000372529,10506420.189999999478459
20170130,3519687.280000000260770,3488621.479999999981374,3560900.729999999981374,10569210.490000000223517
20170131,3511584.919999999925494,3447993.679999999701977,3551592.600000000558794,10511172.199999999254942
20170201,3725718.720000000204891,3465147.640000000130385,3572455.650000000372529,10763323.010000001639128
20170202,3719352.580000000074506,3453862.140000000130385,3550308.720000000204891,10723524.440000001341105
20170203,3735267.930000000633299,3522929.399999999906868,3540358.650000000372529,10798556.980000000447035
20170206,3770281.700000000186265,3512998.159999999217689,3516927.839999999850988,10800208.699999999254942
20170207,3806163.580000000074506,3508483.959999999497086,3498632.550000000279397,10813281.089999999850988
20170208,3820921.450000000186265,3512095.319999999832362,3498632.550000000279397,10831650.320000000298023
20170209,3831917.509999999776483,3529249.280000000260770,3514360.080000000074506,10875527.870000001043081
20170210,3823236.410000000149012,3542791.879999999888241,3506977.770000000484288,10873007.060000000521541
20170213,3857092.700000000186265,3562202.939999999478459,3519495.600000000558794,10938792.240000000223517
20170214,3907153.710000000428408,3584773.939999999478459,3541321.560000000055879,11033250.210000000894070
20170215,3921332.839999999850988,3593350.919999999459833,3536507.010000000707805,11051191.769999999552965
20170216,3916702.919999999925494,3589288.140000000130385,3553518.419999999925494,11059510.480000000447035
