訓練日期,20091228 - 20100331
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11131443.830000001937151
真實報酬,1131443.830000001937151

夏普值報酬,0.104444383000000
夏普值風險,0.037893338700423
夏普值,2.756272911862321

預期報酬,18087.863886937502684
風險,140710.771631559153320
趨勢值,0.128546405347696
找到最佳解世代,2229
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),PG[21](2),TRV[22](3),UNH[23](4),
Stock#,BA[2](1),PG[21](2),TRV[22](3),UNH[23](4),
張數,45061,40796,50060,78914,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,15.720000000204891,21.120000000111759,3.600000000093132,4.479999999981374,
20091228,2484679.260000000242144,2498776.120000000111759,2494493.399999999906868,2477114.939999999944121,9955063.720000000670552
20091229,2487833.530000000260770,2512238.799999999813735,2496495.799999999813735,2434501.379999999888241,9931069.509999999776483
20091230,2476568.280000000260770,2503671.640000000130385,2516019.200000000186265,2447127.620000000111759,9943386.740000000223517
20091231,2439167.650000000372529,2473482.600000000093132,2495995.200000000186265,2405303.200000000186265,9813948.650000000372529
20100104,2531542.700000000186265,2493472.640000000130385,2493492.200000000186265,2488162.899999999906868,10006670.439999999478459
20100105,2614454.940000000409782,2494288.560000000055879,2434421.400000000372529,2484217.200000000186265,10027382.100000001490116
20100106,2693762.300000000279397,2482457.720000000204891,2399880.000000000000000,2508680.540000000037253,10084780.560000000521541
20100107,2802809.920000000391155,2468995.040000000037253,2434421.400000000372529,2604955.619999999646097,10311181.980000000447035
20100108,2775773.320000000298023,2465731.359999999869615,2430917.200000000186265,2580492.280000000260770,10252914.160000000149012
20100111,2742878.790000000037253,2455940.320000000298023,2429916.000000000000000,2597853.360000000335276,10226588.470000000670552
20100112,2723051.950000000186265,2484089.560000000055879,2445434.600000000093132,2529198.179999999701977,10181774.289999999105930
20100113,2755946.479999999981374,2509791.040000000037253,2453944.800000000279397,2567866.040000000037253,10287548.359999999403954
20100114,2773970.880000000353903,2512238.799999999813735,2466960.400000000372529,2629418.959999999962747,10382589.039999999105930
20100115,2740625.740000000223517,2481233.840000000316650,2442431.000000000000000,2663351.979999999981374,10327642.560000000521541
20100119,2732965.370000000111759,2517950.240000000223517,2474469.399999999906868,2772253.300000000279397,10497638.310000000521541
20100120,2712687.920000000391155,2466139.320000000298023,2449439.399999999906868,2726483.179999999701977,10354749.820000000298023
20100121,2667626.920000000391155,2441253.760000000242144,2450440.600000000093132,2612057.879999999888241,10171379.160000000149012
20100122,2603189.690000000409782,2460427.880000000353903,2418402.200000000186265,2616792.719999999739230,10098812.490000000223517
20100125,2603640.300000000279397,2473482.600000000093132,2447437.000000000000000,2604166.479999999981374,10128726.380000000819564
20100126,2600486.030000000260770,2475930.359999999869615,2514517.399999999906868,2559974.639999999664724,10150908.429999999701977
20100127,2790643.450000000186265,2480825.880000000353903,2548057.600000000093132,2623105.840000000316650,10442632.769999999552965
20100128,2819031.880000000353903,2516318.399999999906868,2516519.800000000279397,2638099.500000000000000,10489969.580000000074506
20100129,2730712.320000000298023,2511014.919999999925494,2536543.800000000279397,2604166.479999999981374,10382437.520000001415610
20100201,2780279.420000000391155,2528965.160000000149012,2537545.000000000000000,2614425.300000000279397,10461214.880000000819564
20100202,2791094.060000000055879,2566089.520000000018626,2557569.000000000465661,2687026.179999999701977,10601778.759999999776483
20100203,2769464.780000000260770,2555890.520000000018626,2531537.800000000279397,2629418.959999999962747,10486312.060000002384186
20100204,2673034.240000000223517,2504895.520000000018626,2489487.399999999906868,2561552.919999999925494,10228970.080000000074506
20100205,2631578.120000000111759,2500815.919999999925494,2517020.400000000372529,2567866.040000000037253,10217280.480000000447035
20100208,2608597.010000000242144,2488985.080000000074506,2455446.600000000093132,2557607.219999999739230,10110635.910000000149012
20100209,2691959.860000000335276,2519582.080000000074506,2481477.800000000279397,2604166.479999999981374,10297186.220000000670552
20100210,2682947.660000000149012,2515910.440000000409782,2487485.000000000000000,2581281.419999999925494,10267624.519999999552965
20100211,2730261.710000000428408,2527741.280000000260770,2513015.600000000093132,2613636.159999999683350,10384654.750000000000000
20100212,2687904.370000000111759,2519582.080000000074506,2525530.600000000093132,2539457.000000000000000,10272474.050000000745058
20100216,2760452.580000000074506,2563233.799999999813735,2583600.200000000186265,2496054.299999999813735,10403340.879999998956919
20100217,2785686.740000000223517,2564049.720000000204891,2590608.600000000093132,2568655.179999999701977,10509000.240000000223517
20100218,2833902.010000000242144,2586079.560000000055879,2640168.000000000000000,2579703.139999999664724,10639852.710000000894070
20100219,2865444.710000000428408,2588527.320000000298023,2647176.400000000372529,2520517.640000000130385,10621666.070000002160668
20100222,2882567.890000000130385,2587303.440000000409782,2655186.000000000000000,2610479.599999999627471,10735536.929999999701977
20100223,2828494.690000000409782,2578736.280000000260770,2621145.200000000186265,2589172.820000000298023,10617548.990000002086163
20100224,2860488.000000000000000,2606477.560000000055879,2642671.000000000000000,2653093.159999999683350,10762729.720000000670552
20100225,2833000.790000000037253,2598726.320000000298023,2640668.600000000093132,2639677.780000000260770,10712073.490000002086163
20100226,2846068.479999999981374,2581592.000000000000000,2632659.000000000465661,2672032.520000000018626,10732352.000000000000000
20100301,2883919.720000000204891,2590975.080000000074506,2657188.399999999906868,2686237.040000000037253,10818320.240000002086163
20100302,2903746.560000000055879,2599134.280000000260770,2667701.000000000000000,2679134.780000000260770,10849716.620000001043081
20100303,2904197.170000000391155,2592606.919999999925494,2659190.799999999813735,2690971.879999999888241,10846966.769999999552965
20100304,2953764.270000000018626,2597502.440000000409782,2680716.600000000093132,2600220.780000000260770,10832204.089999999850988
20100305,3061009.450000000651926,2598318.359999999869615,2700240.000000000000000,2662562.840000000316650,11022130.650000000372529
20100308,3029917.359999999869615,2577920.359999999869615,2693231.600000000093132,2612057.879999999888241,10913127.199999999254942
20100309,3054700.910000000614673,2582407.919999999925494,2681717.800000000279397,2610479.599999999627471,10929306.230000000447035
20100310,3154736.330000000540167,2570577.080000000074506,2647677.000000000000000,2623105.840000000316650,10996096.250000000000000
20100311,3157439.989999999757856,2577104.440000000409782,2684220.799999999813735,2643623.479999999981374,11062388.710000000894070
20100312,3146625.350000000093132,2583223.840000000316650,2661193.199999999720603,2597064.219999999739230,10988106.609999999403954
20100315,3127249.120000000577420,2598726.320000000298023,2639667.399999999906868,2567076.899999999906868,10932719.740000002086163
20100316,3096607.640000000130385,2591791.000000000000000,2645674.600000000093132,2608112.179999999701977,10942185.419999999925494
20100317,3126347.899999999906868,2611373.080000000540167,2652683.000000000000000,2584437.979999999981374,10974841.960000000894070
20100318,3193488.790000000502914,2599950.200000000186265,2672206.400000000372529,2650725.740000000223517,11116371.130000000819564
20100319,3186729.640000000130385,2604437.760000000242144,2676211.200000000186265,2713856.939999999944121,11181235.540000000968575
20100322,3240352.229999999981374,2606069.600000000093132,2672707.000000000000000,2627840.679999999701977,11146969.509999999776483
20100323,3252518.700000000651926,2632587.000000000000000,2698237.600000000093132,2616792.719999999739230,11200136.019999999552965
20100324,3258827.239999999757856,2595054.680000000167638,2706247.200000000186265,2582070.560000000055879,11142199.680000001564622
20100325,3266487.609999999869615,2595462.640000000130385,2707248.399999999906868,2613636.159999999683350,11182834.810000000521541
