訓練日期,20170511 - 20170811
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10900811.869999999180436
真實報酬,900811.869999999180436

夏普值報酬,0.081381187000000
夏普值風險,0.027325287738654
夏普值,2.978237147156565

預期報酬,15805.834539048728402
風險,49820.661501650632999
趨勢值,0.317254610088328
找到最佳解世代,2474
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
CAT[3](2),JNJ[12](8),JPM[13](14),MCD[15](3),UNH[23](1),V[25](5),
Stock#,CAT[3](2),JNJ[12](8),JPM[13](14),MCD[15](3),UNH[23](1),V[25](5),
張數,16606,13571,19062,11532,9612,18066,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,87.840000000083819,11.489999999990687,75.339999999850988,61.359999999869615,41.320000000065193,77.500000000000000,
20170511,1677127.780000000027940,1671958.689999999944121,1661519.259999999776483,1663091.080000000074506,1665993.159999999916181,1663956.099999999860302,10003650.070000000298023
20170512,1672478.100000000093132,1677929.929999999934807,1656944.379999999888241,1676352.880000000121072,1651479.040000000037253,1675337.680000000167638,10010526.009999999776483
20170515,1700874.360000000102445,1723392.780000000027940,1664950.419999999925494,1686962.319999999832362,1648787.680000000167638,1684370.680000000167638,10109342.240000000223517
20170516,1699545.880000000121072,1733978.159999999916181,1670097.159999999916181,1698609.639999999664724,1616010.760000000009313,1682925.400000000139698,10101171.000000000000000
20170517,1663012.680000000167638,1719050.060000000055879,1606430.079999999841675,1688461.479999999748543,1623123.640000000130385,1657813.660000000149012,9957895.599999999627471
20170518,1664341.160000000149012,1723121.359999999869615,1600520.859999999636784,1695380.679999999701977,1648018.719999999972060,1656910.359999999869615,9988297.139999998733401
20170519,1701040.420000000158325,1723528.489999999990687,1616151.699999999953434,1708527.159999999916181,1658976.400000000139698,1670821.180000000167638,10079049.349999999627471
20170522,1698715.580000000074506,1727056.949999999953434,1614626.739999999990687,1708988.439999999944121,1679257.719999999972060,1685815.959999999962747,10114465.390000000596046
20170523,1720967.620000000111759,1730585.409999999916181,1634832.459999999962747,1704721.599999999860302,1684255.959999999962747,1695752.260000000009313,10171119.310000000521541
20170524,1726281.540000000037253,1730449.699999999953434,1633879.359999999636784,1724095.359999999869615,1687812.400000000139698,1712914.959999999962747,10215437.320000000298023
20170525,1744049.959999999962747,1730721.120000000111759,1627017.039999999804422,1727324.319999999832362,1711457.920000000158325,1717070.140000000130385,10257644.500000000000000
20170526,1754677.800000000046566,1722442.810000000055879,1627207.659999999916181,1728246.880000000121072,1706171.320000000065193,1710385.719999999972060,10249136.190000001341105
20170530,1751522.660000000149012,1725021.300000000046566,1599377.139999999897555,1729054.119999999878928,1697424.400000000139698,1711289.020000000018626,10213692.639999998733401
20170531,1750858.420000000158325,1740492.239999999990687,1566018.639999999897555,1740124.839999999618158,1683871.480000000214204,1720502.680000000167638,10201872.299999998882413
