訓練日期,20130322 - 20130624
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11524314.109999999403954
真實報酬,1524314.109999999403954

夏普值報酬,0.143731411000000
夏普值風險,0.052671518695465
夏普值,2.728826025143186

預期報酬,30997.812794320183457
風險,148296.469334678316955
趨勢值,0.209025966251184
找到最佳解世代,2404
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),CSCO[4](14),INTC[11](3),UNH[23](7),
Stock#,BA[2](1),CSCO[4](14),INTC[11](3),UNH[23](7),
張數,29645,119961,118821,45405,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,37.149999999906868,12.760000000242144,6.160000000149012,0.699999999720603,
20130322,2514526.049999999813735,2489203.510000000242144,2534458.089999999850988,2472756.999999999534339,10010944.650000000372529
20130325,2515415.399999999906868,2501199.610000000335276,2513070.310000000055879,2490918.999999999534339,10020604.320000000298023
20130326,2567887.049999999813735,2501199.610000000335276,2586739.330000000074506,2526788.949999999720603,10182614.939999999478459
20130327,2555436.149999999906868,2498800.390000000130385,2593868.589999999850988,2570831.799999999813735,10218936.929999999701977
20130328,2545060.399999999906868,2507197.660000000149012,2595056.800000000279397,2597620.749999999534339,10244935.610000001266599
20130401,2527273.399999999906868,2498800.390000000130385,2546340.189999999944121,2677533.549999999813735,10249947.530000001192093
20130402,2492885.200000000186265,2545585.180000000167638,2549904.820000000298023,2803305.399999999906868,10391680.600000001490116
20130403,2500889.350000000093132,2543185.959999999962747,2501188.210000000428408,2800127.049999999813735,10345390.570000000298023
20130404,2518379.899999999906868,2523992.200000000186265,2511882.100000000093132,2816472.849999999627471,10370727.049999998882413
20130405,2554546.799999999813735,2472408.970000000204891,2488117.900000000372529,2819651.199999999720603,10334724.869999999180436
20130408,2571740.899999999906868,2467610.530000000260770,2505941.050000000279397,2810116.149999999906868,10355408.630000000819564
20130409,2585377.599999999627471,2515594.930000000167638,2584362.910000000149012,2823283.599999999627471,10508619.039999999105930
20130410,2603461.049999999813735,2575575.430000000167638,2644961.620000000111759,2833726.749999999534339,10657724.849999999627471
20130411,2624509.000000000000000,2601966.850000000558794,2593868.589999999850988,2859607.599999999627471,10679952.039999999105930
20130412,2635181.199999999720603,2583972.700000000186265,2576045.439999999944121,2861877.849999999627471,10657077.189999999478459
20130415,2572333.799999999813735,2525191.810000000521541,2540399.140000000130385,2796494.649999999906868,10434419.400000000372529
20130416,2575891.199999999720603,2538387.520000000484288,2604562.480000000447035,2851888.750000000000000,10570729.950000001117587
20130417,2569962.199999999720603,2474808.189999999944121,2605750.689999999944121,2816472.849999999627471,10466993.929999999701977
20130418,2553064.549999999813735,2468810.140000000130385,2642585.200000000186265,2710225.149999999441206,10374685.039999999105930
20130419,2607611.349999999627471,2454414.820000000298023,2666349.400000000372529,2726116.899999999906868,10454492.470000000670552
20130422,2577373.449999999720603,2470009.750000000000000,2718630.640000000130385,2688884.799999999813735,10454898.640000000596046
20130423,2614133.250000000000000,2508397.270000000484288,2778041.140000000130385,2658009.399999999906868,10558581.060000000521541
20130424,2692692.500000000000000,2446017.550000000279397,2811311.020000000018626,2669360.649999999906868,10619381.720000000670552
20130425,2717594.299999999813735,2476007.800000000279397,2778041.140000000130385,2694333.399999999906868,10665976.640000000596046
20130426,2752575.399999999906868,2479606.630000000353903,2780417.560000000055879,2700690.099999999627471,10713289.689999999478459
20130429,2724412.649999999906868,2516794.540000000502914,2823193.120000000111759,2724754.749999999534339,10789155.060000000521541
20130430,2709886.599999999627471,2509596.880000000353903,2845769.109999999869615,2721122.349999999627471,10786374.939999999478459
20130501,2703068.250000000000000,2444817.939999999944121,2850521.950000000186265,2711587.299999999813735,10709995.439999999478459
20130502,2733602.599999999627471,2486804.290000000502914,2864780.470000000204891,2700690.099999999627471,10785877.460000000894070
20130503,2778959.449999999720603,2498800.390000000130385,2846957.320000000298023,2675263.299999999813735,10799980.460000000894070
20130506,2792299.699999999720603,2496401.169999999925494,2841016.270000000018626,2733381.699999999720603,10863098.839999997988343
20130507,2810086.700000000186265,2444817.939999999944121,2869533.310000000055879,2747003.199999999720603,10871441.150000000372529
20130508,2787852.950000000186265,2485604.680000000167638,2881415.410000000149012,2838267.249999999534339,10993140.290000000968575
20130509,2804750.600000000093132,2498800.390000000130385,2894485.720000000204891,2815564.749999999534339,11013601.460000000894070
20130510,2793781.949999999720603,2531189.860000000335276,2911120.660000000149012,2856429.249999999534339,11092521.720000000670552
20130513,2809197.350000000093132,2551583.229999999981374,2861215.839999999850988,2832818.649999999906868,11054815.070000000298023
20130514,2849218.100000000093132,2551583.229999999981374,2832698.800000000279397,2802851.349999999627471,11036351.480000000447035
20130515,2876195.049999999813735,2544385.570000000298023,2875474.359999999869615,2797402.749999999534339,11093457.730000000447035
20130516,2863151.250000000000000,2865881.050000000279397,2844580.900000000372529,2821467.399999999906868,11395080.600000001490116
20130517,2932520.549999999813735,2907867.399999999906868,2856463.000000000000000,2853250.899999999906868,11550101.849999999627471
20130520,2926591.549999999813735,2873078.709999999962747,2861215.839999999850988,2840537.500000000000000,11501423.599999999627471
20130521,2927480.899999999906868,2880276.370000000577420,2869533.310000000055879,2854613.049999999813735,11531903.629999998956919
20130522,2903172.000000000000000,2799902.500000000000000,2860027.630000000353903,2827824.099999999627471,11390926.230000000447035
20130523,2957125.899999999906868,2820295.870000000577420,2857651.210000000428408,2831456.499999999534339,11466529.480000000447035
20130524,2964537.149999999906868,2822695.090000000316650,2842204.480000000447035,2817835.000000000000000,11447271.720000000670552
20130528,2967798.100000000093132,2865881.050000000279397,2861215.839999999850988,2875953.399999999906868,11570848.390000000596046
20130529,2937560.200000000186265,2893472.080000000540167,2883791.830000000074506,2876407.449999999720603,11591231.560000000521541
20130530,2980545.450000000186265,2923462.330000000540167,2876662.570000000298023,2935887.999999999534339,11716558.350000001490116
20130531,2935485.049999999813735,2893472.080000000540167,2884980.040000000502914,2843715.849999999627471,11557653.020000001415610
20130603,2986474.449999999720603,2924661.939999999944121,2999048.200000000186265,2851434.699999999720603,11761619.289999999105930
20130604,2952975.600000000093132,2922262.720000000204891,3013306.720000000204891,2831456.499999999534339,11720001.540000000968575
20130605,2919773.199999999720603,2917464.280000000260770,2934884.859999999869615,2803759.449999999720603,11575881.789999999105930
20130606,2957422.350000000093132,2945055.310000000521541,2928943.810000000055879,2811478.299999999813735,11642899.769999999552965
20130607,3038353.199999999720603,2937857.649999999906868,2921814.550000000279397,2840991.549999999813735,11739016.949999999254942
20130610,3030941.949999999720603,2922262.720000000204891,2971719.370000000111759,2891391.099999999627471,11816315.139999998733401
20130611,3016415.899999999906868,2887474.030000000260770,2936073.070000000298023,2902742.349999999627471,11742705.349999999627471
20130612,2990624.750000000000000,2877877.149999999906868,2906367.820000000298023,2898201.849999999627471,11673071.570000000298023
20130613,3028570.349999999627471,2921063.110000000335276,2969342.950000000186265,2912731.450000000186265,11831707.859999999403954
20130614,3018787.500000000000000,2889873.250000000000000,2961025.480000000447035,2896839.699999999720603,11766525.929999999701977
20130617,3054361.500000000000000,2963049.459999999962747,2982413.260000000242144,2922720.549999999813735,11922544.769999999552965
20130618,3085488.750000000000000,2977444.780000000260770,3026377.029999999795109,2982201.100000000093132,12071511.660000000149012
20130619,3031238.399999999906868,2960650.240000000223517,2970531.160000000149012,2963131.000000000000000,11925550.800000000745058
20130620,2953864.949999999720603,2931859.600000000558794,2874286.150000000372529,2896839.699999999720603,11656850.400000000372529
20130621,2963944.250000000000000,2936658.040000000502914,2875474.359999999869615,2901380.199999999720603,11677456.849999999627471
20130624,2900800.399999999906868,2886274.419999999925494,2801805.339999999850988,2935433.950000000186265,11524314.109999999403954
