訓練日期,20160222 - 20160523
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11018681.269999999552965
真實報酬,1018681.269999999552965

夏普值報酬,0.093168127000000
夏普值風險,0.033093341041425
夏普值,2.815313415571290

預期報酬,18818.974365771628072
風險,84630.837917405209737
趨勢值,0.222365450099145
找到最佳解世代,1943
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
IBM[10](14),JNJ[12](1),PFE[20](6),XOM[29](11),
Stock#,IBM[10](14),JNJ[12](1),PFE[20](6),XOM[29](11),
張數,18785,24001,84774,30303,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,92.199999999720603,55.839999999850988,14.740000000223517,2.500000000000000,
20160222,2512961.649999999906868,2514160.589999999850988,2547473.440000000409782,2496666.669999999925494,10071262.350000001490116
20160223,2487226.199999999720603,2498079.919999999925494,2539843.780000000260770,2461515.189999999944121,9986665.089999999850988
20160224,2494740.199999999720603,2519200.799999999813735,2544930.220000000204891,2470303.060000000055879,10029174.280000001192093
20160225,2526674.699999999720603,2553282.219999999739230,2593251.400000000372529,2485151.530000000260770,10158359.850000001490116
20160226,2480275.749999999534339,2538881.619999999646097,2562732.760000000242144,2477272.750000000000000,10059162.879999998956919
20160229,2461490.749999999534339,2525201.049999999813735,2515259.320000000298023,2428787.950000000186265,9930739.070000000298023
20160301,2524232.649999999906868,2573443.060000000055879,2546625.700000000186265,2463030.339999999850988,10107331.750000000000000
20160302,2560487.699999999720603,2569122.879999999888241,2541539.260000000242144,2506060.600000000093132,10177210.439999999478459
20160303,2588665.199999999720603,2559762.489999999757856,2533909.600000000093132,2496969.700000000186265,10179306.989999998360872
20160304,2588665.199999999720603,2556162.339999999850988,2518650.280000000260770,2493636.370000000111759,10157114.189999999478459
20160307,2632809.949999999720603,2561922.579999999608845,2525432.200000000186265,2559393.879999999888241,10279558.609999999403954
20160308,2612522.149999999441206,2549442.060000000055879,2488979.380000000353903,2503939.389999999664724,10154882.980000000447035
20160309,2637694.049999999813735,2564322.679999999701977,2521193.500000000000000,2496969.700000000186265,10220179.929999999701977
20160310,2633561.349999999627471,2571522.979999999981374,2508477.400000000372529,2490303.040000000037253,10203864.769999999552965
20160311,2674324.799999999813735,2585203.549999999813735,2585621.740000000223517,2490606.069999999832362,10335756.160000000149012
20160314,2682214.499999999534339,2584003.500000000000000,2551712.140000000130385,2497272.729999999981374,10315202.870000001043081
20160315,2685595.799999999813735,2586403.600000000093132,2504238.700000000186265,2509696.959999999962747,10285935.060000000521541
20160316,2719972.349999999627471,2578003.250000000000000,2461851.700000000186265,2511212.110000000335276,10271039.410000000149012
20160317,2762238.599999999627471,2561922.579999999608845,2487283.900000000372529,2548484.799999999813735,10359929.879999998956919
