訓練日期,20110705 - 20111004
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10473613.599999997764826
真實報酬,473613.599999997764826

夏普值報酬,0.038661360000000
夏普值風險,0.028099493713286
夏普值,1.375873899881676

預期報酬,16794.755340094990970
風險,291961.082588106859475
趨勢值,0.057523952135048
找到最佳解世代,2430
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),MCD[15](2),
Stock#,AAPL[0](1),MCD[15](2),
張數,101957,58377,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,28.719999999739230,9.949999999254942,
20110705,5089722.160000000149012,4999416.229999999515712,10089138.390000000596046
20110706,5123367.969999999739230,5012259.169999998994172,10135627.139999998733401
20110707,5202894.429999999701977,5023934.569999999366701,10226829.000000000000000
20110708,5239598.950000000186265,4997081.149999998509884,10236680.099999997764826
20110711,5155994.209999999962747,4982486.899999998509884,10138481.109999999403954
20110712,5152935.500000000000000,4961471.179999998770654,10114406.679999999701977
20110713,5215129.269999999552965,4959719.869999999180436,10174849.139999998733401
20110714,5211050.989999999292195,5009340.319999999366701,10220391.309999998658895
20110715,5315047.129999999888241,4990075.909999999217689,10305123.039999999105930
20110718,5444532.519999999552965,4985405.750000000000000,10429938.269999999552965
20110719,5489393.599999999627471,5032691.119999999180436,10522084.719999998807907
20110720,5635192.110000000335276,5036193.739999999292195,10671385.849999999627471
20110721,5641309.529999999329448,5051955.529999999329448,10693265.059999998658895
20110722,5728992.549999999813735,5169877.069999999366701,10898869.619999999180436
20110725,5804440.729999999515712,5144191.189999999478459,10948631.919999998062849
20110726,5875810.629999999888241,5138353.489999999292195,11014164.119999999180436
20110727,5717777.279999999329448,5084062.879999999888241,10801840.160000000149012
20110728,5706562.009999999776483,5065966.009999999776483,10772528.019999999552965
20110729,5687190.179999999701977,5048452.909999999217689,10735643.089999999850988
20110801,5778951.479999999515712,5043198.979999999515712,10822150.459999999031425
20110802,5664759.639999999664724,4965557.569999999366701,10630317.209999999031425
20110803,5717777.279999999329448,4993578.529999999329448,10711355.809999998658895
20110804,5496530.589999999850988,4920023.509999999776483,10416554.099999999627471
20110805,5441473.809999999590218,4966725.109999999403954,10408198.919999998062849
20110808,5144778.939999999478459,4793345.419999998994172,9938124.359999999403954
20110809,5447591.229999999515712,5018096.869999999180436,10465688.099999997764826
20110810,5297714.439999999478459,4908348.109999999403954,10206062.549999998882413
20110811,5443512.950000000186265,5036777.509999999776483,10480290.460000000894070
20110812,5491432.739999999292195,5049620.449999999254942,10541053.189999997615814
20110815,5584213.610000000335276,5068301.089999998919666,10652514.699999999254942
20110816,5541391.669999999925494,5059544.539999999105930,10600936.209999999031425
20110817,5541391.669999999925494,5107997.449999999254942,10649389.119999999180436
20110818,5331360.250000000000000,4997664.919999998994172,10329025.169999998062849
20110819,5185561.739999999292195,5092235.659999999217689,10277797.399999998509884
20110822,5191679.160000000149012,5123175.469999999739230,10314854.629999998956919
20110823,5441473.809999999590218,5226502.759999999776483,10667976.570000000298023
20110824,5479197.900000000372529,5261528.959999999031425,10740726.859999999403954
20110825,5443512.950000000186265,5178633.619999999180436,10622146.570000000298023
20110826,5587272.319999999366701,5249853.559999999590218,10837125.879999998956919
20110829,5680053.189999999478459,5300057.779999999329448,10980110.969999998807907
20110830,5680053.189999999478459,5299474.009999999776483,10979527.199999999254942
20110831,5605624.579999999143183,5277874.519999998621643,10883499.099999997764826
20110901,5549548.229999999515712,5258026.339999998919666,10807574.569999998435378
20110902,5448610.799999999813735,5200816.879999999888241,10649427.679999999701977
20110906,5531195.969999999739230,5185055.089999998919666,10716251.059999998658895
20110907,5592370.169999999925494,5212492.279999999329448,10804862.449999999254942
20110908,5595428.879999999888241,5172795.919999998994172,10768224.799999998882413
20110909,5498569.729999999515712,4963806.259999999776483,10462375.989999998360872
20110912,5534254.679999999701977,5031523.579999999143183,10565778.259999997913837
20110913,5602565.870000000111759,5027437.189999999478459,10630003.059999998658895
20110914,5669857.489999999292195,5064214.699999999254942,10734072.189999997615814
20110915,5723894.700000000186265,5141272.339999998919666,10865167.039999999105930
20110916,5832988.689999999478459,5154115.279999999329448,10987103.969999998807907
20110919,5995100.319999999366701,5184471.319999999366701,11179571.639999998733401
20110920,6021609.139999999664724,5213659.819999999366701,11235268.959999999031425
20110921,6003256.879999999888241,5109164.989999999292195,11112421.869999999180436
20110922,5852360.519999999552965,5019848.179999998770654,10872208.699999999254942
20110923,5889065.039999999105930,5100408.439999999478459,10989473.479999998584390
20110926,5872751.919999999925494,5215411.129999999888241,11088163.050000000745058
20110927,5815656.000000000000000,5238761.929999998770654,11054417.929999999701977
20110928,5783029.759999999776483,5138937.259999999776483,10921967.019999999552965
20110929,5689229.319999999366701,5182720.009999999776483,10871949.329999998211861
20110930,5553626.509999999776483,5126678.089999998919666,10680304.599999997764826
20111003,5455747.789999999105930,5021599.489999999292195,10477347.279999997466803
20111004,5425160.689999999478459,5048452.909999999217689,10473613.599999997764826
