訓練日期,20160722 - 20161021
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10815395.319999998435378
真實報酬,815395.319999998435378

夏普值報酬,0.072839532000000
夏普值風險,0.023896234107033
夏普值,3.048159457835299

預期報酬,15177.642828804766395
風險,95119.419098889848101
趨勢值,0.159564082419653
找到最佳解世代,1912
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),CAT[3](5),GS[8](6),INTC[11](4),JPM[13](3),V[25](2),
Stock#,AAPL[0](1),CAT[3](5),GS[8](6),INTC[11](4),JPM[13](3),V[25](2),
張數,16762,20830,10413,48633,26168,21153,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,20.339999999850988,57.699999999953434,65.349999999860302,13.089999999850988,26.080000000074506,21.129999999888241,
20160722,1653759.259999999776483,1653543.099999999860302,1670414.679999999934807,1685632.869999999646097,1675824.800000000279397,1690357.359999999869615,10029536.069999998435378
20160725,1631633.419999999925494,1639170.399999999906868,1671455.979999999748543,1687091.859999999636784,1671376.239999999990687,1669838.949999999953434,9970570.849999999627471
20160726,1620402.879999999888241,1723740.199999999953434,1678224.429999999934807,1706545.060000000055879,1678179.919999999925494,1660320.099999999860302,10067416.589999999850988
20160727,1725668.239999999990687,1751860.699999999720603,1676454.219999999972060,1693900.479999999748543,1683413.520000000018626,1661166.219999999972060,10192467.379999998956919
20160728,1748967.419999999925494,1727281.300000000046566,1671664.239999999757856,1690982.500000000000000,1677394.879999999888241,1675127.199999999953434,10191421.539999999105930
20160729,1746788.359999999636784,1723948.500000000000000,1653753.879999999888241,1695359.469999999739230,1673993.040000000037253,1651012.779999999795109,10144860.029999999329448
20160801,1777630.439999999711290,1707076.199999999953434,1647193.689999999944121,1694873.139999999897555,1669544.479999999981374,1655454.909999999916181,10151776.859999999403954
20160802,1751314.099999999860302,1692286.899999999906868,1625118.129999999888241,1680769.570000000065193,1665619.280000000027940,1655877.969999999972060,10070989.950000001117587
20160803,1773272.320000000065193,1708742.600000000093132,1648859.769999999785796,1665693.339999999850988,1692048.959999999962747,1664973.759999999776483,10153594.749999998137355
20160804,1774613.280000000027940,1703326.799999999813735,1645840.000000000000000,1681742.229999999748543,1689432.160000000149012,1681261.570000000065193,10176220.039999999105930
20160805,1801600.099999999860302,1719782.500000000000000,1687908.519999999785796,1701195.429999999701977,1734964.479999999981374,1695222.549999999813735,10340677.579999998211861
20160808,1816518.280000000027940,1738112.899999999906868,1695614.139999999897555,1704113.409999999916181,1729730.879999999888241,1691203.479999999981374,10375297.089999999850988
20160809,1823893.559999999823049,1725406.599999999860302,1701966.069999999832362,1698277.449999999953434,1723712.240000000223517,1693530.309999999823049,10366790.230000000447035
