訓練日期,20170109 - 20170411
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10831762.039999999105930
真實報酬,831762.039999999105930

夏普值報酬,0.074476204000000
夏普值風險,0.027081505696248
夏普值,2.750076189830062

預期報酬,14738.863859072222112
風險,63632.574642915642471
趨勢值,0.231624509015732
找到最佳解世代,2117
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](2),DIS[6](11),HD[9](3),KO[14](21),MCD[15](1),MSFT[18](7),
Stock#,AAPL[0](2),DIS[6](11),HD[9](3),KO[14](21),MCD[15](1),MSFT[18](7),
張數,14135,15293,12481,39929,13801,26522,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,8.150000000139698,34.859999999869615,78.070000000065193,29.539999999804422,57.239999999990687,23.520000000018626,
20170109,1681931.800000000046566,1657184.339999999850988,1676401.180000000167638,1649895.819999999832362,1662111.670000000158325,1661361.600000000093132,9988890.410000000149012
20170110,1683628.000000000232831,1657490.199999999720603,1698742.169999999925494,1638715.699999999720603,1659627.489999999990687,1660831.159999999916181,9999038.720000000670552
20170111,1692674.400000000139698,1673700.779999999795109,1693749.770000000018626,1639114.989999999757856,1668322.119999999878928,1675948.699999999953434,10043514.759999999776483
20170112,1685606.900000000139698,1644491.149999999906868,1685886.739999999990687,1635122.089999999850988,1685159.339999999850988,1660565.939999999944121,9996836.160000000149012
20170113,1682638.550000000279397,1652596.439999999944121,1685512.310000000055879,1632327.059999999823049,1676878.739999999990687,1662952.920000000158325,9992910.020000001415610
20170117,1696208.150000000139698,1651220.069999999832362,1696620.400000000139698,1645902.919999999692664,1694129.989999999990687,1658444.179999999934807,10042529.710000000894070
20170118,1696066.800000000046566,1654125.739999999757856,1699491.030000000027940,1648697.949999999720603,1693577.949999999953434,1657648.520000000018626,10049611.989999998360872
20170119,1693098.450000000186265,1640667.899999999906868,1689880.659999999916181,1642708.599999999860302,1686263.420000000158325,1652344.119999999878928,10004967.149999998509884
20170120,1696208.150000000139698,1646479.239999999757856,1692501.669999999925494,1649895.819999999832362,1687367.500000000000000,1664013.800000000046566,10036470.179999999701977
20170123,1697338.950000000186265,1638221.020000000018626,1723329.739999999990687,1654288.009999999776483,1675222.619999999878928,1669848.640000000130385,10058252.980000000447035
