訓練日期,20160425 - 20160726
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10763506.599999999627471
真實報酬,763506.599999999627471

夏普值報酬,0.067650660000000
夏普值風險,0.028886109841637
夏普值,2.341978908578628

預期報酬,12784.371454972502761
風險,117254.493264783362974
趨勢值,0.109030972707399
找到最佳解世代,1977
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
PFE[20](2),XOM[29](1),
Stock#,PFE[20](2),XOM[29](1),
張數,150285,57123,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,18.049999999813735,23.809999999590218,
20160425,4990982.900000000372529,4988575.399999999441206,9979558.300000000745058
20160426,4966937.299999999813735,5005712.299999998882413,9972649.599999997764826
20160427,4959423.049999999813735,5053124.389999999664724,10012547.439999999478459
20160428,4945897.399999999441206,5028561.500000000000000,9974458.899999998509884
20160429,4915840.400000000372529,5049697.009999999776483,9965537.410000000149012
20160502,4929366.049999999813735,5091396.799999998882413,10020762.849999997764826
20160503,5064622.549999999813735,5033131.339999999850988,10097753.890000000596046
20160504,5019537.049999999813735,5023420.429999999701977,10042957.480000000447035
20160505,5045085.500000000000000,5029132.729999999515712,10074218.230000000447035
20160506,5046588.349999999627471,5055980.540000000037253,10102568.890000000596046
20160509,5082656.750000000000000,5059407.919999998994172,10142064.669999998062849
20160510,5079651.049999999813735,5140522.579999999143183,10220173.629999998956919
20160511,4983468.649999999441206,5073117.439999999478459,10056586.089999999850988
20160512,4987977.199999999254942,5122243.219999999739230,10110220.419999998062849
20160513,4987977.199999999254942,5064548.989999999292195,10052526.189999997615814
20160516,5016531.350000000558794,5116530.919999998994172,10133062.269999999552965
20160517,4963931.599999999627471,5114246.000000000000000,10078177.599999999627471
20160518,4984971.500000000000000,5103963.859999999403954,10088935.359999999403954
20160519,5016531.350000000558794,5147377.339999999850988,10163908.690000001341105
20160520,5070633.950000000186265,5126241.829999999143183,10196875.779999999329448
20160523,5060114.000000000000000,5118244.609999999403954,10178358.609999999403954
20160524,5124736.549999999813735,5122243.219999999739230,10246979.769999999552965
20160525,5162307.799999999813735,5155945.790000000037253,10318253.589999999850988
20160526,5174330.599999999627471,5129669.209999999031425,10303999.809999998658895
20160527,5201381.899999999441206,5141665.040000000037253,10343046.939999999478459
20160531,5214907.549999999813735,5085113.269999999552965,10300020.820000000298023
20160601,5222421.799999999813735,5097680.329999999143183,10320102.129999998956919
20160602,5240455.999999999068677,5057123.000000000000000,10297579.000000000000000
20160603,5213404.699999999254942,5047983.320000000298023,10261388.019999999552965
20160606,5249473.099999999627471,5103392.629999999888241,10352865.730000000447035
20160607,5235947.450000000186265,5181651.139999999664724,10417598.589999999850988
20160608,5297564.299999999813735,5186220.979999999515712,10483785.279999999329448
20160609,5306581.400000000372529,5179366.219999999739230,10485947.620000001043081
20160610,5303575.699999999254942,5139951.349999999627471,10443527.049999998882413
20160613,5220918.950000000186265,5174796.379999999888241,10395715.330000000074506
20160614,5258490.200000000186265,5165656.700000000186265,10424146.900000000372529
20160615,5228433.199999999254942,5150233.489999999292195,10378666.689999997615814
20160616,5222421.799999999813735,5210783.869999999180436,10433205.669999998062849
20160617,5142770.750000000000000,5182222.369999999180436,10324993.119999999180436
20160620,5184850.549999999813735,5205071.570000000298023,10389922.120000001043081
20160621,5222421.799999999813735,5228492.000000000000000,10450913.800000000745058
20160622,5180342.000000000000000,5207927.719999999739230,10388269.719999998807907
20160623,5198376.200000000186265,5243915.209999999031425,10442291.410000000149012
20160624,5105199.500000000000000,5106248.779999999329448,10211448.279999999329448
20160627,5079651.049999999813735,5075973.589999999850988,10155624.640000000596046
20160628,5175833.449999999254942,5193075.739999999292195,10368909.189999997615814
20160629,5261495.899999999441206,5281616.389999999664724,10543112.289999999105930
20160630,5291552.900000000372529,5354733.829999999143183,10646286.730000000447035
20160701,5345655.500000000000000,5360446.129999999888241,10706101.629999998956919
20160705,5381723.900000000372529,5313605.269999999552965,10695329.169999999925494
20160706,5389238.149999999441206,5374726.879999999888241,10763965.029999999329448
20160707,5375712.500000000000000,5310177.889999999664724,10685890.390000000596046
20160708,5428312.249999999068677,5343309.229999999515712,10771621.479999998584390
20160711,5432820.799999999813735,5363302.279999999329448,10796123.079999998211861
20160712,5446346.450000000186265,5423852.660000000149012,10870199.109999999403954
20160713,5456866.400000000372529,5419854.049999998882413,10876720.449999999254942
20160714,5548540.250000000000000,5423852.660000000149012,10972392.910000000149012
20160715,5525997.500000000000000,5433563.570000000298023,10959561.070000000298023
20160718,5506460.450000000186265,5416426.669999998994172,10922887.119999999180436
20160719,5506460.450000000186265,5396433.619999999180436,10902894.070000000298023
20160720,5512471.849999999627471,5365587.200000000186265,10878059.050000000745058
20160721,5516980.400000000372529,5361017.359999999403954,10877997.759999999776483
20160722,5521488.950000000186265,5370157.040000000037253,10891645.990000000223517
20160725,5527500.349999999627471,5266764.410000000149012,10794264.759999999776483
20160726,5535014.599999999627471,5228492.000000000000000,10763506.599999999627471
