訓練日期,20151215 - 20160318
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11400120.890000000596046
真實報酬,1400120.890000000596046

夏普值報酬,0.131312089000000
夏普值風險,0.047774860172493
夏普值,2.748560404486616

預期報酬,22733.091948433244397
風險,191935.250151915912284
趨勢值,0.118441463620883
找到最佳解世代,2536
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
VZ[26](2),WMT[28](1),
Stock#,VZ[26](2),WMT[28](1),
張數,110011,82795,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.049999999813735,9.950000000186265,
20151215,5011001.099999999627471,4937903.750000000000000,9948904.849999999627471
20151216,5116611.659999999217689,4992548.450000000186265,10109160.109999999403954
20151217,5071507.150000000372529,4883259.049999999813735,9954766.199999999254942
20151218,5012101.209999999962747,4872495.700000000186265,9884596.910000000149012
20151221,5049504.949999999254942,4930452.200000000186265,9979957.149999998509884
20151222,5097909.790000000037253,5012419.250000000000000,10110329.039999999105930
20151223,5165016.500000000000000,5057956.500000000931323,10222973.000000000000000
20151224,5138613.860000000335276,5036429.799999999813735,10175043.660000000149012
20151228,5143014.299999999813735,5029806.200000000186265,10172820.500000000000000
20151229,5193619.360000000335276,5101009.900000000372529,10294629.260000001639128
20151230,5145214.520000000484288,5106805.549999999813735,10252020.070000000298023
20151231,5084708.469999999739230,5075343.450000000186265,10160051.919999999925494
20160104,5046204.619999999180436,5088590.650000000372529,10134795.269999999552965
20160105,5115511.549999999813735,5209471.350000000558794,10324982.900000000372529
20160106,5007700.770000000484288,5261632.200000000186265,10269332.970000000670552
20160107,4980198.020000000484288,5384168.800000000745058,10364366.820000000298023
20160108,4931793.179999999701977,5260804.250000000000000,10192597.429999999701977
20160111,4960396.040000000037253,5317104.849999999627471,10277500.890000000596046
20160112,4942794.279999999329448,5267427.849999999627471,10210222.129999998956919
20160113,4856985.699999999254942,5126676.350000000558794,9983662.050000000745058
20160114,4936193.619999999180436,5221062.650000000372529,10157256.269999999552965
20160115,4887788.779999999329448,5127504.299999999813735,10015293.079999998211861
20160119,4936193.619999999180436,5179665.150000000372529,10115858.769999999552965
20160120,4886688.669999999925494,5037257.750000000931323,9923946.420000001788139
20160121,5046204.619999999180436,5123364.550000000745058,10169569.169999999925494
20160122,5174917.489999999292195,5190428.500000000000000,10365345.989999998360872
20160125,5173817.379999999888241,5253352.700000000186265,10427170.080000000074506
20160126,5308030.799999999813735,5298889.950000000186265,10606920.750000000000000
20160127,5393839.379999999888241,5294750.200000000186265,10688589.580000000074506
20160128,5391639.159999999217689,5317104.849999999627471,10708744.009999997913837
20160129,5497249.719999999739230,5494286.150000000372529,10991535.870000001043081
20160201,5584158.409999999217689,5588672.450000000186265,11172830.859999999403954
20160202,5490649.059999999590218,5535683.650000000372529,11026332.710000000894070
20160203,5568756.869999999180436,5486834.599999999627471,11055591.469999998807907
20160204,5547854.779999999329448,5499253.850000000558794,11047108.629999998956919
20160205,5607260.719999999739230,5547274.950000000186265,11154535.669999999925494
20160208,5581958.190000000409782,5538995.450000001117587,11120953.640000000596046
20160209,5517051.699999999254942,5448748.900000000372529,10965800.599999999627471
20160210,5498349.829999999143183,5447093.000000000931323,10945442.830000000074506
20160211,5433443.339999999850988,5408179.349999999627471,10841622.689999999478459
20160212,5512651.259999999776483,5479383.050000000745058,10992034.310000000521541
20160216,5526952.690000000409782,5456200.450000001117587,10983153.140000000596046
20160217,5535753.570000000298023,5473587.400000000372529,11009340.970000000670552
20160218,5603960.389999999664724,5308825.350000000558794,10912785.740000000223517
20160219,5595159.509999999776483,5353534.649999999441206,10948694.160000000149012
20160222,5618261.820000000298023,5433845.799999999813735,11052107.620000001043081
20160223,5569856.980000000447035,5504221.550000000745058,11074078.530000001192093
20160224,5590759.070000000298023,5557210.350000000558794,11147969.420000001788139
20160225,5622662.259999999776483,5633381.750000000931323,11256044.010000001639128
20160226,5612761.270000000484288,5506705.400000000372529,11119466.670000001788139
20160229,5580858.079999999143183,5492630.250000000931323,11073488.330000000074506
20160301,5661166.110000000335276,5502565.649999999441206,11163731.759999999776483
20160302,5733773.369999999180436,5481866.899999999441206,11215640.269999999552965
20160303,5708470.839999999850988,5476071.250000000000000,11184542.089999999850988
20160304,5699669.959999999962747,5529060.050000000745058,11228730.010000001639128
20160307,5743674.360000000335276,5620962.500000000000000,11364636.859999999403954
20160308,5771177.110000000335276,5633381.750000000931323,11404558.860000001266599
20160309,5757975.790000000037253,5591156.300000000745058,11349132.089999999850988
20160310,5755775.570000000298023,5581220.899999999441206,11336996.469999998807907
20160311,5778877.879999999888241,5561350.100000000558794,11340227.980000000447035
20160314,5779977.989999999292195,5577081.150000000372529,11357059.140000000596046
20160315,5794279.419999999925494,5637521.500000000931323,11431800.920000001788139
20160316,5853685.360000000335276,5629242.000000000000000,11482927.359999999403954
20160317,5899889.980000000447035,5584532.700000000186265,11484422.679999999701977
20160318,5856985.690000000409782,5543135.200000000186265,11400120.890000000596046
