訓練日期,20110811 - 20111110
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11723467.509999999776483
真實報酬,1723467.509999999776483

夏普值報酬,0.163646751000000
夏普值風險,0.046694906741869
夏普值,3.504595306392744

預期報酬,28522.870349116543366
風險,189121.400394808355486
趨勢值,0.150817783125402
找到最佳解世代,1903
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
INTC[11](5),VZ[26](6),WMT[28](2),
Stock#,INTC[11](5),VZ[26](6),WMT[28](2),
張數,167252,99029,68856,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,0.640000000130385,16.860000000335276,14.040000000037253,
20110811,3472152.160000000614673,3428400.839999999850988,3424222.919999999925494,10324776.919999999925494
20110812,3453754.439999999944121,3396711.560000000055879,3425600.040000000037253,10276067.039999999105930
20110815,3493894.920000000391155,3470983.310000000055879,3441436.919999999925494,10406316.150000000372529
20110816,3477169.720000000204891,3454148.380000000819564,3575017.560000000055879,10506336.660000002011657
20110817,3457099.480000000447035,3526439.550000000279397,3549540.839999999850988,10533080.870000001043081
20110818,3306572.680000000167638,3472963.890000000596046,3566066.279999999795109,10345603.849999999627471
20110819,3209566.520000000484288,3437313.450000000651926,3601182.839999999850988,10248063.810000000521541
20110822,3241344.399999999906868,3448206.640000000596046,3593608.679999999701977,10283160.720000000670552
20110823,3296537.560000000055879,3561099.700000000651926,3663841.800000000279397,10521480.060000000521541
20110824,3311590.240000000223517,3611604.490000000223517,3674858.759999999776483,10598054.490000000223517
20110825,3248034.480000000447035,3542284.190000000875443,3628725.240000000223517,10419044.910000002011657
20110826,3306572.680000000167638,3541293.899999999906868,3642496.439999999944121,10490364.019999999552965
20110829,3395216.240000000223517,3578924.920000000391155,3662464.679999999701977,10636606.839999999850988
20110830,3385181.119999999646097,3595759.850000000558794,3636987.959999999962747,10617929.929999999701977
20110831,3366783.399999999906868,3581895.790000000502914,3662464.679999999701977,10611144.870000001043081
20110901,3343368.119999999646097,3553177.380000000819564,3625282.439999999944121,10521828.939999999478459
20110902,3284829.920000000391155,3521488.100000000558794,3582591.720000000204891,10388910.740000002086163
20110906,3268104.720000000204891,3487818.240000000223517,3558492.120000000111759,10314416.080000001937151
20110907,3358420.799999999813735,3527429.839999999850988,3609445.560000000055879,10495297.199999999254942
20110908,3328315.439999999944121,3503662.880000000819564,3594985.800000000279397,10426965.120000001043081
20110909,3294865.040000000037253,3489798.820000000763685,3536458.200000000186265,10321123.060000002384186
20110912,3391871.200000000186265,3490789.110000000335276,3568131.959999999962747,10450793.269999999552965
20110913,3472152.160000000614673,3515546.360000000335276,3552295.080000000074506,10539994.600000001490116
20110914,3532362.880000000353903,3525449.260000000707805,3594297.240000000223517,10652110.380000000819564
20110915,3602608.720000000204891,3583876.370000000111759,3615642.600000000093132,10802128.689999999478459
20110916,3674527.080000000074506,3636361.740000000223517,3625282.439999999944121,10936172.259999999776483
20110919,3667837.000000000000000,3592788.980000000447035,3611511.240000000223517,10872138.220000000670552
20110920,3712995.040000000037253,3605662.750000000000000,3600494.279999999795109,10919153.070000000298023
20110921,3669509.520000000484288,3549216.220000000670552,3533703.959999999962747,10752430.700000001117587
20110922,3615988.880000000353903,3524458.970000000670552,3462093.720000000204891,10602542.570000002160668
20110923,3706304.959999999962747,3553177.380000000819564,3497898.839999999850988,10757382.179999999701977
20110926,3719685.119999999646097,3600711.300000000279397,3568820.520000000018626,10889217.939999999478459
