訓練日期,20141030 - 20150203
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11490392.910000000149012
真實報酬,1490392.910000000149012

夏普值報酬,0.140339291000000
夏普值風險,0.036187282905350
夏普值,3.878138388202978

預期報酬,23074.613706613999966
風險,120730.043699890738935
趨勢值,0.191125696632502
找到最佳解世代,1633
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](13),HD[9](4),PFE[20](5),UNH[23](2),WBA[27](1),
20141212,1962464.810000000055879,2069693.119999999878928,2099015.740000000223517,2124781.200000000186265,2371467.770000000018626,10627422.640000000596046
20141215,1983751.000000000000000,2075293.459999999729916,2092912.030000000027940,2114239.339999999850988,2337726.910000000149012,10603922.740000000223517
20141216,2019011.330000000074506,2013274.879999999888241,2080026.420000000391155,2062175.459999999962747,2304304.359999999869615,10478792.450000001117587
20141217,2032173.020000000018626,2052269.839999999850988,2110544.970000000670552,2132956.520000000018626,2291571.959999999962747,10619516.309999998658895
20141218,2042084.910000000149012,2088153.500000000000000,2168191.120000000111759,2199649.919999999925494,2367648.049999999813735,10865727.500000000000000
20141219,2051184.350000000093132,2114288.419999999925494,2166156.549999999813735,2205028.419999999925494,2331042.400000000372529,10867700.140000000596046
20141222,2083519.860000000102445,2146853.359999999869615,2176329.400000000372529,2216861.120000000111759,2364146.639999999664724,10987710.379999998956919
20141223,2112930.550000000279397,2152246.279999999795109,2132925.240000000223517,2212773.459999999962747,2435448.080000000074506,11046323.610000001266599
20141224,2132591.840000000316650,2148097.879999999888241,2130890.669999999925494,2209116.080000000074506,2440541.040000000037253,11061237.510000001639128
20141226,2138928.950000000186265,2152038.859999999869615,2146489.040000000037253,2206319.259999999776483,2433856.529999999795109,11077632.639999998733401
20141229,2149653.290000000037253,2168217.620000000111759,2128856.100000000558794,2201586.180000000167638,2444360.760000000242144,11092673.950000001117587
20141230,2142178.750000000465661,2162824.699999999720603,2128177.910000000149012,2212773.459999999962747,2420805.819999999832362,11066760.640000000596046
20141231,2112118.100000000093132,2177344.099999999627471,2112579.540000000037253,2174908.820000000298023,2425580.470000000204891,11002531.029999999329448
20150102,2111630.629999999888241,2145401.419999999925494,2124786.959999999962747,2168239.479999999981374,2419214.270000000018626,10969272.759999999776483
20150105,2097006.530000000260770,2100391.279999999795109,2113257.730000000447035,2132526.240000000223517,2371467.770000000018626,10814649.550000000745058
20150106,2072308.050000000046566,2093961.260000000009313,2130890.669999999925494,2128223.439999999944121,2377515.660000000149012,10802899.080000000074506
20150107,2104481.069999999832362,2165728.579999999608845,2160052.839999999850988,2149952.580000000074506,2438312.869999999646097,11018527.939999999478459
20150108,2141691.280000000260770,2213642.599999999627471,2204135.190000000409782,2252574.360000000335276,2468552.319999999832362,11280595.750000000000000
20150109,2137466.540000000037253,2175684.739999999757856,2214308.040000000037253,2231490.640000000130385,2408710.040000000037253,11167660.000000000000000
20150112,2126579.709999999962747,2165936.000000000000000,2222446.320000000298023,2206319.259999999776483,2409664.970000000204891,11130946.259999999776483
20150113,2131454.409999999683350,2151624.020000000018626,2200066.049999999813735,2217506.540000000037253,2395659.330000000074506,11096310.349999999627471
20150114,2118617.700000000186265,2129015.239999999757856,2202778.809999999590218,2223100.180000000167638,2387064.959999999962747,11060576.890000000596046
20150115,2114717.939999999944121,2095205.780000000027940,2197353.290000000037253,2247411.000000000000000,2380380.450000000186265,11035068.460000000894070
20150116,2125117.300000000279397,2159713.399999999906868,2224480.889999999664724,2275594.339999999850988,2420169.200000000186265,11205075.129999998956919
20150120,2132266.859999999869615,2141667.859999999869615,2244826.589999999850988,2272367.240000000223517,2420805.819999999832362,11211934.370000001043081
20150121,2151603.169999999925494,2147475.620000000111759,2213629.850000000558794,2351969.040000000037253,2406163.560000000055879,11270841.240000000223517
20150122,2204087.439999999944121,2200160.299999999813735,2225159.080000000074506,2449427.459999999962747,2419850.889999999664724,11498685.170000001788139
20150123,2187513.459999999962747,2185640.899999999906868,2200744.240000000223517,2409626.560000000055879,2406163.560000000055879,11389688.720000000670552
20150126,2178576.509999999776483,2206175.479999999981374,2224480.889999999664724,2401236.100000000093132,2414121.310000000055879,11424590.290000000968575
20150127,2152740.600000000093132,2181285.079999999608845,2210917.089999999850988,2366813.700000000186265,2385155.100000000093132,11296911.569999998435378
20150128,2269083.439999999944121,2172573.439999999944121,2166834.740000000223517,2333467.000000000000000,2348231.139999999664724,11290189.760000001639128
20150129,2401350.300000000279397,2232310.399999999906868,2158696.459999999962747,2353475.020000000018626,2373695.939999999944121,11519528.119999999180436
20150130,2362190.209999999962747,2165936.000000000000000,2119361.440000000409782,2285921.060000000055879,2347594.520000000018626,11281003.230000000447035
20150202,2376651.819999999832362,2166143.419999999925494,2146489.040000000037253,2308295.620000000111759,2383881.859999999869615,11381461.759999999776483
20150203,2394200.740000000223517,2224428.439999999944121,2171582.070000000298023,2319482.899999999906868,2380698.760000000242144,11490392.910000000149012
