訓練日期,20161205 - 20170309
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11879768.699999999254942
真實報酬,1879768.699999999254942

夏普值報酬,0.179276870000000
夏普值風險,0.049500623782532
夏普值,3.621709309919154

預期報酬,29936.643704799014813
風險,111000.214053481206065
趨勢值,0.269698972745901
找到最佳解世代,2133
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),BA[2](8),DIS[6](10),V[25](1),
Stock#,AAPL[0](2),BA[2](8),DIS[6](10),V[25](1),
張數,22747,16420,25380,33016,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,104.699999999720603,55.000000000000000,70.000000000000000,28.479999999981374,
20161205,2482029.869999999646097,2498522.199999999720603,2537054.799999999813735,2552495.439999999944121,10070102.309999998658895
20161206,2501137.349999999627471,2499835.800000000279397,2554820.799999999813735,2545892.239999999757856,10101686.189999999478459
20161207,2525704.109999999869615,2531033.799999999813735,2588576.199999999720603,2618527.439999999944121,10263841.549999998882413
20161208,2550498.339999999850988,2551558.799999999813735,2623854.399999999906868,2617536.959999999962747,10343448.500000000000000
20161209,2592125.349999999627471,2569620.800000000279397,2661416.799999999813735,2612914.720000000204891,10436077.669999999925494
20161212,2577339.799999999813735,2580622.199999999720603,2641112.800000000279397,2591784.479999999981374,10390859.280000001192093
20161213,2620331.629999999888241,2572412.199999999720603,2635783.000000000000000,2614895.680000000167638,10443422.509999999776483
20161214,2620331.629999999888241,2536452.399999999906868,2640859.000000000000000,2612584.560000000055879,10410227.589999999850988
20161215,2634662.239999999757856,2524958.400000000372529,2649488.200000000186265,2624800.479999999981374,10433909.320000000298023
20161216,2638074.289999999571592,2536945.000000000000000,2637305.799999999813735,2586832.079999999608845,10399157.169999998062849
20161219,2653314.779999999795109,2564530.600000000093132,2672584.000000000000000,2578578.079999999608845,10469007.459999999031425
20161220,2660366.349999999627471,2567978.799999999813735,2676644.799999999813735,2587162.239999999757856,10492152.189999999478459
20161221,2662868.519999999552965,2585876.599999999627471,2679182.800000000279397,2579898.720000000204891,10507826.640000000596046
20161222,2645353.330000000074506,2585548.200000000186265,2675629.600000000093132,2571974.880000000353903,10478506.010000001639128
20161223,2650585.139999999664724,2591295.200000000186265,2668777.000000000000000,2580228.880000000353903,10490886.220000000670552
20161227,2667417.919999999925494,2585876.599999999627471,2669284.600000000093132,2586832.079999999608845,10509411.199999999254942
20161228,2656044.419999999925494,2563217.000000000000000,2647204.000000000000000,2585181.279999999795109,10451646.699999999254942
20161229,2655362.009999999776483,2556484.799999999813735,2653802.800000000279397,2586171.759999999776483,10451821.369999999180436
20161230,2634662.239999999757856,2556320.600000000093132,2645173.600000000093132,2575936.799999999813735,10412093.239999998360872
20170103,2642168.750000000000000,2577502.399999999906868,2692380.399999999906868,2624800.479999999981374,10536852.030000001192093
20170104,2639211.639999999664724,2604595.399999999906868,2726897.199999999720603,2646260.880000000353903,10616965.119999999180436
20170105,2652632.369999999646097,2606073.200000000186265,2725374.399999999906868,2677295.919999999925494,10661375.890000000596046
20170106,2682203.469999999739230,2612477.000000000000000,2765982.399999999906868,2714273.839999999850988,10774936.709999999031425
20170109,2706770.229999999515712,2599669.399999999906868,2750246.799999999813735,2699086.479999999981374,10755772.909999998286366
20170110,2709499.869999999646097,2611984.399999999906868,2750754.399999999906868,2684559.439999999944121,10756798.109999999403954
20170111,2724057.949999999720603,2617403.000000000000000,2777657.199999999720603,2700737.279999999795109,10819855.429999997839332
20170112,2712684.449999999720603,2599176.799999999813735,2729181.399999999906868,2686540.399999999906868,10727583.050000000745058
20170113,2707907.580000000074506,2608043.600000000093132,2742632.800000000279397,2679937.200000000186265,10738521.179999999701977
