訓練日期,20160615 - 20160915
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11157305.550000000745058
真實報酬,1157305.550000000745058

夏普值報酬,0.107030555000000
夏普值風險,0.041342114184503
夏普值,2.588898925738031

預期報酬,22358.249347034645325
風險,167733.714077854499919
趨勢值,0.133296096553713
找到最佳解世代,2809
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
GS[8](1),MRK[17](5),MSFT[18](3),PG[21](2),
Stock#,GS[8](1),MRK[17](5),MSFT[18](3),PG[21](2),
張數,17101,44444,50170,29994,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,4.810000000055879,25.000000000000000,28.899999999906868,0.100000000093132,
20160615,2499486.970000000204891,2492888.959999999962747,2492976.199999999720603,2488002.400000000372529,9973354.529999999329448
20160616,2507524.439999999944121,2555555.000000000000000,2528095.199999999720603,2501799.640000000130385,10092974.279999999329448
20160617,2490594.449999999720603,2484000.160000000149012,2515051.000000000000000,2493401.319999999832362,9983046.929999999701977
20160620,2526677.560000000055879,2495111.160000000149012,2512040.799999999813735,2490701.860000000335276,10024531.380000000819564
20160621,2536938.160000000149012,2500000.000000000000000,2568231.199999999720603,2501799.640000000130385,10106969.000000000000000
20160622,2533346.949999999720603,2535110.759999999776483,2558197.200000000186265,2506598.679999999701977,10133253.589999999850988
20160623,2610643.470000000204891,2563554.919999999925494,2604353.599999999627471,2525794.839999999850988,10304346.830000000074506
20160624,2425952.670000000391155,2483555.720000000204891,2500000.000000000000000,2467306.540000000037253,9876814.929999999701977
20160627,2385765.319999999832362,2458222.640000000130385,2429762.000000000000000,2436412.720000000204891,9710162.679999999701977
20160628,2435358.220000000204891,2470222.520000000018626,2480433.699999999720603,2473305.339999999850988,9859319.779999999329448
20160629,2488200.310000000055879,2535555.199999999720603,2535620.699999999720603,2516796.640000000130385,10076172.849999999627471
20160630,2540871.390000000130385,2560443.839999999850988,2567227.799999999813735,2539592.080000000074506,10208135.109999999403954
20160701,2535228.060000000055879,2575110.359999999869615,2566726.099999999627471,2542891.419999999925494,10219955.939999999478459
20160705,2470244.259999999776483,2577777.000000000000000,2567227.799999999813735,2562687.459999999962747,10177936.519999999552965
20160706,2489568.390000000130385,2629332.040000000037253,2577763.500000000000000,2550389.919999999925494,10247053.849999999627471
20160707,2513851.810000000055879,2612443.319999999832362,2577763.500000000000000,2544391.120000000111759,10248449.750000000000000
20160708,2571653.189999999944121,2637776.399999999906868,2623919.899999999906868,2572585.479999999981374,10405934.970000000670552
20160711,2602606.000000000000000,2637331.959999999962747,2638469.200000000186265,2571985.600000000093132,10450392.759999999776483
20160712,2683493.729999999981374,2648887.399999999906868,2669574.600000000093132,2571985.600000000093132,10573941.330000000074506
20160713,2700594.729999999981374,2646665.199999999720603,2684625.599999999627471,2576184.760000000242144,10608070.289999999105930
20160714,2779601.350000000093132,2651109.600000000093132,2696164.700000000186265,2575584.880000000353903,10702460.530000001192093
20160715,2764210.449999999720603,2650220.720000000204891,2694157.899999999906868,2579784.040000000037253,10688373.109999999403954
20160718,2793111.140000000130385,2623109.880000000353903,2707202.100000000093132,2577384.520000000484288,10700807.640000000596046
20160719,2760277.220000000204891,2607110.040000000037253,2663554.200000000186265,2584583.080000000074506,10615524.539999999105930
20160720,2766433.580000000074506,2612887.759999999776483,2805033.599999999627471,2559088.179999999701977,10743443.119999999180436
20160721,2737019.860000000335276,2612887.759999999776483,2799514.899999999906868,2557288.540000000037253,10706711.059999998658895
20160722,2743176.220000000204891,2614221.080000000074506,2838145.799999999813735,2571085.780000000260770,10766628.880000000819564
20160725,2744886.319999999832362,2602665.640000000130385,2846172.999999999534339,2573485.299999999813735,10767210.259999997913837
20160726,2756001.970000000204891,2593776.839999999850988,2847678.099999999627471,2557588.479999999981374,10755045.390000000596046
20160727,2753094.800000000279397,2604443.399999999906868,2819081.199999999720603,2533293.339999999850988,10709912.740000000223517
20160728,2745228.339999999850988,2596887.919999999925494,2820084.600000000093132,2543791.240000000223517,10705992.099999999627471
20160729,2715814.620000000111759,2607110.040000000037253,2843664.500000000000000,2567186.560000000055879,10733775.720000000670552
20160801,2705040.990000000223517,2607110.040000000037253,2838647.500000000000000,2591781.640000000130385,10742580.169999999925494
20160802,2668786.870000000111759,2592443.520000000018626,2838647.500000000000000,2602279.540000000037253,10702157.429999999701977
20160803,2707777.149999999906868,2562221.600000000093132,2858213.799999999813735,2578584.280000000260770,10706796.830000000074506
20160804,2702817.860000000335276,2570665.959999999962747,2879285.199999999720603,2580983.799999999813735,10733752.820000000298023
20160805,2771905.899999999906868,2838218.839999999850988,2907882.100000000093132,2572885.419999999925494,11090892.259999999776483
20160808,2784560.640000000130385,2793774.839999999850988,2912899.100000000093132,2572285.540000000037253,11063520.120000001043081
20160809,2794992.250000000000000,2777330.560000000055879,2919922.899999999906868,2579184.160000000149012,11071429.870000001043081
20160810,2773616.000000000000000,2783997.160000000149012,2910892.300000000279397,2588782.240000000223517,11057287.700000001117587
20160811,2802174.670000000391155,2827996.720000000204891,2924939.899999999906868,2601379.720000000204891,11156491.010000001639128
20160812,2791743.060000000055879,2815552.399999999906868,2906878.699999999720603,2610677.860000000335276,11124852.019999999552965
20160815,2831075.360000000335276,2814219.080000000074506,2915909.299999999813735,2610077.979999999981374,11171281.720000000670552
20160816,2832785.459999999962747,2801774.759999999776483,2881793.699999999720603,2596880.620000000111759,11113234.539999999105930
20160817,2833127.479999999981374,2812885.759999999776483,2887814.100000000093132,2608278.339999999850988,11142105.679999999701977
20160818,2839796.870000000111759,2827996.720000000204891,2889820.899999999906868,2622675.459999999962747,11180289.949999999254942
20160819,2842704.040000000037253,2815996.839999999850988,2890824.299999999813735,2618776.240000000223517,11168301.419999999925494
20160822,2843217.069999999832362,2824441.199999999720603,2893332.799999999813735,2604979.000000000000000,11165970.070000000298023
20160823,2840138.890000000130385,2825774.520000000018626,2904370.199999999720603,2621475.700000000186265,11191759.309999998658895
20160824,2826800.110000000335276,2787997.119999999646097,2907380.399999999906868,2618776.240000000223517,11140953.870000001043081
20160825,2837060.709999999962747,2769775.080000000074506,2918417.799999999813735,2636472.700000000186265,11161726.289999999105930
20160826,2838257.780000000260770,2793330.399999999906868,2911394.000000000000000,2626874.620000000111759,11169856.800000000745058
20160829,2853648.680000000167638,2800441.439999999944121,2914905.899999999906868,2648470.299999999813735,11217466.320000000298023
20160830,2896401.180000000167638,2787108.240000000223517,2904370.199999999720603,2625674.860000000335276,11213554.480000000447035
20160831,2897940.270000000018626,2790663.759999999776483,2882797.100000000093132,2618776.240000000223517,11190177.369999999180436
20160901,2881694.319999999832362,2795552.600000000093132,2889319.200000000186265,2648770.240000000223517,11215336.360000001266599
20160902,2893151.990000000223517,2799108.119999999646097,2893332.799999999813735,2645470.900000000372529,11231063.810000000521541
20160906,2895717.140000000130385,2810663.560000000055879,2890322.600000000093132,2658668.260000000242144,11255371.560000000521541
20160907,2901531.479999999981374,2794219.279999999795109,2892831.099999999627471,2637972.400000000372529,11226554.259999999776483
20160908,2935562.470000000204891,2810663.560000000055879,2881292.000000000000000,2632873.419999999925494,11260391.450000001117587
20160909,2882720.379999999888241,2777330.560000000055879,2820084.600000000093132,2586682.660000000149012,11066818.199999999254942
20160912,2925301.870000000111759,2808441.359999999869615,2862227.399999999906868,2646970.600000000093132,11242941.230000000447035
20160913,2855871.810000000055879,2747108.640000000130385,2836139.000000000000000,2610977.799999999813735,11050097.250000000000000
20160914,2841506.970000000204891,2726664.399999999906868,2822593.099999999627471,2609778.040000000037253,11000542.509999997913837
20160915,2874340.890000000130385,2772441.720000000204891,2869251.199999999720603,2641271.740000000223517,11157305.550000000745058
