訓練日期,20190313 - 20190613
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11251867.050000000745058
真實報酬,1251867.050000000745058

夏普值報酬,0.116486705000000
夏普值風險,0.034109834407459
夏普值,3.415047508249629

預期報酬,19847.224070890926669
風險,83582.685200890671695
趨勢值,0.237456167185682
找到最佳解世代,2556
找到最佳解實驗#,2
找到最佳解次數,44

stock[index](rank)
投資組合檔數,2
MCD[15](2),TRV[22](1),
Stock#,MCD[15](2),TRV[22](1),
張數,27498,37673,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,38.659999999217689,39.440000000409782,
20190313,5006324.539999999105930,5010548.440000000409782,10016872.980000000447035
20190314,5025023.179999999701977,5012808.820000000298023,10037832.000000000000000
20190315,5096243.000000000000000,5055002.580000001005828,10151245.580000001937151
20190318,5058295.759999998845160,5083634.060000000521541,10141929.820000000298023
20190319,5035197.439999999478459,5007911.330000001005828,10043108.769999999552965
20190320,5086343.719999998807907,4947634.530000001192093,10033978.250000000000000
20190321,5124840.919999998994172,5062160.450000000186265,10187001.369999999180436
20190322,5136940.039999999105930,5082127.140000000596046,10219067.179999999701977
20190325,5106967.219999998807907,5084010.790000000037253,10190978.009999997913837
20190326,5155363.699999999254942,5085140.980000000447035,10240504.679999999701977
20190327,5156188.639999998733401,5136752.990000000223517,10292941.629999998956919
20190328,5207884.879999998956919,5157473.140000000596046,10365358.019999999552965
20190329,5221908.859999999403954,5167268.120000000111759,10389176.980000000447035
20190401,5180386.879999998956919,5199666.900000000372529,10380053.779999999329448
20190402,5179286.959999999031425,5154082.570000000298023,10333369.529999999329448
20190403,5179286.959999999031425,5146171.240000000223517,10325458.199999999254942
20190404,5221083.919999998994172,5143157.400000000372529,10364241.320000000298023
20190405,5244182.239999999292195,5138636.640000000596046,10382818.879999998956919
20190408,5220533.959999999031425,5119046.680000000633299,10339580.640000000596046
20190409,5226858.500000000000000,5093052.310000000521541,10319910.810000000521541
20190410,5203210.219999998807907,5103224.020000000484288,10306434.239999998360872
20190411,5193860.899999999441206,5134115.880000000819564,10327976.780000001192093
20190412,5268655.459999999031425,5188365.000000000000000,10457020.459999999031425
20190415,5275529.959999999031425,5153329.110000000335276,10428859.070000000298023
20190416,5271405.259999998845160,5211722.260000000707805,10483127.519999999552965
20190417,5268930.439999999478459,5118669.950000000186265,10387600.390000000596046
20190418,5359673.839999998919666,5233949.330000001005828,10593623.169999999925494
20190422,5332450.819999998435378,5146547.970000000670552,10478998.789999999105930
20190423,5369298.139999998733401,5199290.169999999925494,10568588.309999998658895
20190424,5434468.399999999441206,5243367.580000001005828,10677835.980000000447035
20190425,5442717.799999999813735,5243744.310000000521541,10686462.109999999403954
20190426,5428693.819999998435378,5283300.960000000894070,10711994.779999999329448
20190429,5420444.419999998994172,5329262.020000000484288,10749706.439999999478459
20190430,5432818.519999998621643,5415533.190000000409782,10848351.709999999031425
20190501,5339325.319999998435378,5390292.280000001192093,10729617.599999999627471
20190502,5351424.439999999478459,5375976.540000000037253,10727400.980000000447035
20190503,5431443.619999999180436,5400463.990000000223517,10831907.609999999403954
20190506,5469390.859999999403954,5403477.830000001005828,10872868.690000001341105
20190507,5445742.579999999143183,5338680.270000000484288,10784422.849999999627471
20190508,5445467.599999999627471,5331899.130000000819564,10777366.730000000447035
20190509,5437218.199999999254942,5343201.030000001192093,10780419.230000000447035
20190510,5499363.679999999701977,5423444.520000000484288,10922808.199999999254942
20190513,5472965.599999999627471,5402724.370000000111759,10875689.969999998807907
20190514,5444917.639999998733401,5489372.270000000484288,10934289.910000000149012
20190515,5474065.519999998621643,5519887.400000000372529,10993952.919999998062849
20190516,5499363.679999999701977,5553416.370000000111759,11052780.050000000745058
20190517,5478190.219999998807907,5556430.210000000894070,11034620.429999999701977
20190520,5471865.679999999701977,5582047.849999999627471,11053913.529999999329448
20190521,5495238.979999999515712,5555676.750000000000000,11050915.730000000447035
20190522,5498538.739999999292195,5574136.520000000484288,11072675.259999999776483
20190523,5471315.719999998807907,5535710.060000000521541,11007025.779999999329448
20190524,5438318.119999999180436,5573383.060000000521541,11011701.179999999701977
20190528,5408070.319999998435378,5510845.880000000819564,10918916.199999999254942
20190529,5390196.619999999180436,5465261.549999999813735,10855458.169999998062849
20190530,5478740.179999999701977,5490125.730000000447035,10968865.910000000149012
20190531,5452067.119999999180436,5484098.049999999813735,10936165.169999998062849
20190603,5466091.099999999627471,5530059.110000000335276,10996150.210000000894070
20190604,5489464.399999999441206,5558690.590000000782311,11048154.990000000223517
20190605,5503213.399999999441206,5645338.490000000223517,11148551.890000000596046
20190606,5583507.559999999590218,5613316.440000000409782,11196824.000000000000000
20190607,5650327.699999999254942,5633283.130000000819564,11283610.830000000074506
20190610,5535386.059999999590218,5625371.799999999813735,11160757.859999999403954
20190611,5589282.139999998733401,5620474.310000000521541,11209756.449999999254942
20190612,5635203.799999999813735,5640817.730000000447035,11276021.530000001192093
20190613,5623104.679999999701977,5628762.370000000111759,11251867.050000000745058
