訓練日期,20180611 - 20180911
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11040870.099999997764826
真實報酬,1040870.099999997764826

夏普值報酬,0.095387010000000
夏普值風險,0.037132759848221
夏普值,2.568810139345699

預期報酬,17970.351740030946530
風險,109558.848660058603855
趨勢值,0.164024649399061
找到最佳解世代,3085
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,3
DIS[6](6),VZ[26](1),WMT[28](3),
Stock#,DIS[6](6),VZ[26](1),WMT[28](3),
張數,32057,67778,39513,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,46.139999999664724,10.959999999962747,16.319999999832362,
20180611,3345194.089999999385327,3341466.359999999869615,3330962.219999999739230,10017623.669999998062849
20180612,3344552.949999999720603,3308255.140000000130385,3323059.619999999646097,9975868.709999999031425
20180613,3408025.809999999590218,3212688.159999999683350,3322664.489999999757856,9943379.459999999031425
20180614,3486244.889999999664724,3241154.919999999925494,3310810.589999999850988,10038211.399999998509884
20180615,3489450.589999999385327,3257421.640000000130385,3307254.419999999925494,10054127.649999998509884
20180618,3432068.559999999590218,3216754.839999999850988,3279595.319999999832362,9928419.719999998807907
20180619,3401293.839999999385327,3287243.959999999962747,3303698.250000000000000,9992237.049999998882413
20180620,3434953.689999999944121,3259454.979999999981374,3303698.250000000000000,9998107.919999999925494
20180621,3394561.869999999646097,3296055.100000000093132,3327406.049999999813735,10018024.019999999552965
20180622,3408987.519999999552965,3372644.239999999757856,3351508.979999999515712,10133141.739999998360872
20180625,3348399.789999999571592,3361799.760000000242144,3416705.429999999701977,10126905.980000000447035
20180626,3342308.959999999962747,3341466.359999999869615,3397344.060000000055879,10081120.380000000819564
20180627,3332691.859999999403954,3342144.140000000130385,3433300.889999999664724,10108137.890000000596046
20180628,3358658.029999999329448,3447200.040000000037253,3392602.500000000000000,10198461.570000000298023
20180629,3359940.309999999590218,3409922.140000000130385,3384304.770000000018626,10154168.219999998807907
20180702,3376609.949999999720603,3417377.720000000204891,3319108.319999999832362,10113096.990000000223517
20180703,3335256.419999999925494,3436355.560000000055879,3336494.039999999571592,10108107.019999999552965
20180705,3376930.519999999552965,3475666.799999999813735,3341630.729999999515712,10194229.049999998882413
20180706,3358978.599999999627471,3489222.399999999906868,3339259.950000000186265,10187461.949999999254942
20180709,3398729.279999999329448,3439066.680000000167638,3395368.410000000149012,10233165.369999999180436
20180710,3399049.849999999627471,3479733.479999999981374,3445945.049999999813735,10324729.379999998956919
20180711,3463484.419999999925494,3479733.479999999981374,3419076.209999999962747,10362295.109999999403954
20180712,3470216.389999999664724,3472955.680000000167638,3418681.079999999608845,10361854.150000000372529
20180713,3526316.139999999664724,3484477.939999999944121,3465306.419999999925494,10476101.500000000000000
20180716,3532727.539999999571592,3496677.979999999981374,3462935.639999999664724,10492342.160000000149012
20180717,3535933.239999999757856,3485833.500000000000000,3484667.789999999571592,10506435.529999999329448
20180718,3548435.469999999739230,3466177.879999999888241,3479926.229999999515712,10494540.579999998211861
20180719,3594597.549999999348074,3439744.459999999962747,3466096.679999999701977,10500439.689999999478459
20180720,3573760.500000000000000,3430933.319999999832362,3479531.100000000093132,10484225.919999999925494
20180723,3561258.269999999552965,3439744.459999999962747,3462540.509999999776483,10463544.239999998360872
20180724,3548756.039999999571592,3491255.739999999757856,3475579.799999999813735,10515592.579999998211861
20180725,3564143.399999999906868,3450588.939999999944121,3473209.020000000018626,10487942.359999999403954
20180726,3638836.209999999962747,3468889.000000000000000,3486248.310000000055879,10593974.519999999552965
20180727,3610305.479999999981374,3525144.739999999757856,3482297.009999999776483,10617748.230000000447035
20180730,3610626.049999999348074,3557678.180000000167638,3511931.759999999776483,10680236.989999998360872
20180731,3640439.059999999590218,3500066.879999999888241,3525761.310000000055879,10666268.250000000000000
20180801,3621525.429999999701977,3506166.899999999906868,3486643.439999999478459,10614336.769999999552965
20180802,3614472.889999999664724,3523111.399999999906868,3507190.200000000186265,10644775.489999998360872
20180803,3657429.269999999552965,3542767.020000000018626,3540381.119999999646097,10740578.409999998286366
20180806,3716734.719999999739230,3557000.399999999906868,3543147.029999999795109,10816883.149999998509884
20180807,3736610.059999999590218,3555644.839999999850988,3547098.329999999608845,10839354.229999998584390
20180808,3653903.000000000000000,3571911.560000000055879,3558161.969999999739230,10783977.530000001192093
20180809,3659673.259999999776483,3592922.739999999757856,3517068.450000000186265,10769665.449999999254942
20180810,3612228.899999999906868,3556322.620000000111759,3563298.660000000149012,10731851.179999999701977
20180813,3594276.979999999981374,3539378.120000000111759,3541961.639999999664724,10675617.739999998360872
20180814,3614472.889999999664724,3583433.819999999832362,3589772.369999999646097,10787680.079999998211861
20180815,3617678.589999999385327,3608511.680000000167638,3564879.179999999701977,10791070.449999999254942
20180816,3605817.500000000000000,3678323.020000000018626,3897578.639999999664724,11181720.160000000149012
20180817,3605817.500000000000000,3713567.580000000074506,3866363.369999999646097,11185749.449999999254942
20180820,3590109.569999999366701,3704078.659999999683350,3793264.319999999832362,11087453.549999998882413
20180821,3602932.369999999646097,3721700.939999999944121,3796425.359999999869615,11121059.669999999925494
20180822,3588506.719999999739230,3669511.879999999888241,3780225.029999999795109,11038244.629999998956919
20180823,3590430.139999999664724,3679000.799999999813735,3760863.660000000149012,11030295.599999999627471
20180824,3588186.149999999906868,3712889.799999999813735,3751775.669999999925494,11052852.619999999180436
20180827,3601008.949999999720603,3717634.260000000242144,3735575.339999999850988,11054219.550000000745058
20180828,3609023.199999999720603,3704078.659999999683350,3796030.229999999515712,11109133.089999999850988
20180829,3604855.789999999571592,3698656.419999999925494,3779039.639999999664724,11082552.849999997764826
20180830,3587865.579999999608845,3710856.459999999962747,3797215.619999999646097,11095938.659999998286366
20180831,3591071.279999999329448,3685100.819999999832362,3787732.500000000000000,11063905.599999999627471
20180904,3553564.589999999385327,3605122.779999999795109,3767976.000000000000000,10926664.369999999180436
20180905,3522148.729999999981374,3647822.919999999925494,3817762.379999999888241,10987735.030000001192093
20180906,3534650.959999999962747,3679678.580000000074506,3811045.169999999925494,11025375.710000000894070
20180907,3557411.429999999701977,3660022.959999999962747,3786547.109999999869615,11003982.500000000000000
20180910,3548114.899999999906868,3668156.319999999832362,3828826.020000000018626,11045098.240000000223517
20180911,3513493.339999999385327,3708823.120000000111759,3818552.639999999664724,11040870.099999997764826
